;Cosmopolitan;Continent;Species;Realm;ReferenceYear;Reference;AcceptedSpecies
852;0;Europe;Depressaria depressana;Palearctic;2013;Landry, J., Nazari, V., Dewaard, J. , Mutanen, M., Lopez-Vaamonde, C., Huemer, P. and Hebert, P. (2013). Shared but overlooked: 30 species of Holarctic Microlepidoptera revealed by DNA barcodes and morphology. Zootaxa. 3749(1): 1-93;Depressaria depressana
853;0;Oceania;Trichophaga mormopis;Oceanina;1978;Zimmerman, E. (1978). Insects of Hawaii. Vol. 9 Microlepidoptera. Part I. The University Press of Hawaii, Honolulu.;Trichophaga mormopis
854;0;Oceania;Eublemma anachoresis;Oceanina;1946;Swezey, O. (1946). Lepidoptera, Geometridae, Arctiidae, Agrotidae, and Pyralidae of Guam. In: Insects of Guam II. Bernice P. Bishop Museum Bulletin. 189: 163-185;Eublemma anachoresis
855;0;Oceania;Hypena commixtalis;Oceanina;2024;de Prins J. and de Prins W. (2024). Afromoths, online database of Afrotropical moth species (Lepidoptera). Available at: http://www.afromoths.net;Hypena commixtalis
856;0;Oceania;Doloessa viridis;Oceanina;2002;Lim, G. (2002). Observations of Prasinoxena monospila and Doloessa viridis (Lepidoptera: Pyralidae) on the bark of Khaya ivorensis in Malaysia. Journal of Tropical Forest Science. 14(1): 158-161;Doloessa viridis
857;0;Oceania;Herpetogramma licarsisalis;Oceanina;1976;Tashiro, H. (1976). Biology of the grass webworm, Herpetogramma licarsisalis (Lepidoptera: Pyraustidae) in Hawaii. Annals of the Entomological Society of America. 69(5): 797-803;Herpetogramma licarsisalis
858;0;Oceania;Lampides boeticus;Oceanina;2021;Edge, D. and Westrip, J. (2021). Lampides boeticus. The IUCN Red List of Threatened Species 2021: e.T174427A161341394;Lampides boeticus
859;0;Oceania;Agonoxena argaula;Oceanina;1978;Zimmerman, E. (1978). Insects of Hawaii. Vol. 9 Microlepidoptera. Part II. The University Press of Hawaii, Honolulu.;Agonoxena argaula
860;0;Oceania;Bactra venosana;Oceanina;2015;Sohn, J., Park, K. and Cho, S. (2015). Seven species of Olethreutinae (Lepidoptera: Tortricidae) new to Korea. Journal of Asia-Pacific Biodiversity. 8(2): 133-138;Bactra venosana
861;0;Oceania;Danaus chrysippus;Oceanina;2021;Westrip, J. (2021). Danaus chrysippus (errata version published in 2022). The IUCN Red List of Threatened Species 2021: e.T174455A222994680;Danaus chrysippus
862;0;Oceania;Diplopseustis perieresalis;Oceanina;2006;Speidel, W., Nieukerken, E., Honey, M. and Koster, S. (2006). The exotic pyraloid moth Diplopseustis perieresalis (Walker) expanding in the West Palaearctic Region (Crambidae: Spilomelinae). Nota lepiderologica. 29(3): 185–192;Diplopseustis perieresalis
863;0;Oceania;Earias vittella;Oceanina;2003;Nash, S. (2003). Earias vittella (Fabricius) (Lep.: Noctuidae) the first occurrence of wild-caught moths in Europe. Entomologist’s Record and Journal of Variation 115: 187–188;Earias vittella
864;0;Oceania;Arcte coerula;Oceanina;2022;Au, M. and Wright, M. (2022). Ramie Moth, Arcte coerula (Lepidoptera: Noctuidae): A New Invasive Pest in Hawaii on Endemic Plants. Proceedings of the Hawaiian Entomological Society. 54: 63-76;Arcte coerula
865;0;Oceania;Bocana manifestalis;Oceanina;1958;Zimmerman, E. (1958). Insects of Hawaii. Volume 7, Macrolepidoptera. Hawaii: University of Hawaii Press.;Bocana manifestalis
866;0;Oceania;Opogona aurisquamosa;Oceanina;1978;Zimmerman, E. (1978). Insects of Hawaii. Vol. 9 Microlepidoptera. Part I. The University Press of Hawaii, Honolulu.;Opogona aurisquamosa
867;0;Europe;Haplotinea ditella;Palearctic;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Haplotinea ditella
868;0;Europe;Agonoxena argaula;Palearctic;1978;Zimmerman, E. (1978). Insects of Hawaii. Vol. 9 Microlepidoptera. Part II. The University Press of Hawaii, Honolulu.;Agonoxena argaula
869;0;Europe;Ategumia ebulealis;Palearctic;2022;Brou, V. and Brou, C. (2022). Abita Entomological Study Site. Southern Lepidopterists News. 44(5): 409-460;Ategumia ebulealis
870;0;Europe;Ennomos alniaria;Palearctic;1986;Covell, C., Ferguson, D. and Straley, G. (1986). Ennomos alniaria (Lepidoptera: Geometridae), a European moth recently discovered in British Columbia. The Canadian Entomologist. 118(5): 499-501;Ennomos alniaria
