Species;Continent;Realm;BibliographicReference;ReferenceYear
Athrips rancidella;Asia;Palearctic;Bidzilya, O. (2005). A review of the genus Athrips (Lepidoptera, Gelechiidae) in the Palaearctic region. Deutsche Entomologische Zeitschrift. 52(1): 3-72;2005.0
Athrips rancidella;Asia;Saharo-Arabian;Bidzilya, O. (2005). A review of the genus Athrips (Lepidoptera, Gelechiidae) in the Palaearctic region. Deutsche Entomologische Zeitschrift. 52(1): 3-72;2005.0
Athrips rancidella;Europe;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Auratonota dispersa;North America;Panamanian;Brown, J. (1990). New species and first US record of Auratonota (Lepidoptera: Tortricidae). Florida Entomologist. 73(1): 153-157;1990.0
Auratonota dispersa;South America;Panamanian;Brown, J. (1990). New species and first US record of Auratonota (Lepidoptera: Tortricidae). Florida Entomologist. 73(1): 153-157;1990.0
Autosticha kyotensis;Asia;Palearctic;Kim, S. et al. (2023). One Newly Recorded Species, Autosticha kyotensis (Lepidoptera: Autostichidae) from Korea with a World Checklist of the Genus. Korean Journal of Applied Entomology. 62(2): 61-67;2023.0
Autosticha kyotensis;Asia;Sino-Japanese;Kim, S. et al. (2023). One Newly Recorded Species, Autosticha kyotensis (Lepidoptera: Autostichidae) from Korea with a World Checklist of the Genus. Korean Journal of Applied Entomology. 62(2): 61-67;2023.0
Autosticha kyotensis;Asia;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Autosticha modicella;Asia;Oriental;Park, K., Kim, S. (2017). Faunistic data of micromoths (Lepidoptera) in North Korea. Journal of Asia-Pacific Biodiversity. 10(1): 73-80;2017.0
Autosticha modicella;Asia;Palearctic;Park, K., Kim, S. (2017). Faunistic data of micromoths (Lepidoptera) in North Korea. Journal of Asia-Pacific Biodiversity. 10(1): 73-80;2017.0
Autosticha modicella;Europe;Palearctic;Park, K., Kim, S. (2017). Faunistic data of micromoths (Lepidoptera) in North Korea. Journal of Asia-Pacific Biodiversity. 10(1): 73-80;2017.0
Autosticha modicella;Asia;Sino-Japanese;Park, K., Kim, S. (2017). Faunistic data of micromoths (Lepidoptera) in North Korea. Journal of Asia-Pacific Biodiversity. 10(1): 73-80;2017.0
Autosticha pelodes;Oceania;Oceanian;Zimmerman, E. (1978). Insects of Hawaii. Vol. 9 Microlepidoptera. Part II. The University Press of Hawaii, Honolulu, Hawaii, United States of America;1978.0
Autosticha pelodes;Asia;Oriental;Zimmerman, E. (1978). Insects of Hawaii. Vol. 9 Microlepidoptera. Part II. The University Press of Hawaii, Honolulu, Hawaii, United States of America;1978.0
Autosticha pelodes;Australia;Australian;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Autosticha pelodes;Oceania;Oceanian;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Azeta repugnalis;North America;Nearctic;Becker, V., Miller, S. (2002). Large moths of Guana Island, British Virgin Islands: a survey of efficient colonizers (Lepidoptera: Sphingidae, Notodontidae, Noctuidae, Arctiidae, Geometridae, Hyblaeidae, Cossidae). Journal of the Lepidopterists Society. 56(1): 9-44;2002.0
Azeta repugnalis;South America;Neotropical;Becker, V., Miller, S. (2002). Large moths of Guana Island, British Virgin Islands: a survey of efficient colonizers (Lepidoptera: Sphingidae, Notodontidae, Noctuidae, Arctiidae, Geometridae, Hyblaeidae, Cossidae). Journal of the Lepidopterists Society. 56(1): 9-44;2002.0
Cryptoblabes gnidiella;Africa;Saharo-Arabian;CAB International (CABI) (2024). CABI Invasive Species Compendium.;2024.0
Cryptoblabes gnidiella;Asia;Saharo-Arabian;CAB International (CABI) (2024). CABI Invasive Species Compendium.;2024.0
Azeta repugnalis;North America;Panamanian;Ramos, J. (1946). The insects of Mona Island (West Indies). The Journal of Agriculture of the University of Puerto Rico. 30(1): 1-73;1946.0
Azeta repugnalis;North America;Panamanian;Becker, V., Miller, S. (2002). Large moths of Guana Island, British Virgin Islands: a survey of efficient colonizers (Lepidoptera: Sphingidae, Notodontidae, Noctuidae, Arctiidae, Geometridae, Hyblaeidae, Cossidae). Journal of the Lepidopterists Society. 56(1): 9-44;2002.0
Azeta repugnalis;South America;Panamanian;Becker, V., Miller, S. (2002). Large moths of Guana Island, British Virgin Islands: a survey of efficient colonizers (Lepidoptera: Sphingidae, Notodontidae, Noctuidae, Arctiidae, Geometridae, Hyblaeidae, Cossidae). Journal of the Lepidopterists Society. 56(1): 9-44;2002.0
Bactra philocherda;Africa;Afrotropical;Diakonoff, A. (1964). Further records and descriptions of the species of Bactra Stephens (Lepidoptera, Tortricidae). Zoologische Verhandelingen. 70(1): 1-81;1964.0
Bactra philocherda;North America;Nearctic;Razowski, J. et al. (2008). The Tortricidae (Lepidoptera) of the Galapagos Islands, Ecuador. Revue Suisse de Zoologie. 115(1): 185;2008.0
Bactra philocherda;South America;Neotropical;Razowski, J. et al. (2008). The Tortricidae (Lepidoptera) of the Galapagos Islands, Ecuador. Revue Suisse de Zoologie. 115(1): 185;2008.0
Bactra philocherda;North America;Panamanian;Razowski, J. et al. (2008). The Tortricidae (Lepidoptera) of the Galapagos Islands, Ecuador. Revue Suisse de Zoologie. 115(1): 185;2008.0
Bactra philocherda;South America;Neotropical;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Bactra venosana;Australia;Australian;Sohn, J. et al. (2015). Seven species of Olethreutinae (Lepidoptera: Tortricidae) new to Korea. Journal of Asia-Pacific Biodiversity. 8(2): 133-138;2015.0
Bactra venosana;North America;Nearctic;Sohn, J. et al. (2015). Seven species of Olethreutinae (Lepidoptera: Tortricidae) new to Korea. Journal of Asia-Pacific Biodiversity. 8(2): 133-138;2015.0
Bactra venosana;Oceania;Oceanian;Sohn, J. et al. (2015). Seven species of Olethreutinae (Lepidoptera: Tortricidae) new to Korea. Journal of Asia-Pacific Biodiversity. 8(2): 133-138;2015.0
Bactra venosana;Asia;Oriental;Sohn, J. et al. (2015). Seven species of Olethreutinae (Lepidoptera: Tortricidae) new to Korea. Journal of Asia-Pacific Biodiversity. 8(2): 133-138;2015.0
Bactra venosana;Asia;Palearctic;Sohn, J. et al. (2015). Seven species of Olethreutinae (Lepidoptera: Tortricidae) new to Korea. Journal of Asia-Pacific Biodiversity. 8(2): 133-138;2015.0
Bactra venosana;Europe;Palearctic;Sohn, J. et al. (2015). Seven species of Olethreutinae (Lepidoptera: Tortricidae) new to Korea. Journal of Asia-Pacific Biodiversity. 8(2): 133-138;2015.0
Bactra venosana;Africa;Saharo-Arabian;Sohn, J. et al. (2015). Seven species of Olethreutinae (Lepidoptera: Tortricidae) new to Korea. Journal of Asia-Pacific Biodiversity. 8(2): 133-138;2015.0
Bactra venosana;Asia;Saharo-Arabian;Sohn, J. et al. (2015). Seven species of Olethreutinae (Lepidoptera: Tortricidae) new to Korea. Journal of Asia-Pacific Biodiversity. 8(2): 133-138;2015.0
Bactra venosana;Asia;Sino-Japanese;Sohn, J. et al. (2015). Seven species of Olethreutinae (Lepidoptera: Tortricidae) new to Korea. Journal of Asia-Pacific Biodiversity. 8(2): 133-138;2015.0
Bactra venosana;Europe;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Bagisara repanda;North America;Nearctic;Ferguson, D. (1997). Review of the New World Bagisarinae with description of two new species from the Southern United States (Noctuidae). Journal of the Lepidopterists Society. 51: 344-357;1997.0
Bagisara repanda;South America;Neotropical;Ferguson, D. (1997). Review of the New World Bagisarinae with description of two new species from the Southern United States (Noctuidae). Journal of the Lepidopterists Society. 51: 344-357;1997.0
Bagisara repanda;North America;Panamanian;Ferguson, D. (1997). Review of the New World Bagisarinae with description of two new species from the Southern United States (Noctuidae). Journal of the Lepidopterists Society. 51: 344-357;1997.0
Bagisara repanda;South America;Neotropical;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Balanomis encyclia;Australia;Australian;Meyrick, E. (1887). On Pyralidina from Australia and the South Pacific. The Transactions of the Entomological Society of London for the Year of 1887. 185-268;1887.0
Balanomis encyclia;Australia;Australian;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Barea asbolaea;Australia;Australian;Common, I. (2000). Oecophorine genera of Australia III: the Barea group and unplaced genera (Lepidoptera: Oecophoridae) (Vol. 8). Csiro Publishing;2000.0
Barea asbolaea;Australia;Australian;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Barea codrella;Australia;Australian;Hoare, R. (2001). Adventive species of Lepidoptera recorded for the first time in New Zealand since 1988. New Zealand Entomologist. 24: 23-47;2001.0
Barea codrella;Australia;Australian;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Barea confusella;Australia;Australian;Withers, T. (2001). Colonization of eucalypts in New Zealand by Australian insects. Austral Ecology. 26(5): 467-476;2001.0
Barea confusella;Australia;Australian;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Barea consignatella;Australia;Australian;Withers, T. (2001). Colonization of eucalypts in New Zealand by Australian insects. Austral Ecology. 26(5): 467-476;2001.0
Barea consignatella;Australia;Australian;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Barea exarcha;Australia;Australian;Withers, T. (2001). Colonization of eucalypts in New Zealand by Australian insects. Austral Ecology. 26(5): 467-476;2001.0
Barea exarcha;Australia;Australian;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Batia lunaris;Asia;Palearctic;Mustelin, T. et al. (2017). Survey of the Lepidoptera in the North-Central Olympic National Park, Washington, USA. The Journal of the Lepidopterists Society. 72(4): 284-295;2017.0
Batia lunaris;Europe;Palearctic;Mustelin, T. et al. (2017). Survey of the Lepidoptera in the North-Central Olympic National Park, Washington, USA. The Journal of the Lepidopterists Society. 72(4): 284-295;2017.0
Batia lunaris;Europe;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Batrachedra amydraula;Africa;Afrotropical;Carpenter, J. et al. (1978). Pests and diseases of the date palms. Agriculture Handbook. 524:1-40;1978.0
Batrachedra amydraula;Asia;Oriental;Carpenter, J. et al. (1978). Pests and diseases of the date palms. Agriculture Handbook. 524:1-40;1978.0
Batrachedra amydraula;Asia;Palearctic;Carpenter, J. et al. (1978). Pests and diseases of the date palms. Agriculture Handbook. 524:1-40;1978.0
Batrachedra amydraula;Africa;Saharo-Arabian;Carpenter, J. et al. (1978). Pests and diseases of the date palms. Agriculture Handbook. 524:1-40;1978.0
Batrachedra amydraula;Asia;Saharo-Arabian;Carpenter, J. et al. (1978). Pests and diseases of the date palms. Agriculture Handbook. 524:1-40;1978.0
Batrachedra knabi;North America;Nearctic;Hodges, R. (1966). Review of New World Species of Batrachedra, with Description of Three New Genera (Lepidoptera: Gelechioidea). Transactions of the American Entomological Society. 92(4): 585-651;1966.0
Batrachedra knabi;North America;Nearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Batrachedra pinicolella;Europe;Palearctic;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0
Bedellia orchilella;Oceania;Nearctic;Zimmerman, E. (1978). Insects of Hawaii. Vol. 9 Microlepidoptera. Part I. The University Press of Hawaii, Honolulu, Hawaii, United States of America;1978.0
Bedellia orchilella;Asia;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Bedellia orchilella;Asia;Oriental;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Bedellia orchilella;Australia;Australian;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Bedellia orchilella;Oceania;Oceanian;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Bedellia somnulentella;Asia;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Bema neuricella;North America;Panamanian;Frank, J., McCoy, E. (1992). Introduction to the Behavioral Ecology of Immigration. The Immigration of Insects to Florida, with a Tabulation of Records Published Since 1970. The Florida Entomologist.75(1): 1-28;1992.0
Bema neuricella;South America;Neotropical;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Bifascioides leucomelanella;Africa;Afrotropical;Koster, S., Sammut, P. (2006). Faunistic notes on Momphidae, Batrachedridae, Stathmopodidae and Cosmopterigidae from the Maltese Islands. Nota lepidopterologica. 29(1): 49-63;2006.0
Bifascioides leucomelanella;Africa;Saharo-Arabian;Koster, S., Sammut, P. (2006). Faunistic notes on Momphidae, Batrachedridae, Stathmopodidae and Cosmopterigidae from the Maltese Islands. Nota lepidopterologica. 29(1): 49-63;2006.0
Bifascioides leucomelanella;Africa;Afrotropical;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Bilobata subsecivella;Australia;Australian;Buthelezi, N. et al. (2016). Molecular and behavioural evidence suggesting a re-examination of the taxonomy of Aproaerema simplexella (Walker), Aproaerema modicella (Deventer) and Stomopteryx subsecivella Zeller (Lepidoptera: Gelechiidae). African Entomology. 24(1): 16-23;2016.0
Bilobata subsecivella;Asia;Oriental;Shanower, T. et al. (1993). Biology and control of the groundnut leafminer, Aproaerema modicella (Deventer)(Lepidoptera: Gelechiidae). Crop Protection. 12(1): 3-10;1993.0
Bilobata subsecivella;Asia;Saharo-Arabian;Shanower, T. et al. (1993). Biology and control of the groundnut leafminer, Aproaerema modicella (Deventer)(Lepidoptera: Gelechiidae). Crop Protection. 12(1): 3-10;1993.0
Bilobata subsecivella;Asia;Sino-Japanese;Shanower, T. et al. (1993). Biology and control of the groundnut leafminer, Aproaerema modicella (Deventer)(Lepidoptera: Gelechiidae). Crop Protection. 12(1): 3-10;1993.0
Bilobata subsecivella;Africa;Afrotropical;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Blastobasis adustella;Europe;Palearctic;de Prins, W. et al. (2009). Blastobasis adustella (Lepidoptera: Coleophoridae, Blastobasinae), new to the Belgian list. Phegea. 37(3): 111-118;2009.0
Blastobasis adustella;Africa;Afrotropical;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Blastobasis decolorella;Europe;Palearctic;Karsholt, O., Sinev, S. (2004). Contribution to the Lepidoptera fauna of the Madeira Islands Part 4. Blastobasidae. Beitrage zur Entomologie. 54(2): 387-463;2004.0
Blastobasis decolorella;Africa;Afrotropical;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Blastobasis glandulella;North America;Nearctic;Adamski, D., Brown, R. L. (2022). Larval, pupal, and adult morphology of the acorn moth, Blastobasis glandulella (Riley, 1871)(Lepidoptera: Gelechioidea: Blastobasidae). The Journal of the Lepidopterists Society. 76(1): 10-20;2022.0
Blastobasis glandulella;North America;Nearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Blastobasis inana;Oceania;Oceanian;Zimmerman, E. (1978). Insects of Hawaii. Vol. 9 Microlepidoptera. Part II. The University Press of Hawaii, Honolulu, Hawaii, United States of America;1978.0
Blastobasis inana;Asia;Oriental;Zimmerman, E. (1978). Insects of Hawaii. Vol. 9 Microlepidoptera. Part II. The University Press of Hawaii, Honolulu, Hawaii, United States of America;1978.0
Blastobasis inana;Asia;Oriental;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Blastobasis inana;Oceania;Oceanian;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Blastobasis lacticolella;Europe;Palearctic;Karsholt, O., Sinev, S. (2004). Contribution to the Lepidoptera fauna of the Madeira Islands Part 4. Blastobasidae. Beitrage zur Entomologie. 54(2): 387-463;2004.0
Blastobasis lacticolella;Africa;Afrotropical;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Blastobasis marmorosella;Africa;Saharo-Arabian;Karsholt, O., Sinev, S. (2004). Contribution to the Lepidoptera fauna of the Madeira Islands Part 4. Blastobasidae. Beitrage zur Entomologie. 54(2): 387-463;2004.0
Blastobasis marmorosella;Europe;Palearctic;Karsholt, O., Sinev, S. (2004). Contribution to the Lepidoptera fauna of the Madeira Islands Part 4. Blastobasidae. Beitrage zur Entomologie. 54(2): 387-463;2004.0
Blastobasis marmorosella;Europe;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Blastobasis maroccanella;Africa;Saharo-Arabian;Karsholt, O., Sinev, S. (2004). Contribution to the Lepidoptera fauna of the Madeira Islands Part 4. Blastobasidae. Beitrage zur Entomologie. 54(2): 387-463;2004.0
Blastobasis maroccanella;Europe;Palearctic;Karsholt, O., Sinev, S. (2004). Contribution to the Lepidoptera fauna of the Madeira Islands Part 4. Blastobasidae. Beitrage zur Entomologie. 54(2): 387-463;2004.0
Blastobasis maroccanella;Africa;Afrotropical;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Blastobasis rebeli;Europe;Palearctic;Karsholt, O., Sinev, S. (2004). Contribution to the Lepidoptera fauna of the Madeira Islands Part 4. Blastobasidae. Beitrage zur Entomologie. 54(2): 387-463;2004.0
Blastobasis rebeli;Africa;Afrotropical;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Blastobasis tarda;Australia;Australian;Pinzari, M., Pinzari, M. (2023). Blastobasis tarda Meyrick, 1902 an alien species from Australia new to Italy (Lepidoptera: Blastobasidae). SHILAP Revista de lepidopterologia. 51(201): 51-54;2023.0
Blastobasis tarda;Australia;Australian;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Blastobasis vittata;Europe;Palearctic;Karsholt, O., Sinev, S. (2004). Contribution to the Lepidoptera fauna of the Madeira Islands Part 4. Blastobasidae. Beitrage zur Entomologie. 54(2): 387-463;2004.0
Blastodacna atra;Europe;Palearctic;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0
Blastodacna atra;Asia;Palearctic;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0
Bleszynskia malacelloides;Australia;Australian;Hoare, R. (2001). Adventive species of Lepidoptera recorded for the first time in New Zealand since 1988. New Zealand Entomologist. 24: 23-47;2001.0
Bleszynskia malacelloides;Australia;Australian;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Bocana manifestalis;Oceania;Oceanian;Zimmerman, E. (1958). Insects of Hawaii. Volume 7, Macrolepidoptera. Hawaii: University of Hawaii Press, Honolulu, Hawaii, United States of America;1958.0
Bocana manifestalis;Asia;Oriental;Zimmerman, E. (1958). Insects of Hawaii. Volume 7, Macrolepidoptera. Hawaii: University of Hawaii Press, Honolulu, Hawaii, United States of America;1958.0
Bocana manifestalis;Asia;Sino-Japanese;Zimmerman, E. (1958). Insects of Hawaii. Volume 7, Macrolepidoptera. Hawaii: University of Hawaii Press, Honolulu, Hawaii, United States of America;1958.0
Bocana manifestalis;Oceania;Australian;Zimmerman, E. (1958). Insects of Hawaii. Volume 7, Macrolepidoptera. Hawaii: University of Hawaii Press, Honolulu, Hawaii, United States of America;1958.0
Bocana manifestalis;Oceania;Nearctic;Zimmerman, E. (1958). Insects of Hawaii. Volume 7, Macrolepidoptera. Hawaii: University of Hawaii Press, Honolulu, Hawaii, United States of America;1958.0
Bocana manifestalis;Europe;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Bocana manifestalis;Asia;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Bocana manifestalis;Africa;Afrotropical;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Bocana manifestalis;Australia;Australian;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Bohemannia pulverosella;Europe;Palearctic;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0
Bohemannia pulverosella;Asia;Palearctic;Stonis, J., Rociene, A. (2013) Nepticulidae (Lepidoptera) of East Asia (1). Re-examination of the male genitalia of types deposited at the Russian Academy of Sciences. Zootaxa. 3652 (1): 1–59;2013.0
Cydalima perspectalis;Asia;Palearctic;CAB International (CABI) (2024). CABI Invasive Species Compendium.;2024.0
Cydalima perspectalis;Asia;Sino-Japanese;CAB International (CABI) (2024). CABI Invasive Species Compendium.;2024.0
Dendrolimus pini;Asia;Palearctic;CAB International (CABI) (2024). CABI Invasive Species Compendium.;2024.0
Dendrolimus pini;Europe;Palearctic;CAB International (CABI) (2024). CABI Invasive Species Compendium.;2024.0
Borbo cinnara;Asia;Oriental;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Borbo cinnara;Australia;Australian;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Borkhausenia fuscescens;Europe;Palearctic;Petersen, W., Looney, C. (2020). New Moth Records in Washington State (USA) Acquired from Exotic Pest Surveys. The Journal of the Lepidopterists Society. 74(1): 57-61;2020.0
Borkhausenia nefrax;North America;Nearctic;Lopez-Vaamonde, C. et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668;2010.0
Borkhausenia nefrax;North America;Nearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Brachycyttarus griseus;Asia;Oriental;Waterhouse, D. (1994). Biological Control of Weeds: Southeast Asian Prospects. Australian Centre for International Agricultural Research - ACIAR. Camberra, Australia;1994.0
Brachycyttarus griseus;Oceania;Oceanian;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Bradyrrhoa gilveolella;Asia;Palearctic;Littlefield, J. et al. (2000). A petition for the introduction and field release of the Chondrilla root moth, Bradyrrhoa gilveolella (Treitschke), for the biological control of rush skeletonweed in North America. USDA-APHIS Biological Control of Weeds Petition;2000.0
Bradyrrhoa gilveolella;Europe;Palearctic;Littlefield, J. et al. (2000). A petition for the introduction and field release of the Chondrilla root moth, Bradyrrhoa gilveolella (Treitschke), for the biological control of rush skeletonweed in North America. USDA-APHIS Biological Control of Weeds Petition;2000.0
Bradyrrhoa gilveolella;Asia;Saharo-Arabian;Littlefield, J. et al. (2000). A petition for the introduction and field release of the Chondrilla root moth, Bradyrrhoa gilveolella (Treitschke), for the biological control of rush skeletonweed in North America. USDA-APHIS Biological Control of Weeds Petition;2000.0
Bradyrrhoa gilveolella;Europe;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Bradyrrhoa gilveolella;Asia;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Brephidium exilis;North America;Nearctic;Calhoun, J., Smith, R. (2022). Brephidium exilis (Lycaenidae) Colonizes the Tampa Bay Area as a New Florida State Record. Southern Lepidopterists News. 44(4): 487-493;2022.0
Brephidium exilis;South America;Neotropical;Calhoun, J., Smith, R. (2022). Brephidium exilis (Lycaenidae) Colonizes the Tampa Bay Area as a New Florida State Record. Southern Lepidopterists News. 44(4): 487-493;2022.0
Brephidium exilis;North America;Panamanian;Calhoun, J., Smith, R. (2022). Brephidium exilis (Lycaenidae) Colonizes the Tampa Bay Area as a New Florida State Record. Southern Lepidopterists News. 44(4): 487-493;2022.0
Brephidium exilis;South America;Panamanian;Calhoun, J., Smith, R. (2022). Brephidium exilis (Lycaenidae) Colonizes the Tampa Bay Area as a New Florida State Record. Southern Lepidopterists News. 44(4): 487-493;2022.0
Brephidium exilis;North America;Nearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Bucculatrix ainsliella;North America;Nearctic;van Nieukerken, E. et al. (2012). Bucculatrix ainsliella Murtfeldt, a new North American invader already widespread on northern red oaks (Quercus rubra) in Western Europe (Bucculatricidae). Nota Lepidopterologica. 35(2): 135-159;2012.0
Bucculatrix chrysanthemella;Europe;Palearctic;Lopez-Vaamonde, C. et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668;2010.0
Bucculatrix chrysanthemella;Africa;Afrotropical;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Bucculatrix ivella;North America;Nearctic;Diatloff, G. (1987). Host Specificity and Biology of Buccalatrix ivella Busck, a Potential Biological Control Agent for Baccharis halimifolia L. in Australia. Journal of the Lepidopterists Society. 41(1): 23-28;1987.0
Bucculatrix ivella;North America;Nearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Bucculatrix parthenica;North America;Nearctic;McClay, A. et al. (1990). Biology of Bucculatrix parthenica Bradley sp. n.(Lepidoptera: Bucculatricidae) and its establishment in Australia as a biological control agent for Parthenium hysterophorus (Asteraceae). Bulletin of Entomological Research, 80(4): 427-432;1990.0
Bucculatrix parthenica;South America;Neotropical;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Bucculatrix thurberiella;North America;Nearctic;Haidari, H. (1956). The biology and control of the cotton leaf perforator. [Master of Sciences Thesis, The University of Arizona];1956.0
Bucculatrix thurberiella;South America;Neotropical;Haidari, H. (1956). The biology and control of the cotton leaf perforator. [Master of Sciences Thesis, The University of Arizona];1956.0
Bucculatrix thurberiella;North America;Nearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Bucculatrix ulmifoliae;Europe;Palearctic;Baniameri, V. et al. (2017). Morphology and biology of the elm leaf-mining moth, Bucculatrix ulmifoliae Hering, 1931 (Lep.: Bucculatricidae) in Iran. Journal of Entomological Society of Iran, 37(2), 213-222;2017.0
Bucculatrix ulmifoliae;Europe;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Cacocharis cymotoma;South America;Neotropical;Brown, J. (2008). Review of the Neotropical genus Cacocharis Walsingham (Lepidoptera: Tortricidae: Olethreutini), with a new synonymy and comments on its host plants and geographic distribution. Proceedings of the Entomological Society of Washington, 110(3), 533-542;2008.0
Cacocharis cymotoma;North America;Panamanian;Brown, J. (2008). Review of the Neotropical genus Cacocharis Walsingham (Lepidoptera: Tortricidae: Olethreutini), with a new synonymy and comments on its host plants and geographic distribution. Proceedings of the Entomological Society of Washington, 110(3), 533-542;2008.0
