Species;Continent;Realm;BibliographicReference;ReferenceYear
Acleris comariana;Europe;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Acleris forsskaleana;Europe;Palearctic;Powell, J., Burns, J. (1971). Colonization of the northeastern United States by two Palearctic moths (Lepidoptera: Tortricidae). Psyche: A Journal of Entomology. 78(1): 38-48;1971.0
Acleris forsskaleana;Europe;Palearctic;Gilligan, T. et al. (2020). Immigrant Tortricidae: Holarctic versus Introduced Species in North America. Insects. 11(9):594;2020.0
Acleris forsskaleana;Europe;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Acleris holmiana;Asia;Palearctic;Gilligan, T. et al. (2020). Immigrant Tortricidae: Holarctic versus Introduced Species in North America. Insects. 11(9):594;2020.0
Acleris holmiana;Europe;Palearctic;Gilligan, T. et al. (2020). Immigrant Tortricidae: Holarctic versus Introduced Species in North America. Insects. 11(9):594;2020.0
Acleris holmiana;Europe;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Acleris holmiana;Asia;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Acleris rhombana;Asia;Palearctic;Alipanah, H. (2009). A brief study on the tribes Tortricini and Archipini (Lepidoptera: Tortricinae) from Iran. Entomofauna. 10: 137-152;2009.0
Acleris rhombana;Europe;Palearctic;Alipanah, H. (2009). A brief study on the tribes Tortricini and Archipini (Lepidoptera: Tortricinae) from Iran. Entomofauna. 10: 137-152;2009.0
Acleris rhombana;Europe;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Acleris rhombana;Asia;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Acleris undulana;Asia;Oriental;Lopez-Vaamonde, C. et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668;2010.0
Acleris undulana;Asia;Palearctic;Lopez-Vaamonde, C. et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668;2010.0
Acleris undulana;Asia;Sino-Japanese;Lopez-Vaamonde, C. et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668;2010.0
Acleris undulana;Asia;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Acleris undulana;Asia;Oriental;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Acleris variegana;Asia;Palearctic;Alipanah, H. (2009). A brief study on the tribes Tortricini and Archipini (Lepidoptera: Tortricinae) from Iran. Entomofauna. 10: 137-152;2009.0
Acleris variegana;Europe;Palearctic;Alipanah, H. (2009). A brief study on the tribes Tortricini and Archipini (Lepidoptera: Tortricinae) from Iran. Entomofauna. 10: 137-152;2009.0
Acleris variegana;Africa;Saharo-Arabian;Alipanah, H. (2009). A brief study on the tribes Tortricini and Archipini (Lepidoptera: Tortricinae) from Iran. Entomofauna. 10: 137-152;2009.0
Acleris variegana;Asia;Saharo-Arabian;Alipanah, H. (2009). A brief study on the tribes Tortricini and Archipini (Lepidoptera: Tortricinae) from Iran. Entomofauna. 10: 137-152;2009.0
Acleris variegana;Asia;Sino-Japanese;Alipanah, H. (2009). A brief study on the tribes Tortricini and Archipini (Lepidoptera: Tortricinae) from Iran. Entomofauna. 10: 137-152;2009.0
Acleris variegana;Europe;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Acleris variegana;Asia;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Acleris zimmermani;North America;Nearctic;Zimmerman, E. (1978). Insects of Hawaii. Vol. 9 Microlepidoptera. Part I. The University Press of Hawaii, Honolulu, Hawaii, United States of America;1978.0
Acleris zimmermani;South America;Neotropical;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Acontia candefacta;North America;Nearctic;Stojanovic, D. et al. (2017). Expansion of the range of the introduced moth Acontia candefacta in southeastern Europe. Bulletin of Insectology. 70(1): 111-120;2017.0
Acontia candefacta;North America;Nearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Acontia crocata;Australia;Australian;Guenee, A. (1852). Noctuelites II. in Boisduval and Guenee: Histoire naturelle des insectes. Species general des lepidopteres 6: 1-444. Paris (Roret);1852.0
