Reference;Title;CrossRef
Kirichenko, N., Karpun, N., Zhuravleva, E., Shoshina, E., Anikin, V. and Musolin, D. (2023). Invasion Genetics of the Horse-Chestnut Leaf Miner, Cameraria ohridella (Lepidoptera: Gracillariidae), in European Russia: A Case of Successful Involvement of Citizen Science in Studying an Alien Insect Pest. Insects. 14: 117;Invasion Genetics of the Horse-Chestnut Leaf Miner, Cameraria ohridella (Lepidoptera Gracillariidae), in European Russia A Case of Successful Involvement of Citizen Science in Studying an Alien Insect Pest;Kirichenko, N., Karpun, N., Zhuravleva, E., Shoshina, E., Anikin, V., Musolin, D. (2023). Invasion Genetics of the Horse-Chestnut Leaf Miner, Cameraria ohridella (Lepidoptera Gracillariidae), in European Russia A Case of Successful Involvement of Citizen Science in Studying an Alien Insect Pest. Insects, 14, 117
Heard, T., Elliott, L., Anderson, B., White, L., Burrows, N., Mira, A., ... and Segura, R. (2010). Biology, host specificity, release and establishment of Macaria pallidata and Leuciris fimbriaria (Lepidoptera: Geometridae), biological control agents of the weed Mimosa pigra. Biological Control. 55: 248-255;Biology, host specificity, release and establishment of Macaria pallidata and Leuciris fimbriaria (Lepidoptera Geometridae), biological control agents of the weed Mimosa pigra;Heard, T., Elliott, L., Anderson, B., White, L., Burrows, N., Mira, A., Zonneveld, R., Fichera, G., Chan, R., Segura, R. (2010). Biology, host specificity, release and establishment of Macaria pallidata and Leuciris fimbriaria (Lepidoptera Geometridae), biological control agents of the weed Mimosa pigra. Biological Control, 55, 248-255
Fodor, E. and Haruta, O. (2009). Niche partition of two invasive insect species, Parectopa robiniella (Lepidoptera: Gracillariidae) and Phyllonorycter robiniella (Clem.) (Lepidoptera: Gracillariidae). Research Journal of Agricultural Science. 41(2): 261-269;Niche partition of two invasive insect species, Parectopa robiniella (Lepidoptera Gracillariidae) and Phyllonorycter robiniella (Clem.) (Lepidoptera Gracillariidae);
Chen, X., Ning, D., Xiao, Q., Jiang, Q., Lu, Y. and Xu, Y. (2022). Factors affecting the geographical distribution of invasive species in China. Journal of Integrative Agriculture. 21(4): 1116-1125;Factors affecting the geographical distribution of invasive species in China;Chen, X., Ning, D., Xiao, Q., Jiang, Q., Lu, Y., Xu, Y. (2022). Factors affecting the geographical distribution of invasive species in China. Journal of Integrative Agriculture, 21, 1116-1125
Secretary of Agriculture of United States of America (2018). Erradication of Pinkball Moth - A Procalmation.;Erradication of Pinkball Moth - A Procalmation;M, H. (2015). Viral Zoonosis Control and Erradication Best Addressed Through One Health Approach. Journal of Human Virology amp Retrovirology, 2, 
Perring, T., El-Shafie, H. and Wakil, W., (2015). Carob Moth, Lesser Date Moth, and Raisin Moth. In: W. Wakil et al. (eds.), Sustainable Pest Management in Date Palm: Current Status and Emerging Challenges, Sustainability in Plant and Crop Protection. Springer International Publishing. 109-167;Carob Moth, Lesser Date Moth, and Raisin Moth;Perring, T., El-Shafie, H., Wakil, W. (2015). Carob Moth, Lesser Date Moth, and Raisin Moth. Sustainable Pest Management in Date Palm Current Status and Emerging Challenges, , 109-167
Morgun, D. and Wiemers, M. (2012). First record of the lime swallowtail Papilio demoleus Linneaus, 1758 (Lepidoptera, Papilionidae) in Europe. Journal of Research on the Lepidoptera. 45: 85-89;First record of the lime swallowtail Papilio demoleus Linneaus, 1758 (Lepidoptera, Papilionidae) in Europe;Morgun, D., Wiemers, M. (2012). First record of the Lime Swallowtail Papilio demoleus Linnaeus, 1758 (Lepidoptera, Papilionidae) in Europe. The Journal of Research on the Lepidoptera, 45, 85-89
Lopez-Vaamonde, C., Agassiz, D., Augustin, S., De Prins, J., De Prins, W., Gomboc, S., ... and Lees, D. (2010). Lepidoptera. Chapter 11. BioRisk 4: 603-668;Lepidoptera;Karsholt, O., Kristensen, N., Simonsen, T., Ahola, M. (2015). Lepidoptera. The Greenland Entomofauna, , 302-352
Kirk, H., Dorn, S. and Mazzi, D. (2013). Worldwide population genetic structure of the oriental fruit moth (Grapholita molesta), a globally invasive pest. BMC Ecology. 13: 12;Worldwide population genetic structure of the oriental fruit moth (Grapholita molesta), a globally invasive pest;Kirk, H., Dorn, S., Mazzi, D. (2013). Worldwide population genetic structure of the oriental fruit moth (Grapholita molesta), a globally invasive pest. BMC Ecology, 13, 
Goncalves, R., Mastrangelo, T., Rodrigues, J., Paulo, D., Omoto, C., Correa, A. and Azeredo-Espin, A. (2019). Invasion origin, rapid population expansion, and the lack of genetic structure of cotton bollworm (Helicoverpa armigera) in the Americas. Ecology and Evolution. 9: 7378-7401;Invasion origin, rapid population expansion, and the lack of genetic structure of cotton bollworm (Helicoverpa armigera) in the Americas;Gonalves, R., Mastrangelo, T., Rodrigues, J., Paulo, D., Omoto, C., Corra, A., De AzeredoEspin, A. (2019). Invasion origin, rapid population expansion, and the lack of genetic structure of cotton bollworm (iHelicoverpa armigerai) in the Americas. Ecology and Evolution, 9, 7378-7401
Matsumoto, K. (2002). Papilio demoleus (Papilionidae) in Borneo and Bali. Journal of the Lepidopterists Society. 56(2): 108-111;Papilio demoleus (Papilionidae) in Borneo and Bali;Sharifi, S., Zarea, N. (1970). Biology of the Citrus Butterfly, Papilio demoleus demoleus (Lepidoptera Papilionidae). Annals of the Entomological Society of America, 63, 1211-1213
