Reference;Title;CrossRef
Bella, S. and Ferrauto, G. (2005). Presence of Megalorhipida leucodactyla (Lepidoptera Pterophoridae) in Sicily: new report for the Italian fauna and notes on the diffusion of its host plant Boerhavia repens L. ssp. viscosa (Choisy) Maire (Nyctaginaceae). Biological Invasions. 7: 577-587;Presence of Megalorhipida leucodactyla (Lepidoptera Pterophoridae) in Sicily new report for the Italian fauna and notes on the diffusion of its host plant Boerhavia repens L. ssp. viscosa (Choisy) Maire (Nyctaginaceae);Bella, S., Ferrauto, G. (2005). Presence of Megalorhipida leucodactyla (Lepidoptera Pterophoridae) in Sicily new report for the Italian fauna and notes on the diffusion of its host plant Boerhavia repens L. ssp. viscosa(Choisy) Maire (Nyctaginaceae). Biological Invasions, 7, 557-565
Ureche, C. (2016). First record of a new alien invasive species in Romania: Phyllocnistis vitegenella Clemens (Lepidoptera: Gracillariidae). Acta Oecologica Carpatica. 9: 133-138;First record of a new alien invasive species in Romania Phyllocnistis vitegenella Clemens (Lepidoptera Gracillariidae);Katona, G., Schermann, B., Tth, B. (2020). First record of Phyllocnistis citrella in Hungary, a micromoth species pest on Citrus (Lepidoptera Gracillariidae). Folia Entomologica Hungarica, 81, 115-118
Posenato G., Girolami V. and Zangheri S. (1997). La minatrice americana un nuovo fillominatore della vite. LInformatore Agrario. 15: 75-77;La minatrice americana un nuovo fillominatore della vite;Maggi, S. (2018). Un nuovo paradigma per la storia della mobilit. STORIA E PROBLEMI CONTEMPORANEI, , 5-16
Mazza, G., Strangi, A., Marianelli, L.,  Del Nista, D. and Roversi, P. (2014). Thaumatotibia leucotreta (Meyrick) (Lepidoptera Tortricidae) intercepted for the first time in Italy. Redia. 97: 147-149;Thaumatotibia leucotreta (Meyrick) (Lepidoptera Tortricidae) intercepted for the first time in Italy;Moore, S., Kirkman, W., Stephen, P., Albertyn, S., Love, C., Grout, T., Hattingh, V. (2017). Development of an improved postharvest cold treatment for Thaumatotibia leucotreta (Meyrick) (Lepidoptera Tortricidae). Postharvest Biology and Technology, 125, 188-195
Bagnoli, B., Rossi, E. and Tonola, A. (2010). Toscana [Tuscany]. In: Tuta absoluta: Guida alla conoscenza e recenti acquisizioni per una corretta difesa [Tuta absoluta: An Information Guide and Recent Acquisitions for Correct Pest Management] (Ed. Sannino, L. and Espinosa, B.), pp. 85-87. Edizioni Linformatore Agrario, Verona (Italy).;Toscana Tuscany;Grava, M., Macchi Janica, G. (2024). Gli idronimi della Toscana. Histria, histrias, 11, 134-161
Corley, M., Rosete, J., Goncalves, A., Nunes, J., Pires, P. and Marabuto, E. (2015). New and interesting Portuguese Lepidoptera records from 2015 (Insecta: Lepidoptera). SHILAP Revista de Lepidopterologia. 44(176):  615-643;New and interesting Portuguese Lepidoptera records from 2015 (Insecta Lepidoptera);Corley, M., Cardoso, H., Nunes, J., Valadares, A., Valkenburg, T. (2022). New and interesting Portuguese Lepidoptera records from 2021 (Insecta Lepidoptera). SHILAP Revista de lepidopterologa, 50, 617-631
Marabuto, E. (2006). The occurrence of a neotropical hawkmoth in southern Portugal: Agrius cingulatus (Fabricius, 1775) (Lepidoptera: Sphingidae). Boletin de la Sociedad Entomologica Aragonesa. 38: 163-166;The occurrence of a neotropical hawkmoth in southern Portugal Agrius cingulatus (Fabricius, 1775) (Lepidoptera Sphingidae);, . (2019). Agrius cingulatus (pink-spotted hawkmoth). CABI Compendium, , 
Corley, M., Ferreira, S., Lvovsky, A. and Rosete, J. (2017). Borkhausenia crimnodes Meyrick, 1912 (Lepidoptera, Oecophoridae), a southern hemisphere species resident in Portugal. Nota Lepidopterologica. 40(1): 15-24;Borkhausenia crimnodes Meyrick, 1912 (Lepidoptera, Oecophoridae), a southern hemisphere species resident in Portugal;Corley, M., Ferreira, S., Lvovsky, A., Rosete, J. (2017). Borkhausenia crimnodes Meyrick, 1912 (Lepidoptera, Oecophoridae), a southern hemisphere species resident in Portugal. Nota Lepidopterologica, 40, 15-24
Alario S. (2004). Paysandisia archon (Burmeister, 1880) (Lepidoptera, Castniidae), nuevas localizaciones en la Peninsula Iberica y su gestion. Boletin Sociedad Entomologica Aragonesa. 34:237-246;Paysandisia archon (Burmeister, 1880) (Lepidoptera, Castniidae), nuevas localizaciones en la Peninsula Iberica y su gestion;Couturier, G. (2017). Prsence de Paysandisia archon Burmeister, 1880, dans la rgion parisienne (Lepidoptera, Castniidae). Bulletin de la Socit entomologique de France, 122, 72-74
Ermolaev, I., Rubleva, E., Rysin, S. and Ermolaeva, M. (2018). Food Plants of Lime Leafminer Phyllonorycter issikii (Kumata, 1963) (Lepidoptera, Gracillariidae). Russian Journal of Biological Invasions. 9(3): 205-214;Food Plants of Lime Leafminer Phyllonorycter issikii (Kumata, 1963) (Lepidoptera, Gracillariidae);Ermolaev, I., Rubleva, E., Rysin, S., Ermolaeva, M. (2018). Food Plants of Lime Leafminer Phyllonorycter issikii (Kumata, 1963) (Lepidoptera, Gracillariidae). Russian Journal of Biological Invasions, 9, 205-214
Peigler, R. (2012). Diverse evidence that Antheraea pernyi (lepidoptera: Saturniidae) is entirely of sericultural origin. Tropical Lepidoptera Research. 22, 93-99;Diverse evidence that Antheraea pernyi (lepidoptera Saturniidae) is entirely of sericultural origin;Ye, B., Zhao, Z., Yue, D., Li, P., Wang, L., Zhang, B., Fan, Q. (2020). Construction of the Antheraea pernyi (Lepidoptera Saturniidae) Multicapsid Nucleopolyhedrovirus Bacmid System. Journal of Insect Science, 20, 
Guerrero, J., Pozas, M. and Ortiz, A. (2021). First record and DNA barcoding of Donacaula niloticus (Zeller, 1867) from the Iberian Peninsula (Lepidoptera: Crambidae). Biodiversity Data Journal. 9: e70193;First record and DNA barcoding of Donacaula niloticus (Zeller, 1867) from the Iberian Peninsula (Lepidoptera Crambidae);Guerrero, J., Pozas, M., Ortiz, A. (2021). First record and DNA barcoding of Donacaula niloticus (Zeller, 1867) from the Iberian Peninsula (Lepidoptera Crambidae). Biodiversity Data Journal, 9, 
Urbaneja, A., Llacer, E., Tomas, O., Garrido, A. and Jacas, J. (2000). Indigenous Natural Enemies Associated with Phyllocnistis citrella (Lepidoptera: Gracillariidae) in Eastern Spain. Biological Control. 18: 199-207;Indigenous Natural Enemies Associated with Phyllocnistis citrella (Lepidoptera Gracillariidae) in Eastern Spain;Urbaneja, A., Llcer, E., Toms, ., Garrido, A., Jacas, J. (2000). Indigenous Natural Enemies Associated with Phyllocnistis citrella (Lepidoptera Gracillariidae) in Eastern Spain. Biological Control, 18, 199-207
Oztemiz, S. (2014).Tuta absoluta Povolny (Lepidoptera: Gelechiidae), the exotic pest in Turkey. Romanian Journal of Biology. 59(1): 47-58;Tuta absoluta Povolny (Lepidoptera Gelechiidae), the exotic pest in Turkey;Kos, K., Trdan, S. (2011). Monosti biotinega zatiranja paradinikovega molja (Tuta absoluta Povolny, Lepidoptera, Gelechiidae). Acta agriculturae Slovenica, 97, 
Urbaneja, A., Vercher, R., Navarro, V., Porcuna, J. and Garcia-Mari, F. (2007). La polilla del tomate, Tuta absoluta [The tomato leaf miner: Tuta absoluta]. Phytoma Espana, 194, 16-24;La polilla del tomate, Tuta absoluta The tomato leaf miner Tuta absoluta;Otipa, M., Kiige, P., Ringera, E., Wendot, P., Masinde, B., Munyao, P., Oyoo, J., Nabakwe, W. (2014). Tuta absoluta (tomato leaf miner) on Tomato. PlantwisePlus Knowledge Bank, , 
Girardoz, S., Quicke, D. and Kenis, M. (2007). Factors favouring the development and maintenance of outbreaks in an invasive leaf miner Cameraria ohridella (Lepidoptera: Gracillariidae): a life table study. Agricultural and Forest Entomology. 9: 141-158;Factors favouring the development and maintenance of outbreaks in an invasive leaf miner Cameraria ohridella (Lepidoptera Gracillariidae) a life table study;Girardoz, S., Quicke, D., Kenis, M. (2007). Factors favouring the development and maintenance of outbreaks in an invasive leaf miner iCameraria ohridellai (Lepidoptera Gracillariidae) a life table study. Agricultural and Forest Entomology, 9, 141-158
Timus, A. (2015). The Invasive Entomofauna of the Holometabola Group, Superorder Mecopteroidea for Republic of Moldova. Current Trends in Natural Sciences. 4(7): 50-58;The Invasive Entomofauna of the Holometabola Group, Superorder Mecopteroidea for Republic of Moldova;Unknown Author (2002). Republic of Moldova. National Accounts Statistics Main Aggregates and Detailed Tables, , 1469-1486
Beaumont, H. (2018) The occurrence of Garella musculana (Erschov, 1874) (Lep.: Nolidae) in eastern Bulgaria. Entomologists Records and Journal of Variation. 130: 315-316.;;
Meyrick, E. (1937). Tortrix postvittana Walk (Microlepidoptera), a species new to Britain. Entomologist. 70: 256;Tortrix postvittana Walk (Microlepidoptera), a species new to Britain;Dumbleton, L. (1939). Contribution to the Physical Ecology of iTortrix postvittanai, Walk. (Lep.). Bulletin of Entomological Research, 30, 309-319
Ba, N., Huesing, J., Dabire-Binso, C., Tamo, M., Pittendrigh, B. and Murdock, L. (2019). The legume pod borer, Maruca vitrata Fabricius (Lepidoptera: Crambidae), an important insect pest of cowpea: a review emphasizing West Africa. International Journal of Tropical Insect Science. 39: 93-106;The legume pod borer, Maruca vitrata Fabricius (Lepidoptera Crambidae), an important insect pest of cowpea a review emphasizing West Africa;Ba, N., Huesing, J., Dabir-Binso, C., Tam, M., Pittendrigh, B., Murdock, L. (2019). The legume pod borer, Maruca vitrata Fabricius (Lepidoptera Crambidae), an important insect pest of cowpea a review emphasizing West Africa. International Journal of Tropical Insect Science, 39, 93-106
Mindlin, M., de Waroux, O., Case, S. and Walsh, B. (2012). The arrival of oak processionary moth, a novel cause of itchy dermatitis, in the UK: Experience, lessons and recommendations. Public Health. 126: 778-781;The arrival of oak processionary moth, a novel cause of itchy dermatitis, in the UK Experience, lessons and recommendations;Mindlin, M., Le Polain De Waroux, O., Case, S., Walsh, B. (2012). The arrival of oak processionary moth, a novel cause of itchy dermatitis, in the UK Experience, lessons and recommendations. Public Health, 126, 778-781
Townsend, M., (2013). Oak processionary moth in the United Kingdom. Outlooks in Pest Management. 24, 32-38;Oak processionary moth in the United Kingdom;Townsend, M. (2013). Oak Processionary Moth in the United Kingdom. Outlooks on Pest Management, 24, 32-38
Van Der Straten, M. and Muus, T. (2010). The box tree pyralid, Glyphodes perspectalis (Lepidoptera: Crambidae), an invasive alien moth ruining box tree. Proceedings of the Netherlands Entomological Society. 21: 107-111;The box tree pyralid, Glyphodes perspectalis (Lepidoptera Crambidae), an invasive alien moth ruining box tree;Matoevi, D. (2013). Box Tree Moth (Cydalima perspectalis, Lepidoptera Crambidae), New Invasive Insect Pest in Croatia. South-east European forestry, 4, 89-94
Desneux, N., Luna, M., Guillemaud, T. and Urbeneja, A. (2011). The invasive South American tomato pinworm, Tuta absoluta, continues to spread in Afro-Eurasia and beyond: the new threat to tomato world production. Journal of Pest Science. 84: 403-408;The invasive South American tomato pinworm, Tuta absoluta, continues to spread in Afro-Eurasia and beyond the new threat to tomato world production;Desneux, N., Luna, M., Guillemaud, T., Urbaneja, A. (2011). The invasive South American tomato pinworm, Tuta absoluta, continues to spread in Afro-Eurasia and beyond the new threat to tomato world production. Journal of Pest Science, 84, 403-408
Safian, S. and Horvath, B. (2011). Box Tree Moth - Cydalima perspectalis (Walker, 1859), new member in the Lepidoptera fauna of Hungary (Lepidoptera: Crambidae). Natura Somogyiensis. (19): 245-246;Box Tree Moth - Cydalima perspectalis (Walker, 1859), new member in the Lepidoptera fauna of Hungary (Lepidoptera Crambidae);Sfin, S., Horvth, B. (2011). Box Tree Moth  Cydalima perspectalis (Walker, 1859), new member in the Lepidoptera fauna of Hungary (Lepidoptera Crambidae). Natura Somogyiensis, , 245-246
Safian, S., Katona, G. and Toth, B. (2023). First report of the palm borer moth, Paysandisia archon (Burmeister, 1879), in Hungary (Lepidoptera: Castniidae). Folia Entomologica Hungarica. 84: 137-143;First report of the palm borer moth, Paysandisia archon (Burmeister, 1879), in Hungary (Lepidoptera Castniidae);Sfin, S., Katona, G., Tth, B. (2023). First report of the palm borer moth, Paysandisia archon (Burmeister, 1879), in Hungary (Lepidoptera Castniidae). Folia Entomologica Hungarica, 84, 137-143
European and Mediterranean Plant Protection Organization (EPPO) (1975). Phthorimaea openculella intercepted in Hungary. EPPO Reporting Service, 01 - 1975: 1975/06;Phthorimaea openculella intercepted in Hungary;Williams, M. (2013). Intercepted Love-Letters Reporting the 1535 Apostolic Nunciature to Hungary. Viator, 44, 353-387
Guichard, S. and Augustin, S. (2002). Acute spread in France of an invasive pest, the horse chestnut leafminer Cameraria ohridella Deschka & Dimic (Lep., Gracillariidae). Journal of Pest Science. 75: 145-149;Acute spread in France of an invasive pest, the horse chestnut leafminer Cameraria ohridella Deschka  Dimic (Lep., Gracillariidae);Guichard, S., Augustin, S. (2002). Acute spread in France of an invasive pest, the horse chestnut leafminer iCameraria ohridellaiscpDeschkascp amp scpDimicscp (Lep., Gracillariidae). Anzeiger fr Schdlingskunde, 75, 145-149
Badano, D., Caracciolo, D., Mariotti, M. and Raineri, V. (2019). Destruction of a protected habitat by an invasive alien species: the case of Cydalima perspectalis (Walker, 1859) in the box tree formations of Liguria (North-West Italy) (Lepidoptera: Crambidae). SHILAP Revista de Lepidopterologia. 47(185): 87-95;Destruction of a protected habitat by an invasive alien species the case of Cydalima perspectalis (Walker, 1859) in the box tree formations of Liguria (North-West Italy) (Lepidoptera Crambidae);, ., Geci, D., Ibrahimi, H., , . (2018). First record of the box tree moth Cydalima perspectalis (Walker, 1859) (Lepidoptera, Crambidae) from Kosovo. Natura Croatica, 27, 343-345
Czerniakowski, Z. and Olbrycht, T. (2015). Invasive species and their role in historic park sites. Technical Transactions: Architecture. 5-A/2015: 34-40;Invasive species and their role in historic park sites;Unknown Author (2006). National Park Service Historic Sites Biography. OAH Magazine of History, 20, 62-63
Bury, J., Olbrycht, T., Mazur, K., Babula, P. and Czudec, P. (2019). First records of the invasive box tree moth Cydalima perspectalis (Walker, 1859) (Lepidoptera: Crambidae) in south-eastern Poland. Fragmenta Faunistica. 60 (2): 101-106;First records of the invasive box tree moth Cydalima perspectalis (Walker, 1859) (Lepidoptera Crambidae) in south-eastern Poland;, ., Bury, J., Olbrycht, T., Mazur, K., Babula, P., Czudec, P. (2017). First records of the invasive box tree moth Cydalima perspectalis  (Walker, 1859) (Lepidoptera Crambidae) in south-eastern Poland. Fragmenta Faunistica, 60, 101-106
Walczak, U., Baraniak, E. and Jerzak, E. (2010). Host range of an invasive moth, Phyllonorycter leucographella. Journal of Applied Entomology. 134: 714-717;Host range of an invasive moth, Phyllonorycter leucographella;Walczak, U., Baraniak, E., Jerzak, E. (2010). Host range of an invasive moth, iPhyllonorycter leucographellai. Journal of Applied Entomology, 134, 714-717
Yonow, T., Kriticos, D., Ota, N., Berg, J. and Hutchison, W. (2017). The potential global distribution of Chilo partellus, including consideration of irrigation and cropping patterns. Journal of Pest Science. 90:459-477;The potential global distribution of Chilo partellus, including consideration of irrigation and cropping patterns;Yonow, T., Kriticos, D., Ota, N., Van Den Berg, J., Hutchison, W. (2016). The potential global distribution of Chilo partellus, including consideration of irrigation and cropping patterns. Journal of Pest Science, 90, 459-477
Bayram, A. and Tonga, A. (2016). First report of Chilo partellus in Turkey, a new invasive maize pest for Europe. Journal of Applied Entomology. 140: 236-240;First report of Chilo partellus in Turkey, a new invasive maize pest for Europe;Achiri, T., Atakan, E., Pehlivan, S. (2022). Invasive maize spotted stem borer Chilo partellus Swinhoe 1885 (Lepidoptera Crambidae) is the dominant pest in maize agro-system in the Mediterranean Region of Turkey. Journal of Asia-Pacific Entomology, 25, 101972
Hizal, E. (2012). Two Invasive Alien Insect Species, Leptoglossus occidentals (Heteroptera: Coreidae) and Cydalima perspectalis (Lepidoptera: Crambidae), and their Distribution and Host Plants in Istanbul Province, Turkey. Florida Entomologist. 95(2): 344-349;Two Invasive Alien Insect Species, Leptoglossus occidentals (Heteroptera Coreidae) and Cydalima perspectalis (Lepidoptera Crambidae), and their Distribution and Host Plants in Istanbul Province, Turkey;Hizal, E. (2012). Two Invasive Alien Insect Species,iLeptoglossus occidentalsi(Heteroptera Coreidae) andiCydalima perspectalisi(Lepidoptera Crambidae), and their Distribution and Host Plants in Istanbul Province, Turkey. Florida Entomologist, 95, 344-349
Hizal, E., Kose, M., Yesil, C. and Kaynar, D. (2012). The New Pest Cydalima perspectalis (Walker, 1859) (Lepidoptera: Crambidae) in Turkey. Journal of Animal and Veterinary Advances. 1(3): 400-403;The New Pest Cydalima perspectalis (Walker, 1859) (Lepidoptera Crambidae) in Turkey;Hizal, E., Kose, M., Yesil, C., Kaynar, D. (2012). The New Pest Cydalima perspectalis (Walker, 1859) (Lepidoptera Crambidae) in Turkey. Journal of Animal and Veterinary Advances, 11, 400-403
Bostanci, C., Yildirim, I., Aydogan, O., Yildiz, Y., Karoly Kiss, I., and Albas, E. (2021). First report of walnut (Juglans regia) pest Garella musculana in Romania. EPPO Bulletin. 51: 293-295;First report of walnut (Juglans regia) pest Garella musculana in Romania;Bostanc, C., Yldrm, ., Aydoan, O., Yldz, Y., Kiss, I., Albas, E. (2021). First report of walnut (iJuglans regiai) pest iGarella musculanai in Romania. EPPO Bulletin, 51, 293-295
Yuksel, E., Ozdemir, E., Delialioglu, R. and  Canhilal, R. (2022). Insecticidal activities of the local entomopathogenic nematodes and cell-free supernatants from their symbiotic bacteria against the larvae of fall webworm, Hyphantria cunea. Experimental Parasitology. 242: 108380;Insecticidal activities of the local entomopathogenic nematodes and cell-free supernatants from their symbiotic bacteria against the larvae of fall webworm, Hyphantria cunea;Yksel, E., zdemir, E., Albayrak Delialiolu, R., Canhilal, R. (2022). Insecticidal activities of the local entomopathogenic nematodes and cell-free supernatants from their symbiotic bacteria against the larvae of fall webworm, Hyphantria cunea. Experimental Parasitology, 242, 108380
Kocak, A., Kemal, M. and Akdeniz, I. (2006). A new genus and species to the Lepidoptera Fauna of Turkey and Syria (Papilionidae). Centre for Entomological Studies Ankara - Miscellaneous Papers. 97: 1-6;A new genus and species to the Lepidoptera Fauna of Turkey and Syria (Papilionidae);Akn, K. (2015). New Species and Genera for the Fauna of Turkey (Lepidoptera, Pyralidae, Phycitinae). Entomological News, 125, 38-42
European and Mediterranean Plant Protection Organization (EPPO) (2024). First report of Spodoptera frugiperda in Romania. EPPO Reporting Service, 01 - 2024: 2024/003;First report of Spodoptera frugiperda in Romania;Cean, M., Taddei, A., Gottsberger, R., Reisenzein, H., Georgescu, E. (2024). First report of the fall armyworm iSpodoptera frugiperdai (J.E. Smith, 1797) in Romania. EPPO Bulletin, 54, 212-216
Park, K. and Heppner, J. (2021). The apple-and-thorn skeletonizer, Choreutis pariana (Clerck), new for Korea (Lepidoptera: Choreutidae). Journal of Asia-Pacific Biodiversity. 14: 267e270;The apple-and-thorn skeletonizer, Choreutis pariana (Clerck), new for Korea (Lepidoptera Choreutidae);Park, K., Heppner, J. (2021). The apple-and-thorn skeletonizer, Choreutis pariana (Clerck), new for Korea (Lepidoptera Choreutidae). Journal of Asia-Pacific Biodiversity, 14, 267-270
Koo, J., Kim, S. and Cho, S. (2019). Chrysaster ostensackenella (Fitch, 1859) (Lepidoptera: Gracillariidae) new to Korea. Korean Journal of Applied Entomology. 58 (3): 225-228;Chrysaster ostensackenella (Fitch, 1859) (Lepidoptera Gracillariidae) new to Korea;Huemer, P., Mayr, T. (2022). Chrysaster ostensackenella (Fitch, 1859), a potentially invasive species newly recorded from Europe (Lepidoptera, Gracillariidae). Check List, 18, 1237-1242
Hong, K., Lee, J., Lee, G. and Lee, S. (2012). The status quo of invasive alien insect species and plant quarantine in Korea. Journal of Asia-Pacific Entomology. 15: 521-532;The status quo of invasive alien insect species and plant quarantine in Korea;Hong, K., Lee, J., Lee, G., Lee, S. (2012). The status quo of invasive alien insect species and plant quarantine in Korea. Journal of Asia-Pacific Entomology, 15, 521-532
Jung, J., Seo, B., Kim, Y. and Lee, S. (2016). Can Maruca vitrata (Lepidoptera: Crambidae) Over-winter in Suwon Area? Korean Journal of Applied Entomology. 55(4): 439-444;Can Maruca vitrata (Lepidoptera Crambidae) Over-winter in Suwon Area Korean Journal of Applied Entomology. 55(4) 439-444;, ., Jung, J., Seo, B., Kim, Y., Lee, S. (2016). Can Maruca vitrata (Lepidoptera Crambidae) Over-winter in Suwon Area. Korean Journal of Applied Entomology, , 439-444
Lesovoya, N., Sykaloa, O., Chumakb, P., Vigerab, S. and Kliuchevychb, M. (2019). The Mediterranean Butterfly Phyllonorycter platani (Staudinger, 1870) in the Fomin Botanic Garden (Kiev, Ukraine). Russian Journal of Biological Invasions. 10(1): 104-107;The Mediterranean Butterfly Phyllonorycter platani (Staudinger, 1870) in the Fomin Botanic Garden (Kiev, Ukraine);Lesovoy, N., Sykalo, O., Chumak, P., Vigera, S., Kliuchevych, M. (2019). The Mediterranean Butterfly Phyllonorycter platani (Staudinger, 1870) in the Fomin Botanic Garden (Kiev, Ukraine). Russian Journal of Biological Invasions, 10, 104-107
Sandvik, H., Dolmen, D., Elven, R., Falkenhaug, T., Forsgren, E., Hansen, H., ... and Gederaas , L., (2019). Alien plants, animals, fungi and algae in Norway: an inventory of neobiota. Biological Invasions. 21: 2997-3012;Alien plants, animals, fungi and algae in Norway an inventory of neobiota;Sandvik, H., Dolmen, D., Elven, R., Falkenhaug, T., Forsgren, E., Hansen, H., Hassel, K., Husa, V., Kjrstad, G., degaard, F., Pedersen, H., Solheim, H., Stokke, B., sen, P., strm, S., Brandrud, T., Elven, H., Endrestl, A., Finstad, A., Fredriksen, S., Gammelmo, ., Gjershaug, J., Gulliksen, B., Hamnes, I., Hatteland, B., Hegre, H., Hesthagen, T., Jelmert, A., Jensen, T., Johnsen, S., Karlsbakk, E., Magnusson, C., Nedreaas, K., Nordn, B., Oug, E., Pedersen, O., Pedersen, P., Sjtun, K., Skei, J., Solstad, H., Sundheim, L., Swenson, J., Syvertsen, P., Talg, V., Vandvik, V., Westergaard, K., Wienerroither, R., Ytrehus, B., Hilmo, O., Henriksen, S., Gederaas, L. (2019). Alien plants, animals, fungi and algae in Norway an inventory of neobiota. Biological Invasions, 21, 2997-3012
Molnar, P., Bognar, C., Erdei, A., Fujii, T., Vagi, P., Josvai, J. and Karpati, Z. (2018). Identification of the Female-Produced Sex Pheromone of an Invasive Greenhouse Pest, the European Pepper Moth (Duponchelia fovealis). Journal of Chemical Ecology. 44: 257-267;Identification of the Female-Produced Sex Pheromone of an Invasive Greenhouse Pest, the European Pepper Moth (Duponchelia fovealis);Molnr, P., Bognr, C., Erdei, A., Fujii, T., Vgi, P., Jsvai, J., Krpti, Z. (2018). Identification of the Female-Produced Sex Pheromone of an Invasive Greenhouse Pest, the European Pepper Moth (Duponchelia fovealis). Journal of Chemical Ecology, 44, 257-267
Ivinskis, P. and Rimsaite, J. (2008). Phaneroptera falcate (Poda, 1761) (Orthoptera, Phaneropteridae) in Lithuania. Acta Zoologica Lituanica. 18(4): 270-272;Phaneroptera falcate (Poda, 1761) (Orthoptera, Phaneropteridae) in Lithuania;Ivinskis, P., Rimait, J. (2008). iPhaneroptera falcatei (Poda, 1761) (Orthoptera, Phaneropteridae) in Lithuania. Acta Zoologica Lituanica, 18, 270-272
Gahramanova, G., Mamay, M. and Mammadov, Z. (2020). Biological characteristics and efficacy of Bacillus thuringiensis var. thuringiensis against the cotton leaf roller, Syllepte derogata (Fabricius, 1775) (Lepidoptera: Crambidae). Journal of Biological Pest Control. 30: 85;Biological characteristics and efficacy of Bacillus thuringiensis var. thuringiensis against the cotton leaf roller, Syllepte derogata (Fabricius, 1775) (Lepidoptera Crambidae);Gahramanova, G., Mamay, M., Mammadov, Z. (2020). Biological characteristics and efficacy of Bacillus thuringiensis var. thuringiensis against the cotton leaf roller, Syllepte derogata (Fabricius, 1775) (Lepidoptera Crambidae). Egyptian Journal of Biological Pest Control, 30, 
Bond, K. (1998). Epiphyas postvittana, new to Ireland. Entomologists Record and Journal of Variation. 110: 250;Epiphyas postvittana, new to Ireland;Markwick, N., Graves, S., Fairbairn, F., Docherty, L., Poulton, J., Ward, V. (2002). Infectivity of Epiphyas postvittana nucleopolyhedrovirus for New Zealand leafrollers. Biological Control, 25, 207-214
Uulu, T., Ulusoy, M. and Caliskan, A. (2017). First record of tomato leafminer Tuta absoluta Meyrick (Lepidoptera: Gelechiidae) in Kyrgyzstan. Bulletin OEPP/EPPO Bulletin 47 (2): 285-287;First record of tomato leafminer Tuta absoluta Meyrick (Lepidoptera Gelechiidae) in Kyrgyzstan;Esenali Uulu, T., Ulusoy, M., alkan, A. (2017). First record of tomato leafminer iTuta absolutai Meyrick (Lepidoptera Gelechiidae) in Kyrgyzstan. EPPO Bulletin, 47, 285-287
Cock, M., Beseh, P., Buddie, A., Cafa, G. and Crozier, J. (2017). Molecular methods to detect Spodoptera frugiperda in Ghana, and implications for monitoring the spread of invasive species in developing countries. Scientific Reports. 7(1): 4103;Molecular methods to detect Spodoptera frugiperda in Ghana, and implications for monitoring the spread of invasive species in developing countries;Cock, M., Beseh, P., Buddie, A., Caf, G., Crozier, J. (2017). Molecular methods to detect Spodoptera frugiperda in Ghana, and implications for monitoring the spread of invasive species in developing countries. Scientific Reports, 7, 
Day, R., Abrahams, P., Bateman, M., Beale, T., Clottey, V., Cock, M. and Witt A. (2017). Fall armyworm: Impacts and implications for Africa. Outlooks on Pest Management. 28: 196-201;Fall armyworm Impacts and implications for Africa;Day, R., Abrahams, P., Bateman, M., Beale, T., Clottey, V., Cock, M., Colmenarez, Y., Corniani, N., Early, R., Godwin, J., Gomez, J., Moreno, P., Murphy, S., Oppong-Mensah, B., Phiri, N., Pratt, C., Silvestri, S., Witt, A. (2017). Fall Armyworm Impacts and Implications for Africa. Outlooks on Pest Management, 28, 196-201
Saidov, N., Srinivasan, R., Mavlyanova, R. and Qurbonov, Z. (2018). First Report of Invasive South American Tomato Leaf Miner Tuta absoluta (Meyrick) (Lepidoptera: Gelechiidae) in Tajikistan. Florida Entomologist. 101(1): 147-149;First Report of Invasive South American Tomato Leaf Miner Tuta absoluta (Meyrick) (Lepidoptera Gelechiidae) in Tajikistan;Saidov, N., Srinivasan, R., Mavlyanova, R., Qurbonov, Z. (2018). First Report of Invasive South American Tomato Leaf Miner iTuta absolutai (Meyrick) (Lepidoptera Gelechiidae) in Tajikistan. Florida Entomologist, 101, 147-149
Demetriou, J., Radea, C., Peyton, J., Groom, Q., Roques, A., Rabitsch, ... and Martinou, A. (2023). The Alien to Cyprus Entomofauna (ACE) database: a review of the current status of alien insects (Arthropoda, Insecta) including an updated species checklist, discussion on impacts and recommendations for informing management. NeoBiota. 83: 11-42;The Alien to Cyprus Entomofauna (ACE) database a review of the current status of alien insects (Arthropoda, Insecta) including an updated species checklist, discussion on impacts and recommendations for informing management;Demetriou, J., Radea, C., Peyton, J., Groom, Q., Roques, A., Rabitsch, W., Seraphides, N., Arianoutsou, M., Roy, H., Martinou, A. (2023). The Alien to Cyprus Entomofauna (ACE) database a review of the current status of alien insects (Arthropoda, Insecta) including an updated species checklist, discussion on impacts and recommendations for informing management. NeoBiota, 83, 11-42
Kravchenko, V., Muller, G., Allan, S., and Yefremova, Z. (2014). Seven invasive owlet moths (Lepidoptera: Noctuidae) in Israel and their potential parasitoids (Hymenoptera: Chalcidoidea). Phytoparasitica. 42: 333-339;Seven invasive owlet moths (Lepidoptera Noctuidae) in Israel and their potential parasitoids (Hymenoptera Chalcidoidea);
