GNOLEP:speciesID,GNOLEP:acceptedSpeciesID,dwc:family,dwc:genus,dwc:scientificName
SP584,SP584,Geometridae,Eupithecia,Eupithecia pulchellata
SP585,SP585,Geometridae,Eupithecia,Eupithecia pusillata
SP586,SP586,Geometridae,Eupithecia,Eupithecia ultimaria
SP587,SP587,Nymphalidae,Euploea,Euploea core
SP588,SP588,Nymphalidae,Euploea,Euploea mulciber
SP589,SP589,Erebidae,Euproctis,Euproctis chrysorrhoea
SP590,SP590,Erebidae,Euproctis,Euproctis fraterna
SP591,SP1298,Erebidae,Sphrageidus,Euproctis similis
SP592,SP592,Geometridae,Eurranthis,Eurranthis plummistaria
SP593,SP75,Crambidae,Anania,Eurrhypara hortulata
SP594,SP594,Noctuidae,Euscirrhopterus,Euscirrhopterus poeyi
SP595,SP595,Crambidae,Eustixia,Eustixia pupula
SP596,SP596,Euteliidae,Eutelia,Eutelia adulatrix
SP597,SP597,Depressariidae,Eutorna,Eutorna phaulocosma
SP598,SP598,Pyralidae,Euzophera,Euzophera osseatella
SP599,SP599,Pyralidae,Euzophera,Euzophera pinguis
SP600,SP600,Crambidae,Evergestis,Evergestis aenealis
SP601,SP601,Crambidae,Evergestis,Evergestis pallidata
SP602,SP602,Pterophoridae,Exelastis,Exelastis montichristi
SP603,SP603,Pterophoridae,Exelastis,Exelastis pumilio
SP604,SP604,Gelechiidae,Exoteleia,Exoteleia dodecella
SP605,SP605,Noctuidae,Feltia,Feltia subterranea
SP606,SP606,Nepticulidae,Fomoria,Fomoria septembrella
SP607,SP607,Pyralidae,Fundella,Fundella argentina
SP608,SP608,Pyralidae,Galleria,Galleria mellonella
SP609,SP608,Pyralidae,Galleria,Galleria melonella
SP610,SP610,Erebidae,Galtara,Galtara extensa
SP611,SP611,Nolidae,Garella,Garella musculana
SP612,SP612,Nolidae,Garella,Garella nilotica
SP613,SP613,Pyralidae,Gauna,Gauna aegusalis
SP614,SP614,Gelechiidae,Gelechia,Gelechia sabinellus
SP615,SP615,Gelechiidae,Gelechia,Gelechia senticetella
SP616,SP616,Glyphipterigidae,Glyphipterix,Glyphipterix simpliciella
SP617,SP617,Crambidae,Glyphodes,Glyphodes bivitralis
SP618,SP618,Crambidae,Glyphodes,Glyphodes onychinalis
SP619,SP397,Crambidae,Cydalima,Glyphodes perspectalis
SP620,SP620,Crambidae,Glyphodes,Glyphodes pyloalis
SP621,SP621,Sphingidae,Gnathothlibus,Gnathothlibus erotus
SP622,SP1286,Gracillariidae,Parectopa,Gracilaria alysidota
SP623,SP623,Gracillariidae,Gracillaria,Gracillaria syringella
SP624,SP624,Saturniidae,Graellsia,Graellsia isabellae
SP625,SP625,Erebidae,Grammodes,Grammodes stolida
SP626,SP626,Tortricidae,Grapholita,Grapholita delineana
SP627,SP627,Tortricidae,Grapholita,Grapholita molesta
SP628,SP628,Tortricidae,Grapholita,Grapholita prunivora
SP629,SP626,Tortricidae,Grapholita,Grapholitha delineana
SP630,SP627,Tortricidae,Grapholita,Grapholitha molesta
SP631,SP631,Geometridae,Gymnoscelis,Gymnoscelis rufifasciata
SP632,SP632,Tortricidae,Gypsonoma,Gypsonoma aceriana
SP633,SP633,Noctuidae,Hadena,Hadena compta
SP634,SP80,Noctuidae,Anarta,Hadula trifolii
SP635,SP635,Elachistidae,Haplochrois,Haplochrois theae
SP636,SP636,Tineidae,Haplotinea,Haplotinea ditella
SP637,SP637,Tineidae,Haplotinea,Haplotinea insectella
SP638,SP638,Crambidae,Haritalodes,Haritalodes derogata
SP639,SP639,Hesperiidae,Hasora,Hasora badra
SP640,SP640,Noctuidae,Hecatera,Hecatera dysodea
SP641,SP641,Tortricidae,Hedya,Hedya nubiferana
SP642,SP642,Tortricidae,Hedya,Hedya salicella
SP643,SP643,Gelechiidae,Helcystogramma,Helcystogramma convolvuli
SP644,SP644,Nymphalidae,Heliconius,Heliconius erato
SP645,SP645,Noctuidae,Helicoverpa,Helicoverpa armigera
SP646,SP646,Noctuidae,Helicoverpa,Helicoverpa assulta
SP647,SP647,Noctuidae,Helicoverpa,Helicoverpa punctigera
SP648,SP648,Noctuidae,Helicoverpa,Helicoverpa titicacae
SP649,SP649,Noctuidae,Helicoverpa,Helicoverpa zea
SP650,SP645,Noctuidae,Helicoverpa,Heliothis armigera
SP651,SP649,Noctuidae,Helicoverpa,Heliothis zea
SP652,SP652,Heliozelidae,Heliozela,Heliozela catoptrias
SP653,SP653,Pterophoridae,Hellinsia,Hellinsia balanotes
SP654,SP654,Pterophoridae,Hellinsia,Hellinsia beneficus
SP655,SP655,Crambidae,Hellula,Hellula phidilealis
SP656,SP656,Crambidae,Hellula,Hellula undalis
SP657,SP1293,Erebidae,Orgyia,Hemerocampa leucostigma
SP658,SP658,Lycaenidae,Hemiargus,Hemiargus ceraunus
SP659,SP659,Lycaenidae,Hemiargus,Hemiargus ramon
SP660,SP660,Geometridae,Hemithea,Hemithea aestivaria
SP661,SP661,Eriocraniidae,Heringocrania,Heringocrania unimaculella
SP662,SP662,Crambidae,Herpetogramma,Herpetogramma basalis
SP663,SP663,Crambidae,Herpetogramma,Herpetogramma bipunctalis
SP664,SP664,Crambidae,Herpetogramma,Herpetogramma licarsisalis
SP665,SP665,Crambidae,Herpetogramma,Herpetogramma phaeopteralis
SP666,SP666,Crambidae,Hileithia,Hileithia decostalis
SP667,SP667,Nymphalidae,Hipparchia,Hipparchia statilinus
SP668,SP668,Sphingidae,Hippotion,Hippotion celerio
SP669,SP669,Sphingidae,Hippotion,Hippotion rosetta
SP670,SP670,Zygaenidae,Histia,Histia flabellicornis
SP671,SP1052,Crambidae,Pyrausta,Hodebertia testalis
SP672,SP672,Oecophoridae,Hofmannophila,Hofmannophila pseudospretella
SP673,SP674,Galacticidae,Homadaula,Homadaula albizziae
SP674,SP674,Galacticidae,Homadaula,Homadaula anisocentra
SP675,SP1280,Pyralidae,Homoeosoma,Homeosoma stenotea
SP676,SP1321,Pyralidae,Homoeographa,Homoeographa lamceolella
SP677,SP677,Saturniidae,Hyalophora,Hyalophora cecropia
SP678,SP678,Saturniidae,Hyalophora,Hyalophora euryalus
SP679,SP679,Hyblaeidae,Hyblaea,Hyblaea puera
SP680,SP680,Noctuidae,Hydraecia,Hydraecia micacea
SP681,SP681,Hesperiidae,Hylephila,Hylephila phyleus
SP682,SP682,Sphingidae,Hyles,Hyles euphorbiae
SP683,SP683,Sphingidae,Hyles,Hyles lineata
SP684,SP684,Crambidae,Hymenia,Hymenia perspectalis
SP685,SP1309,Erebidae,Hypena,Hypena laceratalis
SP686,SP686,Erebidae,Hypena,Hypena opulenta
SP687,SP687,Erebidae,Hypena,Hypena subidalis
SP688,SP689,Erebidae,Hyphantria,Hyphantrea cunea
SP689,SP689,Erebidae,Hyphantria,Hyphantria cunea
SP690,SP690,Erebidae,Hypocala,Hypocala deflorata
SP691,SP691,Nymphalidae,Hypolimnas,Hypolimnas misippus
SP692,SP1313,Pyralidae,Hypsopygia,Hyposopygia mauritialis
SP693,SP693,Pyralidae,Hypsipyla,Hypsipyla grandella
SP694,SP694,Pyralidae,Hypsopygia,Hypsopygia costalis
SP695,SP695,Geometridae,Idaea,Idaea dimidiata
SP696,SP696,Geometridae,Idaea,Idaea inquinata
SP697,SP697,Immidae,Imma,Imma mylias
SP698,SP698,Incurvariidae,Incurvaria,Incurvaria rubiella
SP699,SP699,Papilionidae,Iphiclides,Iphiclides podalirius
SP700,SP700,Geometridae,Iridopsis,Iridopsis fragilaria
SP701,SP701,Erebidae,Ischyja,Ischyja manlia
SP702,SP702,Gelechiidae,Isophrictis,Isophrictis striatella
SP703,SP703,Tortricidae,Isotenes,Isotenes miserana
SP704,SP1281,Cosmopterigidae,Periploca,Ithome concolorella
SP705,SP705,Cosmopterigidae,Ithome,Ithome lassula
SP706,SP706,Nymphalidae,Junonia,Junonia atlites
SP707,SP707,Gelechiidae,Keiferia,Keiferia lycopersicella
SP708,SP708,Gracillariidae,Ketapangia,Ketapangia leucochorda
SP709,SP709,Hepialidae,Korscheltellus,Korscheltellus lupulina
SP710,SP1323,Psychidae,Chaliopsis,Kotochalia junodi
SP711,SP711,Nymphalidae,Ladoga,Ladoga camilla
SP712,SP712,Lycaenidae,Lampides,Lampides boeticus
SP713,SP698,Incurvariidae,Incurvaria,Lampronia corticella
SP714,SP698,Incurvariidae,Incurvaria,Lampronia rubiella
SP715,SP1328,Crambidae,Lamprosema,Lamprosema charesalis
SP716,SP716,Cossidae,Langsdorfia,Langsdorfia franckii
SP717,SP718,Pterophoridae,Lantanophaga,Lantanophaga pusillidactyla
SP718,SP718,Pterophoridae,Lantanophaga,Lantanophaga pusillidactylus
SP719,SP406,Tortricidae,Cydia,Laspeyresia milleniana
SP720,SP410,Tortricidae,Cydia,Laspeyresia pomonella
SP721,SP1326,Blastobasidae,Blastobasis,Lateantenna inana
SP722,SP722,Noctuidae,Lateroligia,Lateroligia ophiogramma
SP723,SP723,Lasiocampidae,Lebeda,Lebeda nobilis
SP724,SP724,Lecithoceridae,Lecithocera,Lecithocera micromela
SP725,SP725,Erebidae,Lemyra,Lemyra rhodophilodes
SP726,SP726,Psychidae,Lepidoscia,Lepidoscia heliochares
SP727,SP727,Psychidae,Lepidoscia,Lepidoscia protorna
SP728,SP728,Glyphipterigidae,Lepidotarphius,Lepidotarphius perornatella
SP729,SP729,Erebidae,Leptocneria,Leptocneria reducta
SP730,SP730,Oecophoridae,Leptocroca,Leptocroca sanguinolenta
SP731,SP731,Noctuidae,Leptologia,Leptologia lota
SP732,SP732,Pieridae,Leptosia,Leptosia nina
SP733,SP733,Noctuidae,Leucania,Leucania comma
SP734,SP734,Noctuidae,Leucania,Leucania inconspicua
SP735,SP735,Noctuidae,Leucania,Leucania loreyi
SP736,SP739,Noctuidae,Leucania,Leucania loreyimima
SP737,SP1325,Noctuidae,Leucania,Leucania opalisans
SP738,SP1282,Noctuidae,Mythimna,Leucania scottii
SP739,SP739,Noctuidae,Leucania,Leucania stenographa
SP740,SP740,Noctuidae,Leucania,Leucania striata
SP741,SP741,Crambidae,Leucinodes,Leucinodes orbonalis
SP742,SP742,Geometridae,Leuciris,Leuciris fimbriaria
SP743,SP743,Erebidae,Leucoma,Leucoma salicis
SP744,SP744,Lyonetiidae,Leucoptera,Leucoptera coffeella
SP745,SP745,Lyonetiidae,Leucoptera,Leucoptera laburnella
SP746,SP746,Lyonetiidae,Leucoptera,Leucoptera malifoliella
SP747,SP747,Lyonetiidae,Leucoptera,Leucoptera sinuella
SP748,SP748,Lyonetiidae,Leucoptera,Leucoptera spartifoliella
SP749,SP749,Tineidae,Lindera,Lindera tessellatella
SP750,SP750,Crambidae,Lineodes,Lineodes elcodes
SP751,SP751,Crambidae,Lineodes,Lineodes integra
SP752,SP752,Crambidae,Lineodes,Lineodes ochrea
SP753,SP753,Pterophoridae,Lioptilodes,Lioptilodes albistriolatus
SP754,SP754,Pyralidae,Lipographis,Lipographis subosseella
SP755,SP755,Noctuidae,Lithophane,Lithophane leautieri
SP756,SP756,Erebidae,Litoprosopus,Litoprosopus haitiensis
SP757,SP757,Tortricidae,Lobesia,Lobesia botrana
SP758,SP759,Tortricidae,Lobesiodes,Lobesia euphorbiana
SP759,SP759,Tortricidae,Lobesiodes,Lobesiodes euphorbiana
SP760,SP760,Tortricidae,Lorita,Lorita baccharivora
SP761,SP761,Tortricidae,Lorita,Lorita scarificata
SP762,SP762,Pyralidae,Loryma,Loryma recusata
SP763,SP763,Crambidae,Loxomorpha,Loxomorpha flavidissimalis
SP764,SP764,Crambidae,Loxostege,Loxostege sticticalis
SP765,SP764,Crambidae,Loxostege,Loxostege stricticalis
SP766,SP766,Tortricidae,Lozotaenia,Lozotaenia cedrivora
SP767,SP767,Lycaenidae,Luthrodes,Luthrodes pandava
SP768,SP768,Erebidae,Lycomorphodes,Lycomorphodes sordida
SP769,SP769,Erebidae,Lymantria,Lymantria dispar
SP770,SP770,Erebidae,Lymantria,Lymantria mathura
SP771,SP771,Erebidae,Lymantria,Lymantria monacha
SP772,SP772,Erebidae,Macaldenia,Macaldenia palumba
SP773,SP773,Geometridae,Macaria,Macaria abydata
SP774,SP774,Geometridae,Macaria,Macaria liturata
SP775,SP1308,Geometridae,Digrammia,Macaria pallidata
SP776,SP776,Geometridae,Macaria,Macaria wauaria
SP777,SP777,Gracillariidae,Macarostola,Macarostola ida
SP778,SP778,Erebidae,Macristis,Macristis geminipunctalis
SP779,SP1314,Sphingidae,Macroglossum,Macroglossum pyrrhostictum
SP780,SP780,Pyralidae,Macrorrhinia,Macrorrhinia endonephele
SP781,SP781,Gracillariidae,Macrosaccus,Macrosaccus robiniella
SP782,SP782,Lasiocampidae,Malacosoma,Malacosoma neustria
SP783,SP783,Sphingidae,Manduca,Manduca quinquemaculatus
SP784,SP784,Crambidae,Marasmia,Marasmia trapezalis
SP785,SP764,Crambidae,Loxostege,Margaritia sticticalis
SP786,SP786,Lecithoceridae,Martyringa,Martyringa xeraula
SP787,SP788,Crambidae,Maruca,Maruca testulalis
SP788,SP788,Crambidae,Maruca,Maruca vitrata
SP789,SP789,Noctuidae,Megalographa,Megalographa biloba
SP790,SP791,Pterophoridae,Megalorhipida,Megalorhipida leucodactyla
SP791,SP791,Pterophoridae,Megalorhipida,Megalorhipida leucodactylus
SP792,SP792,Erebidae,Melipotis,Melipotis indomita
SP793,SP793,Pyralidae,Melitara,Melitara dentata
SP794,SP794,Pyralidae,Melitara,Melitara junctolineella
SP795,SP795,Pyralidae,Melitara,Melitara prodenialis
SP796,SP796,Sesiidae,Melittia,Melittia oedipus
SP797,SP797,Tortricidae,Merophyas,Merophyas divulsana
SP798,SP798,Noctuidae,Mesapamea,Mesapamea secalis
SP799,SP799,Gelechiidae,Mesophleps,Mesophleps adustipennis
SP800,SP1291,Oecophoridae,Borkhausenia,Metalampra italica
SP801,SP801,Xyloryctidae,Metathrinca,Metathrinca tsugensis
SP802,SP802,Gelechiidae,Metzneria,Metzneria lappella
SP803,SP803,Gelechiidae,Metzneria,Metzneria paucipunctella
SP804,SP804,Crambidae,Mimudea,Mimudea puralis
SP805,SP1305,Limacodidae,Oxyplax,Miresa pallivitta
SP806,SP806,Gelechiidae,Mirificarma,Mirificarma eburnella
SP807,SP807,Momphidae,Mompha,Mompha eloisella
SP808,SP808,Momphidae,Mompha,Mompha epilobiella
SP809,SP809,Momphidae,Mompha,Mompha locupletella
SP810,SP810,Momphidae,Mompha,Mompha raschkiella
SP811,SP811,Momphidae,Mompha,Mompha subbistrigella
SP812,SP812,Momphidae,Mompha,Mompha terminella
SP813,SP813,Momphidae,Mompha,Mompha trithalama
SP814,SP814,Limacodidae,Monema,Monema flavescens
SP815,SP815,Tineidae,Monopis,Monopis argillacea
SP816,SP816,Tineidae,Monopis,Monopis crocicapitella
SP817,SP817,Tineidae,Monopis,Monopis ethelella
SP818,SP822,Tineidae,Monopis,Monopis ferruginella
SP819,SP819,Tineidae,Monopis,Monopis longella
SP820,SP820,Tineidae,Monopis,Monopis meliorella
SP821,SP821,Tineidae,Monopis,Monopis monachella
SP822,SP822,Tineidae,Monopis,Monopis obviella
SP823,SP823,Pyralidae,Moodna,Moodna bisinuella
SP824,SP824,Pyralidae,Morosaphycita,Morosaphycita oculiferella
SP825,SP825,Noctuidae,Mouralia,Mouralia tinctoides
SP826,SP826,Pyralidae,Musotima,Musotima nitidalis
SP827,SP827,Pyralidae,Musotima,Musotima ochropteralis
SP828,SP828,Pyralidae,Mussidia,Mussidia nigrivenella
SP829,SP829,Pyralidae,Myrlaea,Myrlaea marmorata
SP830,SP830,Noctuidae,Mythimna,Mythimna languida
SP831,SP739,Noctuidae,Leucania,Mythimna loreyimima
SP832,SP832,Noctuidae,Mythimna,Mythimna separata
SP833,SP833,Noctuidae,Mythimna,Mythimna unipuncta
SP834,SP834,Crambidae,Nacoleia,Nacoleia charesalis
SP835,SP835,Crambidae,Nacoleia,Nacoleia octasema
SP836,SP836,Tineidae,Nemapogon,Nemapogon cloacella
SP837,SP837,Tineidae,Nemapogon,Nemapogon granella
SP838,SP837,Tineidae,Nemapogon,Nemapogon granellus
SP839,SP839,Tineidae,Nemapogon,Nemapogon picarella
SP840,SP840,Tineidae,Nemapogon,Nemapogon variatella
SP841,SP841,Noctuidae,Neogalea,Neogalea sunia
SP842,SP842,Crambidae,Neoleucinodes,Neoleucinodes elegantalis
SP843,SP843,Crambidae,Neoleucinodes,Neoleucinodes torvis
SP844,SP843,Crambidae,Neoleucinodes,Neoleucinoides torvus
SP845,SP845,Cosmopterigidae,Neomariania,Neomariania rebeli
SP846,SP846,Pyralidae,Neomusotima,Neomusotima conspurcatalis
SP847,SP1307,Pyralidae,Nephopterix,Nephopterix genistella
SP848,SP848,Gracillariidae,Neurostrota,Neurostrota gunniella
SP849,SP849,Tineidae,Neurothaumasia,Neurothaumasia ankerella
SP850,SP850,Tineidae,Niditinea,Niditinea fuscella
SP851,SP851,Crambidae,Niphograpta,Niphograpta albiguttalis
SP852,SP852,Noctuidae,Niphonyx,Niphonyx segregata
SP853,SP853,Noctuidae,Noctua,Noctua comes
SP854,SP854,Noctuidae,Noctua,Noctua janthina
SP855,SP855,Noctuidae,Noctua,Noctua pronuba
SP856,SP856,Nolidae,Nola,Nola cucullatella
SP857,SP857,Crambidae,Nomophila,Nomophila noctuella
SP858,SP858,Tortricidae,Notocelia,Notocelia cynosbatella
SP859,SP859,Tortricidae,Notocelia,Notocelia rosaecolana
SP860,SP860,Erebidae,Nyctemera,Nyctemera amicus
SP861,SP861,Nymphalidae,Nymphalis,Nymphalis californica
SP862,SP37,Nymphalidae,Aglais,Nymphalis io
SP863,SP1318,Nymphalidae,Aglais,Nymphalis urticae
SP864,SP929,Crambidae,Parapoynx,Nymphula crisonalis
SP865,SP491,Crambidae,Elophila,Nymphula enixalis
SP866,SP866,Crambidae,Nymphula,Nymphula manilensis
SP867,SP545,Nepticulidae,Etainia,Obrussa sericopeza
SP868,SP868,Ypsolophidae,Ochsenheimeria,Ochsenheimeria vacculella
SP869,SP869,Yponomeutidae,Ocnerostoma,Ocnerostoma piniariella
SP870,SP870,Pyralidae,Ocrasa,Ocrasa nostralis
SP871,SP871,Autostichidae,Oecia,Oecia oecophila
SP872,SP872,Oecophoridae,Oecophora,Oecophora bractella
SP873,SP873,Autostichidae,Oegoconia,Oegoconia caradjai
SP874,SP876,Autostichidae,Oegoconia,Oegoconia deauratella
SP875,SP876,Autostichidae,Oegoconia,Oegoconia novimundi
SP876,SP876,Autostichidae,Oegoconia,Oegoconia quadripuncta
SP877,SP877,Psychidae,Oiketicus,Oiketicus kirbyi
SP878,SP878,Tineidae,Oinophila,Oinophila v-flava
SP879,SP879,Noctuidae,Oligia,Oligia latruncula
SP880,SP880,Noctuidae,Oligia,Oligia strigilis
SP881,SP881,Crambidae,Oligostigma,Oligostigma polydectalis
SP882,SP882,Crambidae,Omiodes,Omiodes indicata
SP883,SP88,Noctuidae,Anchoscelis,Omphaloscelis lunosa
SP884,SP884,Crambidae,Omphisa,Omphisa anastomosalis
SP885,SP885,Geometridae,Operophtera,Operophtera brumata
SP886,SP886,Erebidae,Ophiusa,Ophiusa disjungens
SP887,SP887,Erebidae,Ophiusa,Ophiusa tirhaca
SP888,SP888,Erebidae,Ophiusa,Ophiusa trapezium
SP889,SP889,Xyloryctidae,Opisina,Opisina arenosella
SP890,SP890,Tineidae,Opogona,Opogona aurisquamosa
SP891,SP891,Tineidae,Opogona,Opogona comptella
SP892,SP892,Tineidae,Opogona,Opogona omoscopa
SP893,SP893,Tineidae,Opogona,Opogona purpuriella
SP894,SP894,Tineidae,Opogona,Opogona sacchari
SP895,SP895,Oecophoridae,Opsitycha,Opsitycha squalidella
SP896,SP896,Erebidae,Oraesia,Oraesia emarginata
SP897,SP897,Erebidae,Oraesia,Oraesia excavata
SP898,SP898,Erebidae,Orgyia,Orgyia antiqua
SP899,SP899,Erebidae,Orgyia,Orgyia thyellina
SP900,SP1311,Erebidae,Clethrogyna,Orgyia turbata
SP901,SP901,Gelechiidae,Ornativalva,Ornativalva erubescens
SP902,SP1067,Crambidae,Salbia,Orphanostigma haemorrhoidalis
SP903,SP903,Crambidae,Ostrinia,Ostrinia furnacalis
SP904,SP904,Crambidae,Ostrinia,Ostrinia nubilalis
SP905,SP568,Erebidae,Eudocima,Othreis fullonia
SP906,SP906,Erebidae,Oxyodes,Oxyodes scrobiculata
SP907,SP907,Euteliidae,Paectes,Paectes arcigera
SP908,SP907,Euteliidae,Paectes,Paectes nana
SP909,SP909,Crambidae,Palpita,Palpita flegia
SP910,SP910,Crambidae,Palpita,Palpita hypohomalia
SP911,SP911,Crambidae,Palpita,Palpita persimilis
SP912,SP912,Crambidae,Palpita,Palpita vitrealis
SP913,SP913,Tortricidae,Pandemis,Pandemis cerasana
SP914,SP914,Tortricidae,Pandemis,Pandemis heparana
SP915,SP915,Erebidae,Pandesma,Pandesma anysa
SP916,SP916,Erebidae,Pantydia,Pantydia sparsa
SP917,SP917,Papilionidae,Papilio,Papilio demodocus
SP918,SP918,Papilionidae,Papilio,Papilio demoleus
SP919,SP919,Papilionidae,Papilio,Papilio helenus
SP920,SP920,Papilionidae,Papilio,Papilio polytes
SP921,SP921,Papilionidae,Papilio,Papilio xuthus
SP922,SP922,Crambidae,Paracorsia,Paracorsia repandalis
SP923,SP923,Pyralidae,Paralipsa,Paralipsa gularis
SP924,SP924,Sesiidae,Paranthrene,Paranthrene tabaniformis
SP925,SP925,Nymphalidae,Parantica,Parantica aglea
SP926,SP1335,Crambidae,Parapediasia,Parapediasia teterrella
SP927,SP1335,Crambidae,Parapediasia,Parapediasia teterrellus
SP928,SP928,Crambidae,Parapoynx,Parapoynx bilinealis
SP929,SP929,Crambidae,Parapoynx,Parapoynx crisonalis
SP930,SP930,Crambidae,Parapoynx,Parapoynx diminutalis
SP931,SP931,Crambidae,Parapoynx,Parapoynx fluctuosalis
SP932,SP932,Crambidae,Parapoynx,Parapoynx obscuralis
SP933,SP933,Crambidae,Parapoynx,Parapoynx polydectalis
SP934,SP934,Limacodidae,Parasa,Parasa lepida
SP935,SP935,Limacodidae,Parasa,Parasa pastoralis
SP936,SP936,Erebidae,Parascotia,Parascotia fuliginaria
SP937,SP937,Yponomeutidae,Paraswammerdamia,Paraswammerdamia albicapitella
SP938,SP938,Yponomeutidae,Paraswammerdamia,Paraswammerdamia lutarea
SP939,SP938,Yponomeutidae,Paraswammerdamia,Paraswammerdamia nebulella
SP940,SP940,Nolidae,Pardasena,Pardasena virgulana
SP941,SP941,Gracillariidae,Parectopa,Parectopa robiniella
SP942,SP942,Erebidae,Pareuchaetes,Pareuchaetes aurata
SP943,SP943,Erebidae,Pareuchaetes,Pareuchaetes insulata
SP944,SP944,Erebidae,Pareuchaetes,Pareuchaetes pseudoinsulata
SP945,SP945,Tineidae,Parochmastis,Parochmastis hilderi
SP946,SP946,Geometridae,Pasiphila,Pasiphila rectangulata
SP947,SP947,Castniidae,Paysandisia,Paysandisia archon
SP948,SP948,Gelechiidae,Pectinophora,Pectinophora gossypiella
SP949,SP1310,Gelechiidae,Pectinophora,Pectinophora scutigera
SP950,SP950,Tortricidae,Pelochrista,Pelochrista medullana
SP951,SP951,Pyralidae,Pempelia,Pempelia genistella
SP952,SP1300,Pyralidae,Pempelia,Pempelia heringi
SP953,SP953,Euteliidae,Penicillaria,Penicillaria jocosatrix
SP954,SP955,Sesiidae,Pennisetia,Pennisetia hylaeformis
SP955,SP955,Sesiidae,Pennisetia,Pennisetia hylaeiformis
SP956,SP1320,Sesiidae,Pennisetia,Pennisetia marginata
SP957,SP957,Geometridae,Peribatodes,Peribatodes perversaria
SP958,SP958,Erebidae,Pericyma,Pericyma cruegeri
SP959,SP959,Noctuidae,Peridroma,Peridroma saucia
SP960,SP744,Lyonetiidae,Leucoptera,Perileucoptera coffeella
SP961,SP961,Elachistidae,Perittia,Perittia herrichiella
SP962,SP962,Elachistidae,Perittia,Perittia lonicerae
SP963,SP963,Geometridae,Perixera,Perixera illepidaria
SP964,SP964,Geometridae,Perizoma,Perizoma alchemillata
SP965,SP965,Noctuidae,Phalaenoides,Phalaenoides glycinae
SP966,SP967,Tineidae,Phereoeca,Phereocca allutella
SP967,SP967,Tineidae,Phereoeca,Phereoeca allutella
SP968,SP968,Tineidae,Phereoeca,Phereoeca praecox
SP969,SP969,Oecophoridae,Philobota,Philobota chionoptera
SP970,SP970,Limacodidae,Phobetron,Phobetron hipparchia
SP971,SP971,Pieridae,Phoebis,Phoebis agarithe
SP972,SP124,Pieridae,Aphrissa,Phoebis orbis
SP973,SP973,Geometridae,Phrissogonus,Phrissogonus laticostata
SP974,SP974,Tortricidae,Phtheochroa,Phtheochroa pulvillana
SP975,SP975,Gelechiidae,Phthorimaea,Phthorimaea absoluta
SP976,SP977,Gelechiidae,Phthorimaea,Phthorimaea openculella
SP977,SP977,Gelechiidae,Phthorimaea,Phthorimaea operculella
SP978,SP978,Gracillariidae,Phyllocnistis,Phyllocnistis citrella
SP979,SP979,Gracillariidae,Phyllocnistis,Phyllocnistis vitegenella
SP980,SP979,Gracillariidae,Phyllocnistis,Phyllocnistis vitigenella
SP981,SP981,Gracillariidae,Phyllonorycter,Phyllonorycter blancardella
SP982,SP982,Gracillariidae,Phyllonorycter,Phyllonorycter emberizaepenella
SP983,SP983,Gracillariidae,Phyllonorycter,Phyllonorycter geniculella
SP984,SP984,Gracillariidae,Phyllonorycter,Phyllonorycter issikii
SP985,SP985,Gracillariidae,Phyllonorycter,Phyllonorycter joannisi
SP986,SP986,Gracillariidae,Phyllonorycter,Phyllonorycter leucographella
SP987,SP986,Gracillariidae,Phyllonorycter,Phyllonorycter leucographellus
SP988,SP988,Gracillariidae,Phyllonorycter,Phyllonorycter medicaginella
SP989,SP989,Gracillariidae,Phyllonorycter,Phyllonorycter mespilella
SP990,SP990,Gracillariidae,Phyllonorycter,Phyllonorycter messaniella
SP991,SP991,Gracillariidae,Phyllonorycter,Phyllonorycter myricae
SP992,SP992,Gracillariidae,Phyllonorycter,Phyllonorycter platani
SP993,SP781,Gracillariidae,Macrosaccus,Phyllonorycter robiniella
SP994,SP994,Erebidae,Physula,Physula albipunctilla
SP995,SP995,Pieridae,Pieris,Pieris brassicae
SP996,SP996,Pieridae,Pieris,Pieris canidia
SP997,SP997,Pieridae,Pieris,Pieris rapae
SP998,SP998,Crambidae,Piletocera,Piletocera bufalis
SP999,SP999,Crambidae,Pilocrocis,Pilocrocis ramentalis
SP1000,SP1000,Tortricidae,Planotortrix,Planotortrix excessana
SP1001,SP1001,Gelechiidae,Platyedra,Platyedra subcinerea
SP1002,SP1002,Tortricidae,Platynota,Platynota rostrana
SP1003,SP1003,Tortricidae,Platynota,Platynota stultana
SP1004,SP1333,Pterophoridae,Platyptilia,Platyptilia carduidactyla
SP1005,SP1006,Pterophoridae,Platyptilia,Platyptilia isodactyla
SP1006,SP1006,Pterophoridae,Platyptilia,Platyptilia isodactylus
SP1007,SP1007,Geometridae,Plesiomorpha,Plesiomorpha flaviceps
SP1008,SP1008,Geometridae,Pleuroprucha,Pleuroprucha asthenaria
SP1009,SP1009,Pyralidae,Plodia,Plodia interpunctella
SP1010,SP1010,Plutellidae,Plutella,Plutella porrectella
SP1011,SP1011,Plutellidae,Plutella,Plutella xylostella
SP1012,SP1012,Hesperiidae,Polites,Polites sabuleti
SP1013,SP1013,Erebidae,Polydesma,Polydesma boarmoides
SP1014,SP1014,Lycaenidae,Polyommatus,Polyommatus icarus
SP1015,SP1015,Cossidae,Polyphagozerra,Polyphagozerra coffeae
SP1016,SP1016,Gracillariidae,Polysoma,Polysoma eumetalla
SP1017,SP17,Noctuidae,Acontia,Ponometia candefacta
