ReferenceID,BibliographicReference,ReferenceYear
REF37,"""Clarke B. Gates-Clarke J. (1984). Insects of Micronesia Microlepidoptera: Gelechioidea. Insects of Micronesia. 9(2): 145-155""",1984.0
REF38,"""Marabuto E. (2006). The occurrence of a neotropical hawkmoth in southern Portugal: Agrius cingulatus (Fabricius 1775) (Lepidoptera: Sphingidae). Boletin de la Sociedad Entomologica Aragonesa. 38: 163-166""",2006.0
REF39,"""Wen L. (2004). Prospect on the parasitical enemies and its natural control effect of Agrius convolvuli. Chinese Journal of Biological Control. 20(4): 273""",2004.0
REF40,"""Showers W. (1997). Migratory Ecology of the Black Cutworm. Annual Review of Entomology. 42: 393-425""",1997.0
REF41,"""Esbjerg P. Sigsgaard L. (2014) Phenology and pest status of Agrotis segetum in a changing climate. Crop Protection 62 64–71""",2014.0
REF42,"""EFSA Panel on Plant Health (EFSA PLH Panel) et al. (2021). Pest categorisation of Amyelois transitella. EFSA Journal. 19(6): 6666""",2021.0
REF43,"""Barnett L. et al. (1999). The moths of the Chagos Archipelago with notes on their biogeography. Journal of Natural History. 33(7): 1021-1038""",1999.0
REF44,"""Pogue M. (2010). The Acontiinae and Eustrotiinae (Lepidoptera: Noctuidae) of Great Smoky Mountains National Park. Zootaxa. 2499: 1-20""",2010.0
REF45,"""Holloway J. (2009). Moths of Borneo 13. Family Noctuidae subfamilies Pantheinae (part) Bagisarinae Acontiinae Aediinae Eustrotiinae Bryophilinae Araeopteroinae Aventiinae Eublemminae and further miscellaneous genera. Malayan Nature Journal. 62 (1) : 1-240 Available online at: https://www.mothsofborneo.com/part-13/""",2009.0
REF46,"""Zimmerman E. (1958). Insects of Hawaii. Volume 7 Macrolepidoptera. Hawaii: University of Hawaii Press Honolulu Hawaii United States of America""",1958.0
REF47,"""Yang Z. Landry J. (2019). Allopatric separation represents an overlooked cryptic species in the Anania hortulata species complex (Lepidoptera: Crambidae: Pyraustinae): congruence between genetic and morphological evidence. The Canadian Entomologist. 151(2): 163-186""",2019.0
REF48,"""Pfeiler E. et al. (2022). Phenotypic diversity population genetics and interspecific relationships of the Neotropical banded peacock butterfly Anartia fatima (Nymphalidae: Nymphalinae). Biological Journal of the Linnean Society. 136(1): 135-144""",2022.0
REF49,"""Weidemeyer J. (1864). Catalogue of North American Butterflies. Proceedings of the Entomological Society. 2(1): 143-154""",1864.0
REF50,"""Dawidowicz L. Rozwalka R. (2017). Anatrachyntis badia (Hodges 1962) (Lepidoptera: Cosmopterigidae): the first report from Turkey and a case of importation to Poland. Turkish Journal of Zoology. 41: 60-63""",2017.0
REF51,"""Hua C. et al. (2018). A first record of Anatrachyntis badia (Hodges 1962)(Lepidoptera: Cosmopterigidae) on Zamia integrifolia (Zamiaceae). Florida Entomologist. 335-338""",2018.0
REF52,"""Ronkay L. et al. (2017). Xyleninae I. A Taxonomic Atlas of the Eurasian and North African Noctuoidea. Heterocera Press Ltd. Budapest Hungary""",2017.0
REF53,"""Barrow R. (1972). The bionomics of Ancyclostomia stercorea (zeller): a pod-borer on pigeon pea in Trinidad. [PhD Thesis McGill University Quebec]""",1972.0
REF54,"""Bradley J. (1956). Records and descriptions of microlepidoptera from Lord Howe Island and Norfolk Island collected by the British Museum (Natural History) Rennell Island Expedition 1953. Bulletin of the British Museum (Natural History) - Entomology Series. 4(4): 143-164""",1956.0
