ReferenceID,BibliographicReference,ReferenceYear
REF292,"""Krauss N. (1966). Biological control investigations on some Hawaiian weeds. Proceedings Hawaiian Entomological Society. 19(2): 223-231""",1966.0
REF293,"""Li H. et al. (2010). Microlepidoptera of Hong Kong: Taxonomic study on the genus Dichomeris Hubner 1818 with descriptions of three new species (Lepidoptera: Gelechiidae). SHILAP Revista de lepidopterologia. 38(149): 67-89""",2010.0
REF294,"""Park K. (1991). Gelechiidae (Lepidoptera) from North Korea with description of two new species. Annales historico-naturales Musei Natinonalis Hungarici. 83: 117-123""",1991.0
REF295,"""Heard T. et al. (2010). Biology host specificity release and establishment of Macaria pallidata and Leuciris fimbriaria (Lepidoptera: Geometridae) biological control agents of the weed Mimosa pigra. Biological Control. 55: 248-255""",2010.0
REF296,"""Adams J. et al. (2013). Dinumma deponens Walker 1858 (Erebidae) is here to stay. News of the Lepidopterists Society. 55(4): 176-177""",2013.0
REF297,"""Speidel W. et al. (2006). The exotic pyraloid moth Diplopseustis perieresalis (Walker) expanding in the West Palaearctic Region (Crambidae: Spilomelinae). Nota Lepiderologica. 29(3): 185-192""",2006.0
REF298,"""Arakelian G. (2007). Bougainvillea Looper (Disclisioprocta stellata). Los Angeles County Department of Agricultural Commissioner/Weights and Measures. 1-2""",2007.0
REF299,"""Lim G. (2002). Observations of Prasinoxena monospila and Doloessa viridis (Lepidoptera: Pyralidae) on the bark of Khaya ivorensis in Malaysia. Journal of Tropical Forest Science. 14(1): 158-161""",2002.0
REF300,"""Yeates G. Williams P. (2006). Export of plant and animal species from an insular biota. In: Allen R. Lee W. (eds) (2006). Biological Invasions in New Zealand. Springer Berlin Germany. 85-100""",2006.0
REF301,"""Lee G. et al. (2014). External egg morphology of the Hawaiian dancing moth Dryadaula terpsichorella (Lepidoptera: Tineidae). Journal of Natural History. 48(15-16): 969-974""",2014.0
REF302,"""Perez J. Perez R. (2017). Dryobotodes (Dichonioxa) tenebrosa (Esper[1789])(Lepidoptera Noctuidae Hadeninae) en Orense (Galicia NO Espana). Burbug 38""",2017.0
REF303,"""Howarth T. (1969). Some African Nymphalidae (Lepidoptera). Proceedings of the Royal Entomological Society of London Series B Taxonomy. 38(11): 141-156""",1969.0
REF304,"""de Prins W. Mazzei P. (2016). Some faunistic notes on selected moth species (Lepidoptera) from the Seychelles. Phelsuma. 24: 21-34""",2016.0
REF305,"""Mazed M. et al. (2016). Identification of okra shoot and fruit borer infesting okra and their distribution in Bangladesh. Bangladesh Journal of Agricultural Research. 41(4): 657-665""",2016.0
REF306,"""Gentry J. (1965). Crop insects of northeast Africa-southwest Asia (No. 273). Agricultural Research Service US Department of Agriculture""",1965.0
REF307,"""Dantart J. Cervello A. (2008). Revision de les especies del genere Earias Hubner[1825] a Catalunya (Lepidoptera Nolidae). Butlletin de la Societat Catalana de Lepidopterologia. (99): 17-46""",2008.0
REF308,"""Nash S. (2003). Earias vittella (Fabricius) (Lep.: Noctuidae) the first occurrence of wild-caught moths in Europe. Entomologists Record and Journal of Variation. 115: 187-188""",2003.0
REF309,"""Becker V. (1994). A new Ectaga Walsingham (Lepidoptera Oecophoridae) from southern South America. Revista Brasileira de Zoologia. 11: 391-394""",1994.0
REF310,"""van Nieukerken E. et al. (2010). Western Palaearctic Ectoedemia (Zimmermannia) Hering and Ectoedemia Busck s. str. (Lepidoptera: Nepticulidae): five new species and new data on distribution hostplants and recognition. ZooKeys. 32: 1-82""",2010.0
REF311,"""Liu C. et al. (2024). Climate change facilitates the potentially suitable habitats of the invasive crop insect Ectomyelois ceratoniae (Zeller). Atmosphere 15(1) 119""",2024.0
REF312,"""White W. et al. (2007). Elachista saccharella (Lepidoptera: Elachistidae) a leafminer infesting sugarcane in Louisiana. Florida Entomologist. 90(4): 792-794""",2007.0
REF313,"""Vargas H. et al. (2015). A morphological reappraisal of the immature stages and life history of Elachista synethes Meyrick (Lepidoptera Elachistidae) an Australian leaf miner alien to Chile. Revista Brasileira de Entomologia. 59: 265-273""",2015.0
REF314,"""Specht A. et al. (2014). First report of Elaphria agrotina and Elaphria deltoides (Lepidoptera: Noctuidae: Elaphriini) feeding on maize. Journal of Economic Entomology 107(4) 1458-1461""",2014.0
REF315,"""EFSA Panel on Plant Health (EFSA PLH Panel) et al. (2023). Pest risk assessment of Elasmopalpus lignosellus for the European Union. EFSA Journal. 21(5): e08004""",2023.0
REF316,"""Chen F. et al. (2010). A review of the genus Elophila Hubner 1822 in China (Lepidoptera: Crambidae: Acentropinae). Aquatic Insects. 32(1): 35-60""",2010.0
REF317,"""Yoshiyasu Y. (1985). A Systematic Study of the Nymphulinae and the Musotiminae of Japan (Lepidoptera: Pyralidae). Scientific Reports of the Kyoto Prefectural University: Agriculture. 37: 1-162""",1985.0
REF318,"""Speidel W. (1984). Revision der Acentropinae des palaearktischen Faunengebietes (Lepidoptera: Crambidae). Neue Entomologische Nachrichten. 12: 1-157""",1984.0
REF319,"""Habeck D. Cuda J. (2009). Waterlily Leafcutter Synclita obliteralis (Walker)(Insecta: Lepidoptera: Crambidae: Acentropinae). Univerity of Florida IFAS Extension EENY. 424: 1-4""",2009.0
REF320,"""Agassiz D. (2012). The Acentropinae (Lepidoptera: Pyraloidea: Crambidae) of Africa. Zootaxa. 3494(1): 1-73""",2012.0
REF321,"""Whitaker T. et al. (2020). Pyralids of Borneo - An Illustrated Guide (5th Edition). Southdene Sdn Bhd. Available Online at: http://www.pyralidsofborneo.org/index.php?index#""",2020.0
REF322,"""Rothschild W. (1912). New Syntomidae. Novitates Zoologicae - A Journal of Zoology in Connection with the Tring Museum. 19: 151-186""",1912.0
REF323,"""Cox P. (1986). A survey of stored product Lepidoptera in New Zealand. New Zealand Journal of Experimental Agriculture. 14(1): 71-76""",1986.0
REF324,"""Covell Jr. C. et al. (1986). Ennomos alniaria (Lepidoptera: Geometridae) a European Moth Recently Discovered in British Columbia. The Canadian Entomologist. 118(5): 499-501""",1986.0
REF325,"""Johnson K. (1984). Identification of Eoreuma loftini (Dyar)(Lepidoptera: Pyralidae) in Texas 1980: Forerunner for other sugarcane boring pest immigrants from Mexico?. Bulletin of the ESA. 30(3): 47-52""",1984.0
REF326,"""Hummel N. et al. (2010). Monitoring and first discovery of the Mexican rice borer Eoreuma loftini (Lepidoptera: Crambidae) in Louisiana. Florida Entomologist. 93(1): 123-124""",2010.0
REF327,"""Beuzelin J. et al. (2016). Biology and management of the Mexican rice borer (Lepidoptera: Crambidae) in rice in the United States. Journal of Integrated Pest Management. 7(1): 7""",2016.0
REF328,"""Ryne C. Bensch S. (2008). Do anthropogenic transports facilitate stored-product pest moth dispersal? A molecular approach. Naturwissenschaften. 95: 155-159""",2008.0
REF329,"""Gilligan T. Epstein M. (2012). TortAI Tortricids of Agricultural Importance to the United States (Lepidoptera: Tortricidae). Identification Technology Program (ITP) USDA/APHIS/PPQ/CPHST Fort Collins CO.""",2012.0
REF330,"""Hoare R. (2011). Lepidoptera of gumland heaths - a threatened and rare ecosystem of northern New Zealand. New Zealand Entomologist. 34(1): 67-76""",2011.0
REF331,"""Zhou Z. et al. (2014). Control of the invasive weed Ambrosia artemisiifolia with Ophraella communa and Epiblema strenuana. Biocontrol Science and Technology. 24(8): 950-964""",2014.0
REF332,"""Glavendekic M. (2006). Epichoristodes acerbella (Walker)(Lepidoptera: Tortricidae): a new species in the fauna of Serbia. Acta Entomologica Serbica. 11(1): 77-81""",2006.0
REF333,"""Solis M. (1986). A new species of Epidromia (Noctuidae) from Florida. Journal of the Lepidopterists Society. 40(1): 8-19""",1986.0
REF334,"""Heppner J. (1992). Biology and immature stages of the bromeliad pod borer Epimorius testaceellus in Florida (Lepidoptera: Pyralidae: Galleriinae). Tropical Lepidoptera Research. 3(1): 57-62""",1992.0
REF335,"""Chambon J. et al. (1990). Trois nouvelles Tordeuses dAlgerie nuisibles aux Coniferes: Epinotia algeriensis n. sp.(Olethrentinae Eucosmini) Lozotaenia cedrivora n. sp. et Dichela numidicola n. sp.(Tortricinae Archipini)[Lep. Tortricidae]. Bulletin de la Societe entomologique de France. 95(3): 131-138""",1990.0
REF336,"""Pullaiah T. Ielmini M. (Eds.) (2021). Invasive Alien Species: Observations and Issues from Around the World. Volume 1: Issues and Invasions in Africa. Wiley. 380pp""",2021.0
REF337,"""Fabre J. et al. (1999). Le point sur certains ravageurs du cedre de l Atlas en Afrique du nord en France et en Europe. Foret Mediterraneenne. 20(4): 203-218""",1999.0
REF338,"""Pohl G. et al. (Unpublished). Annotated taxonomic checklist of the Lepidoptera of North America North of Mexico. Working paper published online by the authors at ResearchGate.net. 766 pp""",2016.0
REF339,"""Trematerra P. et al. (2018). Lepidoptera Tortricidae from Calabria (Southern Italy). Redia: Giornale di Zoologia. 101: 167-181""",2018.0
REF340,"""Daviault L. Ducharme R. (1966). Life history and habits of the green spruce leaf miner Epinotia nanana (Treitschke)(Lepidoptera: Tortricidae). The Canadian Entomologist. 98(7): 693-699""",1966.0
REF341,"""Camarero J. et al. (2003). The impact of a needleminer (Epinotia subsequana) outbreak on radial growth of silver fir (Abies alba) in the Aragon Pyrenees: a dendrochronological assessment. Dendrochronologia. 21(1): 3-12""",2003.0
REF342,"""Razowski J. Brown J. (2008). New species new combinations and new synonymies in Neotropical Episimus WALSINGHAM 1892 (Lepidoptera: Tortricidae: Olethreutinae). Acta Zoologica Cracoviensia-Series B: Invertebrata. 51(1): 83-144""",2008.0
REF343,"""Cuda J. et al. (2019). Risk assessment of Episimus unguiculus (Lepidoptera: Tortricidae) a biological control agent of Schinus terebinthifolia (Sapindales: Anacardiaceae) in Hawaii USA. Biocontrol Science and Technology. 29(4): 365-387""",2019.0
REF344,"""Jurc M. et al. (2016). Potentially Important Insect Pests of Celtis australis in Slovenia Croatia and Hungary. Sumarski list. 11: 577-588""",2016.0
REF345,"""Lee D. et al. (2020). A review of the genus Erechthias Meyrick (Lepidoptera Tineidae) with two newly recorded species from Korea. Journal of Asia-Pacific Biodiversity. 13(4): 625-630""",2020.0
REF346,"""Davis D. Mendel H. (2013). The genus Erechthias Meyrick of Ascension Island including discovery of a new brachypterous species (Lepidoptera Tineidae). ZooKeys. 341: 1-20""",2013.0
REF347,"""Clarke J (1971). The Lepidoptera of Rapa Island. Smithsonian Contributions to Zoology. 56""",1971.0
REF348,"""Winder J. (1976). Ecology and control of Erinnyis ello and E. alope important insect pests in the New World. PNAS. 22(4): 449-466""",1976.0
REF349,"""Cary M. (1951). Distribution of Sphingidae (Lepidoptera: Heterocera) in the Antillean-Caribbean Region. Transactions of the American Entomological Society. 77(2): 63-129""",1951.0
REF350,"""Moda E. (1920). Sphingidae Of Para Brazil. Novitates Zoologicae. 27: 333-424""",1920.0
REF351,"""Smith P. et al. (2022). An annotated catalogue of the Paraguayan Sphingidae (Lepidoptera). Journal of Insect Biodiversity. 31(2): 36-81""",2022.0
REF352,"""Seifert R. (1974). The Sphingidae of Turrialba Costa Rica. Journal of the New York Entomological Society. 82: 45-56""",1974.0
REF353,"""Cock M. (2015). A critical review of the literature on the pest Erionota spp.(Lepidoptera Hesperiidae): taxonomy distribution food plants early stages natural enemies and biological control. CABI Reviews. 10(007): 1-30""",2015.0
REF354,"""Holland P. et al. (2023). The genome sequence of the Sulphur Tubic Esperia sulphurella (Fabricius 1775). Wellcome Open Research. 8: 156""",2023.0
REF355,"""Davis T. (2012). A Review of the Status of Microlepidoptera in Britain. Butterfly Conservation Report No. S12-02. Butterfly Conservation Wareham""",2012.0
REF356,"""Vidal E. (2018). Lepidopteros de O Courel (Lugo Galicia Espana N. O. Peninsula Iberica) XV: Ethmiinae. (Insecta: Lepidoptera Depressariidae). Arquivos Entomoloxicos. 19: 3-10""",2018.0
REF357,"""Kurr A. Szasorv C. (2000). Survey Of The Taiwanese Ethmiinae (Leprdoprera Oecophoridae) With Descriptions Of Three New Species. Acta Zoologica Academiae Scientiaruh Hungaricae. 46(1): 53-78""",2000.0
REF358,"""Kovacs Z. Kovacs S. (2020). Contributions to the knowledge of the Depressariidae Peleopodidae Ethmiidae and Fuchsiini (Lepidoptera Gelechioidea) of Romania with an annotated checklist. Travaux du Museum National d Histoire Naturelle Grigore Antipa. 63(2): 203-254""",2020.0
REF359,"""Government of British Columbia (2018). Metzneria paucipunctella Zell.""",2018.0
REF360,"""Grain Research and Development Corporation (2022). Weed Web Moth Fact Sheet.""",2022.0
REF361,"""Halloran K. Wason E. (2013). Papilio polytes (On-line) Animal Diversity Web. University of Michigan. Michigan United States of America.""",2013.0
REF362,"""Delabye S. et al. (2022). Thirteen moth species (Lepidoptera Erebidae Noctuidae) newly recorded in South Africa with comments on their distribution. Biodiversity Data Journal. 10: e89729""",2022.0
REF363,"""Hayden J. et al. (2013). Digital Identification of Microlepidoptera on Solanaceae. USDA-APHIS-PPQ Identification Technology Program (ITP). Fort Collins CO.""",2013.0
REF364,"""Fabricius J. (1775). Systema Entomologiae sistens insectorum classes ordines genera species adiectis synonymis locis descriptionibus observationibus. Flensburgi et Lipsiae. 832pp""",1775.0
REF365,"""Moreno A. (2019). Contribucion al conocimiento del genero Euchromia Hübner[1819] 1816 en Guinea Ecuatorial (Lepidoptera: Erebidae Arctiinae Euchromiini). SHILAP Revista de lepidopterologia. 47(188): 685-693""",2019.0
REF366,"""Holloway J. (1985). Moths of Borneo 14. Family Noctuidae. Subfamily: Euteliinae Stictopterinae Plusinae Pantheinae. Malayan Nature Journal.""",1985.0
REF367,"""Popescu-Gorj A. Constantinescu A. (1973). New African species of Euclasta (Lepidoptera Pyraustinae). Revue roumaine de Biologie - Serie de Zoologie. 18(6): 393-402""",1973.0
REF368,"""Zhang A. Li H. (2005). Catalogue of Eucosmini from China (Lepidoptera: Tortricidae) SHILAP Revista de Lepidopterologia. 33(131): 265-298""",2005.0
REF369,"""Gibson L. (1993). Additional North American Records of Ecosmomorpha albersana (Tortricidae: Enarmoniini). Journal of the Lepidopterists Society. 47(4): 322-323""",1993.0
REF370,"""Leroy L. et al. (2021). The common fruit-piercing moth in the Pacific Region: a Survey of the current state of a significant Worldwide Economic Pest Eudocima phalonia (Lepidoptera: Erebidae) with a focus on New Caledonia. Insects. 12(2): 117""",2021.0
REF371,"""Holloway J. (1987). Moths of Borneo 3. Superfamily Bombycoidea: Families Lasiocampidae Eupterotidae Bombycidae Brahmaeidae Saturnidae Sphingidae. Southene Sdn Bhd.""",1987.0
REF372,"""Singh N. et al. (2019). New distributional records of Eudocima Billberg 1820 (Lepidoptera: Erebidae: Calpinae) from Gangetic Plains (India). Records of the Zoological Survey of India. 119(3): 238-245""",2019.0
REF373,"""Wu S. et al. (2020). An annotated checklist of macro moths in mid-to high-mountain ranges of Taiwan (Lepidoptera: Macroheterocera). Formosan Entomologist. 40: 10-83""",2020.0
REF374,"""Patrick B. (1994). Antipodes Island Lepidoptera. Journal of the Royal Society of New Zealand 24(1) 91-116""",1994.0
REF375,"""Boyes D. et al. (2023). The genome sequence of the Phoenix Eulithis prunata (Linnaeus 1758). Wellcome Open Research. 8: 185""",2023.0
REF376,"""Jeong J. et al. (2018). Complete mitochondrial genome of the female-wingless bagworm moth Eumeta variegata Snellen 1879 (Lepidoptera: Psychidae). Mitochondrial DNA Part B. 3(2): 1037-1039""",2018.0
REF377,"""Glerean P. et al. (2022). Lepidoptera of the Prealpi Giulie Natural Park (Friuli Venezia Giulia North-East Italy). GORTANIA - Botanica Zoologia. 44: 29-72""",2022.0
REF378,"""Mironov V. Galsworthy A. (2014). A survey of Eupithecia Curtis 1825 (Lepidoptera Geometridae Larentiinae) in Mongolia with descriptions of two new species. Zootaxa. 3774(2): 101-130""",2014.0
REF379,"""de Prins W. (2007). Interessante waarnemingen van Lepidoptera in Belgie in 2006 (Lepidoptera). Phegea. 35(1): 1-20""",2007.0
REF380,"""Koren T. (2022). The Diversity of Moths (Lepidoptera: Heterocera) of Significant Landscape Donji Kamenjak and Medulin Archipelago Istria Croatia. Annales: Series Historia Naturalis. 32(1): 237-260""",2022.0
REF381,"""Muller C. Tennent W. (2011). Euploea core. The IUCN Red List of Threatened Species 2011: e.T160339A5362889""",2011.0
REF382,"""Hao J. et al. (2013). Complete mitogenomes of Euploea mulciber (Nymphalidae: Danainae) and Libythea celtis (Nymphalidae: Libytheinae) and their phylogenetic implications. International Scholarly Research Notices. 2013(1): 491636""",2013.0
REF383,"""Trajkovic A. Zikic V. (2023). Stuck in the caterpillars web: A half-century of biocontrol research and application on gregarious Lepidopteran pests in Europe. Sustainability. 15(4): 2881""",2023.0
REF384,"""Nizamani I. et al. (2016). Screening Of Jujube Varieties Against Euproctis Fraterna Moore. Science International-Lahore. 28(1): 447-453""",2016.0
REF385,"""Holloway J. (1993). Moths of Borneo 11. Family Geometridae. Subfamily: Ennominae. Southdene Sdn.""",1993.0
REF386,"""Todd E. (1966). Notes and descriptions of some neotropical agaristine moths (Lepidoptera: Noctuidae). Proceedings of the United States National Museum. 120(3560): 1-15""",1966.0
REF387,"""Munroe E. (1975). Biogeography of North American Odontiinae (Lepidoptera: Pyralidae). The Canadian Entomologist. 107(2): 129-154""",1975.0
REF388,"""Joshi R. et al. (2024). A Catalogue of Indian Euteliidae (Lepidoptera Noctuoidea). Zootaxa. 5448(2): 151-182""",2024.0
REF389,"""Charles J. et al. (1987). Preliminary studies of Eutorna phaulocosma (Lepidoptera: Oecophoridae) in New Zealand. New Zealand Journal of Zoology. 14(4): 519-526""",1987.0
REF390,"""Gumhalter D. (2019). A revised checklist of pyraloid moths (Lepidoptera: Pyraloidea) in Croatia. Natura Croatica: Periodicum Musei Historiae Naturalis Croatici. 28(2): 271-288""",2019.0
REF391,"""Garre M. et al. (2022). An annotated checklist of the Pyralidae of the region of Murcia (Spain) with new records distribution and biological data (Lepidoptera Pyraloidea Pyralidae). Biodiversity Data Journal. 10: e79255""",2022.0
REF392,"""Alipanah H. et al. (2018). Taxonomic study of the genus Evergestis Hubner 1825 (Lepidoptera: Crambidae: Glaphyriinae) in Iran with description of a new species. Zootaxa. 4420(1): 1-33""",2018.0
REF393,"""Goater B. et al. (2022). Pyraloidea I: (Acentropinae Evergestinae Heliothelinae Schoenobiinae Scopariinae) (Vol. 4). Brill. Leiden Netherlands""",2022.0
REF394,"""Matthews D. et al. (2019). Plume moths recorded from the United States naval base Guantanamo Bay Cuba. News of the Lepidopterists Society. 61(1): 14-19""",2019.0
REF395,"""Martin J. (1959). The Bionomics of the Pine Bud Moth Exoteleia dodecella L.(Lepidoptera: Gelechiidae) in Ontario1. The Canadian Entomologist. 91(1): 5-14""",1959.0
REF396,"""Prestes A. (2014). A New Exotic Noctuid for the Hawaiian Archipelago: Feltia subterranea (Fabricius) (Lepidoptera: Noctuidae: Noctuinae). The Journal of the Lepidopterists Society. 68(3): 220-221""",2014.0
REF397,"""Reimer N. (2008). Field Release of Secusio extensa (Butler)(Lepidoptera: Arctiidae) for Biological Control of Fireweed Senecio madagascariensis Poiret (Asterales: Asteraceae) in Hawaii. Draft Environmental Assessment. Attachment 4""",2008.0
REF398,"""Yildiz Y. et al. (2018). Erschoviella musculana Erschoff 1874 a new record and a new walnut pest in Turkey. Journal of Bartin Faculty of Forestry. 20(2): 296-302""",2018.0
REF399,"""Scaccini D. et al. (2023). First report of Garella musculana (Erschov 1874) (Lepidoptera: Nolidae) in Italy with insights into its identity. Journal of Applied Entomology. 147: 239-243""",2023.0
REF400,"""Muller G. et al. (2010). The Nolidae of Jordan: Distribution Phenology and Ecology. Entomofauna. 31(8): 69-84""",2010.0
REF401,"""Holloway J. (2024). Moths of Borneo 12. Family Notuidae Trifine. Subfamilies: Noctuinae Heliothinae Hadeninae Acronictinae Amphipyrinae Agaristinae. Southdene Sdn.""",2024.0
REF402,"""Solis M. (2008). New sightings of Glyphodes onychinalis (Guenee)(Pyraloidea: Crambidae: Spilomelinae) a recent arrival to the United States with a description of the larva reared on oleander (Nerium sp.) in California. News of the Lepidopterists Society. 50(3): 79-80""",2008.0
REF403,"""World Conservation Monitoring Centre (1996). Graellsia isabelae. The IUCN Red List of Threatened Species. 1996: e.T9427A12986143""",1996.0
REF404,"""Byun B. et al. (2012). A review of the genus Grapholita (Lepidoptera Tortricidae) in North Korea. Animal Systematics Evolution and Diversity. 28(4): 291-296""",2012.0
REF405,"""Mantey K. et al. (2000). Laboratory rearing of lesser appleworm (Lepidoptera: Tortricidae). Journal of economic entomology. 93(3): 1021-1024""",2000.0
REF406,"""Argaman Q. Wysoki M. (1991). The flower-eating Gymnoscelis (Lep. Geometridae) in Israel. Tropical Pest Management. 37(2): 185""",1991.0
REF407,"""Kravchenko V. et al. (2007). The Hadeninae of Israel (Lepidoptera: Noctuidae). SHILAP Revista de Lepidopterologia. 35(140): 441-454""",2007.0
REF408,"""Inayoshi Y. (2024). A Check List of Butterflies in Indo-China - Chiefly from Thailand Laos and Vietnam.""",2024.0
REF409,"""Dalsaniya N. et al. (2025). Life cycle and morphometrics of leaf roller Haritalodes derogata (Fabricius) on cotton in Surat Gujarat India. Entomon. 50(1): 97-102""",2025.0
REF410,"""Husain A. Hasan W. (2023). Skipper butterflies (Hesperiidae: Lepidoptera) common to Sulawesi (Indonesia) and India with their host plants. International Journal of Agricultural and Applied Sciences. 4(2): 113-119""",2023.0
REF411,"""Ministery of Environment - Sri Lanka (2012). The National Red List 2012 of Sri Lanka""",2012.0
REF412,"""de Jong R. Treadaway C. (1993). The Hesperiidae (lepidoptera) of the Philippines. Zoologische Verhandelingen. 288(1): 1-125""",1993.0
REF413,"""Sajan K. Sapkota A. (2022). Additional distribution records of butterflies (Lepidoptera: Rhopalocera) with seven species new to Nepal. Biodiversitas. 23(5): 2711-2738""",2022.0
REF414,"""Landolt P. et al. (2010). First report of Hecatera dysodea (Denis and Schiffermuller)(Noctuidae) in the Pacific Northwest of the United States. The Journal of the Lepidopterists Society. 64(4): 192-196""",2010.0
REF415,"""Josvai J. et al. (2014). Performance of traps baited with female-targeted lure vs. pheromone traps for monitoring of the green budworm moth Hedya nubiferana Haw. in Hungary. Acta Phytopathologica et Entomologica Hungarica. 49(2): 223-233""",2014.0
REF416,"""Maharramova S. Ayberk H. (2017). New records of leafrollers reared in Azerbaijan (Lepidoptera: Tortricidae). Linzer Biologische Beitrage. 49(1): 677-686""",2017.0
REF417,"""Bippus M. (2020). Records of Lepidoptera from the Malagasy region with description of new species (Lepidoptera: Tortricidae Noctuidae Alucitidae Choreutidae Euteliidae Gelechiidae Blastobasidae Pterophoridae Tonzidae Tineidae Praydidae Cosmopterigidae Batrachedridae). Phelsuma. 28(2020): 60-100""",2020.0
REF418,"""Jiggins C. et al. (1996). What can hybrid zones tell us about speciation? The case of Heliconius erato and H. himera (Lepidoptera: Nymphalidae). Biological Journal of the Linnean Society. 59(3): 221-242""",1996.0
REF419,"""Brower A. (1994). Rapid morphological radiation and convergence among races of the butterfly Heliconius erato inferred from patterns of mitochondrial DNA evolution. PNAS. 91(14): 6491-6495""",1994.0
REF420,"""Tay W. et al. (2017). Mitochondrial DNA and trade data support multiple origins of Helicoverpa armigera (Lepidoptera Noctuidae) in Brazil. Scientific Reports. 7: 45302""",2017.0
REF421,"""Cork A. et al. (1992). Female sex pheromone of oriental tobacco budworm Helicoverpa assulta (Guenee)(Lepidoptera: Noctuidae): Identification and field testing. Journal of Chemical Ecology. 18: 403-418""",1992.0
REF422,"""Edde P. (2022). Arthropod pests of tobacco (Nicotiana tabacum L.). In: Edde P. (2022). Field crop arthropod pests of economic importance. 2-73""",2022.0
REF423,"""Santander F. et al. (2020). Primer registro de Helicoperva titicacae (Hardwick)(Lepidoptera: Noctuidae) en Chile. Revista Chilena de Entomologia. 46(1): 121-124""",2020.0
REF424,"""Zhao H. et al. (2020). Climate Change Increases the Expansion Risk of Helicoverpa zea in China According to Potential Geographical Distribution Estimation. Insects. 13: 79""",2020.0
REF425,"""Yano K. Heppner J. (1983). Description of Hamakua pamakani plume moth from Hawaii (Lepidoptera: Pterophoridae). Proceedings of the Hawaiian Entomological Society. 24(2): 335-341""",1983.0
REF426,"""Holtz A. et al. (2015). Pragas das brassicas. Instituto Federal de Ensino Ciencia e Tecnologia do Espirito Santo (IFES)""",2015.0
REF427,"""Ebenebe A. et al. (2011). The cabbage webworm (Hellula undalis) on tickweed (Cleome viscosa) in Samoa. The South Pacific Journal of Natural and Applied Sciences. 29(1): 1-6""",2011.0
REF428,"""Daniels J. (2009). Ceraunus Blue Butterfly Hemiargus ceraunus (Fabricius)(Insecta: Lepidoptera: Lycaenidae): EENY 425/IN802 2/2009. EDIS. 2009(2)""",2009.0
REF429,"""Roque Albelo L. et al. (1997). Hemiargus ramon (Dognin 1887) (Lycaenidae: Polyommatinae) A new resident butterfly of the Galapagos Islands. Noticias de Galapagos. 58: 29""",1997.0
REF430,"""Doganlar M. Beirne B. (1979). Hemithea aestivaria a geometrid new to North America established in British Columbia (Lepidoptera: Geometridae: Geometrinae). The Canadian Entomologist. 111(10): 1121-1121""",1979.0
REF431,"""Davis D. (1978). A revision of the North American moths of the superfamily Eriocranioidea with the proposal of a new family Acanthopteroctetidae (Lepidoptera). Smithsonian Contributions to Zoology. 251""",1978.0
REF432,"""Poltavsky A. et al. (2018). The Pyraloidea (Lepidoptera) fauna of the woody savannah belt in Mali West Africa. Zootaxa. 4457(1): 39-69""",2018.0
REF433,"""Handfield L. Handfield D. (2021). A revision of the Canadian species of the Genus Herpetogramma Lederer 1863 (Lepidoptera: Crambidae: Spilomelinae: Herpetogrammatini) with descriptions of three new species. Bonn Zoological Bulletin. 70(1): 173-199""",2021.0
REF434,"""Diez-Rodriguez G. et al. (2013). Herpetogramma bipunctalis (Lepidoptera: Crambidae) biology and techniques for rearing on leaves of the blackberry (Rubus spp. Rosaceae). Brazilian Journal of Biology. 73: 179-184""",2013.0
REF435,"""Tashiro H. (1976). Biology of the grass webworm Herpetogramma licarsisalis (Lepidoptera: Pyraustidae) in Hawaii. Annals of the Entomological Society of America. 69(5): 797-803""",1976.0
REF436,"""Mather B. (1992). Hileithia decostalis (Crambidae: Pyraustinae) new to the United States. Journal of the Lepidopterists Society. 46(2): 159-160""",1992.0
REF437,"""Tennent W. (2011). Hipparchia statilinus. The IUCN Red List of Threatened Species. 2011: e.T160360A5364211""",2011.0
REF438,"""Kaleka A. et al. (2018). Studies on genus Hippotion Huebner (Sphingidae: Lepidoptera) from India. Journal of Entomological Research. 42(1): 129-134""",2018.0
REF439,"""Latha V. Nagashree. (2023). Hippotion celerio: an unfamiliar guest in our balcony. Insect Environment. 26(1): 32-34""",2023.0
REF440,"""Integrated Taxonomic Information System (ITIS) (2024). Integrated Taxonomic Information System (ITIS) on-line database.""",2024.0
REF441,"""North R. Hart E. (1983). Oviposition preference of the mimosa webworm Homadaula anisocentra (Lepidoptera: Plutellidae). Environmental Entomology. 12(2): 546-551""",1983.0
REF442,"""Mey W. (2022). Taxonomic notes on Palearctic taxa of Galacticidae a little-known family of Lepidoptera (Galacticoidea). Nota Lepidopterologica. 45: 169-190""",2022.0
REF443,"""Vargas H. (2016). Primer registro de Homoeographa lanceolella Ragonot (Lepidoptera: Pyralidae: Phycitinae) en Chile. Gayana (Concepcion). 80(2): 201-203""",2016.0
REF444,"""Falck P. et al. (2022). New data on Pyraloidea from the Canary Islands Spain 2 (Lepidoptera: Pyralidae Crambidae. SHILAP Revista de Lepidopterologia. 50(199): 469-488""",2022.0
REF445,"""Nair K. Mohanadas K. (1996). Early events in the outbreak of the teak caterpillar Hyblaea puera. International Journal of Ecolological Environmental Sciences. 22: 271-279""",1996.0
REF446,"""Peres-Filho O. et al. (2002). Ocorrencia de Hyblaea puera (Cramer 1777) (Lepidoptera: Hyblaeidae) em Teca no Brasil. Bragantia Campinas. 61(1): 59-60""",2002.0
