SpeciesID,AcceptedSpeciesID,Family,Genus,Species
SP892,SP1284,Crambidae,Parapediasia,Parapediasia teterrella
SP893,SP1284,Crambidae,Parapediasia,Parapediasia teterrellus
SP894,SP898,Crambidae,Parapoynx,Paraponyx fluctuosalis
SP895,SP895,Crambidae,Parapoynx,Parapoynx bilinealis
SP896,SP896,Crambidae,Parapoynx,Parapoynx crisonalis
SP897,SP897,Crambidae,Parapoynx,Parapoynx diminutalis
SP898,SP898,Crambidae,Parapoynx,Parapoynx fluctuosalis
SP899,SP899,Crambidae,Parapoynx,Parapoynx obscuralis
SP900,SP900,Crambidae,Parapoynx,Parapoynx polydectalis
SP901,SP901,Limacodidae,Parasa,Parasa lepida
SP902,SP902,Erebidae,Parascotia,Parascotia fuliginaria
SP903,SP903,Yponomeutidae,Paraswammerdamia,Paraswammerdamia albicapitella
SP904,SP904,Yponomeutidae,Paraswammerdamia,Paraswammerdamia lutarea
SP905,SP904,Yponomeutidae,Paraswammerdamia,Paraswammerdamia nebulella
SP906,SP906,Nolidae,Pardasena,Pardasena virgulana
SP907,SP907,Gracillariidae,Parectopa,Parectopa robiniella
SP908,SP908,Erebidae,Pareuchaetes,Pareuchaetes aurata
SP909,SP909,Erebidae,Pareuchaetes,Pareuchaetes insulata
SP910,SP910,Erebidae,Pareuchaetes,Pareuchaetes pseudoinsulata
SP911,SP911,Tineidae,Parochmastis,Parochmastis hilderi
SP912,SP912,Geometridae,Pasiphila,Pasiphila rectangulata
SP913,SP913,Castniidae,Paysandisia,Paysandisia archon
SP914,SP914,Gelechiidae,Pectinophora,Pectinophora gossypiella
SP915,SP1276,Gelechiidae,Pectinophora,Pectinophora scutigera
SP916,SP916,Tortricidae,Pelochrista,Pelochrista medullana
SP917,SP917,Pyralidae,Pempelia,Pempelia genistella
SP918,SP918,Euteliidae,Penicillaria,Penicillaria jocosatrix
SP919,SP920,Sesiidae,Pennisetia,Pennisetia hylaeformis
SP920,SP920,Sesiidae,Pennisetia,Pennisetia hylaeiformis
SP921,SP922,Sesiidae,Pennisetia,Pennisetia marginata
SP922,SP922,Sesiidae,Pennisetia,Pennisetia marginatum
SP923,SP923,Geometridae,Peribatodes,Peribatodes perversaria
SP924,SP924,Erebidae,Pericyma,Pericyma cruegeri
SP925,SP925,Noctuidae,Peridroma,Peridroma saucia
SP926,SP710,Lyonetiidae,Leucoptera,Perileucoptera coffeella
SP927,SP927,Cosmopterigidae,Periploca,Periploca orichalcella
SP928,SP928,Elachistidae,Perittia,Perittia herrichiella
SP929,SP929,Elachistidae,Perittia,Perittia lonicerae
SP930,SP930,Geometridae,Perixera,Perixera illepidaria
SP931,SP931,Geometridae,Perizoma,Perizoma alchemillata
SP932,SP932,Elachistidae,Petrochroa,Petrochroa dimorpha
SP933,SP933,Noctuidae,Phalaenoides,Phalaenoides glycinae
SP934,SP934,Tineidae,Phereoeca,Phereoeca allutella
SP935,SP935,Tineidae,Phereoeca,Phereoeca praecox
SP936,SP936,Oecophoridae,Philobota,Philobota chionoptera
SP937,SP937,Limacodidae,Phobetron,Phobetron hipparchia
SP938,SP938,Pieridae,Phoebis,Phoebis agarithe
SP939,SP117,Pieridae,Aphrissa,Phoebis orbis
SP940,SP940,Geometridae,Phrissogonus,Phrissogonus laticostata
SP941,SP941,Tortricidae,Phtheochroa,Phtheochroa pulvillana
SP942,SP942,Gelechiidae,Phthorimaea,Phthorimaea absoluta
SP943,SP944,Gelechiidae,Phthorimaea,Phthorimaea openculella
SP944,SP944,Gelechiidae,Phthorimaea,Phthorimaea operculella
SP945,SP945,Gracillariidae,Phyllocnistis,Phyllocnistis citrella
SP946,SP946,Gracillariidae,Phyllocnistis,Phyllocnistis vitegenella
SP947,SP946,Gracillariidae,Phyllocnistis,Phyllocnistis vitigenella
SP948,SP948,Gracillariidae,Phyllonorycter,Phyllonorycter blancardella
SP949,SP949,Gracillariidae,Phyllonorycter,Phyllonorycter emberizaepenella
SP950,SP950,Gracillariidae,Phyllonorycter,Phyllonorycter geniculella
SP951,SP951,Gracillariidae,Phyllonorycter,Phyllonorycter issikii
SP952,SP952,Gracillariidae,Phyllonorycter,Phyllonorycter joannisi
SP953,SP953,Gracillariidae,Phyllonorycter,Phyllonorycter leucographella
SP954,SP953,Gracillariidae,Phyllonorycter,Phyllonorycter leucographellus
SP955,SP955,Gracillariidae,Phyllonorycter,Phyllonorycter medicaginella
SP956,SP956,Gracillariidae,Phyllonorycter,Phyllonorycter mespilella
SP957,SP957,Gracillariidae,Phyllonorycter,Phyllonorycter messaniella
SP958,SP958,Gracillariidae,Phyllonorycter,Phyllonorycter platani
SP959,SP749,Gracillariidae,Macrosaccus,Phyllonorycter robiniella
SP960,SP960,Erebidae,Physula,Physula albipunctilla
SP961,SP961,Pieridae,Pieris,Pieris brassicae
SP962,SP962,Pieridae,Pieris,Pieris canidia
SP963,SP963,Pieridae,Pieris,Pieris rapae
SP964,SP964,Crambidae,Piletocera,Piletocera bufalis
SP965,SP965,Crambidae,Pilocrocis,Pilocrocis ramentalis
SP966,SP966,Gelechiidae,Platyedra,Platyedra subcinerea
SP967,SP967,Tortricidae,Platynota,Platynota rostrana
SP968,SP968,Tortricidae,Platynota,Platynota stultana
SP969,SP970,Pterophoridae,Platyptilia,Platyptilia isodactyla
SP970,SP970,Pterophoridae,Platyptilia,Platyptilia isodactylus
SP971,SP971,Geometridae,Plesiomorpha,Plesiomorpha flaviceps
SP972,SP972,Geometridae,Pleuroprucha,Pleuroprucha asthenaria
SP973,SP973,Pyralidae,Plodia,Plodia interpunctella
SP974,SP974,Plutellidae,Plutella,Plutella porrectella
SP975,SP975,Plutellidae,Plutella,Plutella xylostella
SP976,SP976,Erebidae,Polydesma,Polydesma boarmoides
SP977,SP977,Erebidae,Polydesma,Polydesma umbricola
SP978,SP978,Lycaenidae,Polyommatus,Polyommatus icarus
SP979,SP979,Gracillariidae,Polysoma,Polysoma eumetalla
SP980,SP17,Noctuidae,Acontia,Ponometia candefacta
SP981,SP1291,Noctuidae,Acontia,Ponometia exigua
SP982,SP982,Pieridae,Pontia,Pontia daplidice
SP983,SP983,Gracillariidae,Porphyrosela,Porphyrosela hardenbergiella
SP984,SP984,Gracillariidae,Porphyrosela,Porphyrosela minuta
SP985,SP985,Tineidae,Praeacedes,Praeacedes atomosella
SP986,SP986,Praydidae,Prays,Prays citri
SP987,SP987,Praydidae,Prays,Prays fraxinella
SP988,SP988,Praydidae,Prays,Prays nephelomima
SP989,SP989,Praydidae,Prays,Prays oleae
SP990,SP990,Praydidae,Prays,Prays peregrina
SP991,SP991,Nymphalidae,Prepona,Prepona laertes
SP992,SP992,Oecophoridae,Promalactis,Promalactis suzukiella
SP993,SP1061,Zygaenidae,Sinica,Pryeria sinica
SP994,SP740,Geometridae,Macaria,Psamatodes abydata
SP995,SP798,Noctuidae,Mythimna,Pseudaletia unipunctata
SP996,SP996,Geometridae,Pseudocoremia,Pseudocoremia suavis
SP997,SP997,Opostegidae,Pseudopostega,Pseudopostega zelopa
SP998,SP998,Crambidae,Pseudopyrausta,Pseudopyrausta santatalis
SP999,SP999,Sphingidae,Psilogramma,Psilogramma increta
SP1000,SP999,Sphingidae,Psilogramma,Psilogramma incretas
SP1001,SP1001,Sphingidae,Psilogramma,Psilogramma menephron
SP1002,SP1002,Psychidae,Psyche,Psyche casta
SP1003,SP1003,Tineidae,Psychoides,Psychoides filicivora
SP1004,SP1004,Pterolonchidae,Pterolonche,Pterolonche inspersa
SP1005,SP1005,Erebidae,Ptichodis,Ptichodis immunis
SP1006,SP1006,Crambidae,Pygospila,Pygospila tyres
SP1007,SP1007,Pyralidae,Pyralis,Pyralis farinalis
SP1008,SP1008,Pyralidae,Pyralis,Pyralis manihotalis
SP1009,SP1009,Oecophoridae,Pyramidobela,Pyramidobela angelarum
SP1010,SP1010,Crambidae,Pyrausta,Pyrausta inornatalis
SP1011,SP1011,Crambidae,Pyrausta,Pyrausta panopealis
SP1012,SP1012,Crambidae,Pyrausta,Pyrausta perelegans
SP1013,SP81,Cosmopterigidae,Anatrachyntis,Pyroderces rileyi
SP1014,SP1014,Sesiidae,Pyropteron,Pyropteron doryliformis
SP1015,SP1015,Erebidae,Pyrrharctia,Pyrrharctia isabella
SP1016,SP1016,Gelechiidae,Recurvaria,Recurvaria nanella
SP1017,SP1301,Erebidae,Mocis,Remigia conveniens
SP1018,SP1018,Crambidae,Rhectocraspeda,Rhectocraspeda periusalis
SP1019,SP1019,Noctuidae,Rhizedra,Rhizedra lutosa
SP1020,SP1020,Tortricidae,Rhopobota,Rhopobota naevana
SP1021,SP1020,Tortricidae,Rhopobota,Rhopobota unipuntana
SP1022,SP1022,Tortricidae,Rhyacionia,Rhyacionia buoliana
SP1023,SP1023,Nolidae,Rhynchopalpus,Rhynchopalpus brunella
SP1024,SP1024,Pyralidae,Ribua,Ribua innoxia
SP1025,SP1025,Saturniidae,Rothschildia,Rothschildia orizaba
SP1026,SP1026,Erebidae,Rusicada,Rusicada privata
SP1027,SP1027,Crambidae,Salbia,Salbia haemorrhoidalis
SP1028,SP1293,Crambidae,Samea,Samea castellalis
SP1029,SP1029,Crambidae,Samea,Samea multiplicalis
SP1030,SP1030,Crambidae,Sameodes,Sameodes cancellalis
SP1031,SP1031,Saturniidae,Samia,Samia cynthia
SP1032,SP1032,Lecithoceridae,Sarisophora,Sarisophora leucoscia
SP1033,SP1033,Saturniidae,Saturnia,Saturnia pyri
SP1034,SP1034,Tineidae,Scardia,Scardia amurensis
SP1035,SP1035,Crambidae,Sceliodes,Sceliodes laisalis
SP1036,SP1036,Schreckensteiniidae,Schreckensteinia,Schreckensteinia festaliella
SP1037,SP1037,Pyralidae,Sciota,Sciota adelphella
SP1038,SP1038,Crambidae,Sclerocona,Sclerocona acutella
SP1039,SP1039,Geometridae,Scopula,Scopula personata
SP1040,SP1040,Gelechiidae,Scrobipalpa,Scrobipalpa aptatella
SP1041,SP1041,Gelechiidae,Scrobipalpa,Scrobipalpa atriplicella
SP1042,SP1042,Gelechiidae,Scrobipalpa,Scrobipalpa obsoletella
SP1043,SP1043,Gelechiidae,Scrobipalpa,Scrobipalpa ocellatella
SP1044,SP1044,Scythrididae,Scythris,Scythris buszkoi
SP1045,SP1045,Scythrididae,Scythris,Scythris limbella
SP1046,SP1046,Scythrididae,Scythris,Scythris sinensis
SP1047,SP1047,Peleopodidae,Scythropiodes,Scythropiodes issikii
SP1048,SP1048,Noctuidae,Sedina,Sedina buettneri
SP1049,SP1049,Tortricidae,Selania,Selania leplastriana
SP1050,SP751,Nolidae,Manoba,Selca brunella
SP1051,SP1051,Papilionidae,Sericinus,Sericinus montela
SP1052,SP1052,Erebidae,Serrodes,Serrodes mediopallens
SP1053,SP1053,Noctuidae,Sesamia,Sesamia inferens
SP1054,SP1054,Noctuidae,Sesamia,Sesamia nonagrioides
SP1055,SP1055,Sesiidae,Sesia,Sesia apiformis
SP1056,SP1056,Tineidae,Setomorpha,Setomorpha rutella
SP1057,SP1057,Limacodidae,Sibine,Sibine apicalis
SP1058,SP6,Limacodidae,Acharia,Sibine stimulea
SP1059,SP274,Geometridae,Chloroclystis,Sigilliclystis insigillata
SP1060,SP1060,Erebidae,Simplicia,Simplicia cornicalis
SP1061,SP1061,Zygaenidae,Sinica,Sinica sinica
SP1062,SP1062,Crambidae,Sisyracera,Sisyracera inabsconsalis
SP1063,SP1063,Crambidae,Sitochroa,Sitochroa palealis
SP1064,SP1065,Gelechiidae,Sitotroga,Sitotroga cerealela
SP1065,SP1065,Gelechiidae,Sitotroga,Sitotroga cerealella
SP1066,SP1066,Geometridae,Sphacelodes,Sphacelodes vulneraria
SP1067,SP1067,Pterophoridae,Sphenarches,Sphenarches anisodactylus
SP1068,SP1068,Sphingidae,Sphinx,Sphinx pinastri
SP1069,SP1069,Oecophoridae,Sphyrelata,Sphyrelata amotella
SP1070,SP1070,Tortricidae,Spilonota,Spilonota laricana
SP1071,SP1070,Tortricidae,Spilonota,Spilonota lariciana
SP1072,SP1072,Tortricidae,Spilonota,Spilonota ocellana
SP1073,SP1073,Noctuidae,Spodoptera,Spodoptera cilium
SP1074,SP1074,Noctuidae,Spodoptera,Spodoptera dolichos
SP1075,SP1075,Noctuidae,Spodoptera,Spodoptera eridania
SP1076,SP1076,Noctuidae,Spodoptera,Spodoptera exempta
SP1077,SP1077,Noctuidae,Spodoptera,Spodoptera exigua
SP1078,SP1078,Noctuidae,Spodoptera,Spodoptera frugiperda
SP1079,SP1079,Noctuidae,Spodoptera,Spodoptera littoralis
SP1080,SP1080,Noctuidae,Spodoptera,Spodoptera litura
SP1081,SP1081,Noctuidae,Spodoptera,Spodoptera mauritia
SP1082,SP1082,Crambidae,Spoladea,Spoladea recurvalis
SP1083,SP1271,Noctuidae,Acontia,Spragueia margana
SP1084,SP1084,Tortricidae,Statherotis,Statherotis discana
SP1085,SP1085,Stathmopodidae,Stathmopoda,Stathmopoda auriferella
SP1086,SP1086,Stathmopodidae,Stathmopoda,Stathmopoda cephalaea
SP1087,SP1087,Stathmopodidae,Stathmopoda,Stathmopoda melanochra
SP1088,SP1298,Gelechiidae,Stegasta,Stegasta bosqueella
SP1089,SP1089,Lyonetiidae,Stegommata,Stegommata leptomitella
SP1090,SP1090,Lyonetiidae,Stegommata,Stegommata sulfuratella
SP1091,SP1091,Gelechiidae,Stenolechia,Stenolechia bathrodyas
SP1092,SP1092,Depressariidae,Stenoma,Stenoma catenifer
SP1093,SP1094,Pterophoridae,Stenoptilia,Stenoptilia millieridactyla
SP1094,SP1094,Pterophoridae,Stenoptilia,Stenoptilia millieridactylus
SP1095,SP1095,Pterophoridae,Stenoptilia,Stenoptilia zophodactylus
SP1096,SP1096,Pterophoridae,Stenoptilodes,Stenoptilodes brevipennis
SP1097,SP1097,Pterophoridae,Stenoptilodes,Stenoptilodes littoralis
SP1098,SP1098,Pterophoridae,Stenoptilodes,Stenoptilodes taprobanes
SP1099,SP1099,Pyralidae,Stericta,Stericta carbonalis
SP1100,SP1100,Euteliidae,Stictoptera,Stictoptera cucullioides
SP1101,SP1101,Euteliidae,Stictoptera,Stictoptera poecilosoma
SP1102,SP1102,Nepticulidae,Stigmella,Stigmella anomalella
SP1103,SP1103,Nepticulidae,Stigmella,Stigmella atricapitella
SP1104,SP1104,Nepticulidae,Stigmella,Stigmella aurella
SP1105,SP1105,Nepticulidae,Stigmella,Stigmella centifoliella
SP1106,SP459,Nepticulidae,Ectoedemia,Stigmella heringella
SP1107,SP1107,Nepticulidae,Stigmella,Stigmella microtheriella
SP1108,SP1108,Nepticulidae,Stigmella,Stigmella minusculella
SP1109,SP1109,Nepticulidae,Stigmella,Stigmella multispicata
SP1110,SP1110,Nepticulidae,Stigmella,Stigmella oxyacanthella
SP1111,SP1111,Nepticulidae,Stigmella,Stigmella pyri
SP1112,SP1112,Nepticulidae,Stigmella,Stigmella speciosa
SP1113,SP1113,Nepticulidae,Stigmella,Stigmella suberivora
SP1114,SP709,Erebidae,Leucoma,Stilpnotia salicis
SP1115,SP1115,Autostichidae,Stoeberhinus,Stoeberhinus testaceus
SP1116,SP1116,Gracillariidae,Stomphastis,Stomphastis thraustica
SP1117,SP1117,Tortricidae,Strepsicrates,Strepsicrates infensa
SP1118,SP1118,Tortricidae,Strepsicrates,Strepsicrates macropetana
SP1119,SP1119,Tortricidae,Strepsicrates,Strepsicrates semicanella
SP1120,SP1120,Tortricidae,Strepsicrates,Strepsicrates smithiana
SP1121,SP1121,Lycaenidae,Strymon,Strymon bazochii
SP1122,SP1153,Lycaenidae,Thecla,Strymon limenia
SP1123,SP1123,Pyralidae,Stylopalpia,Stylopalpia luniferella
SP1124,SP1123,Pyralidae,Stylopalpia,Stylopalpis lunigerella
SP1125,SP1125,Hesperiidae,Suastus,Suastus gremius
SP1126,SP904,Yponomeutidae,Paraswammerdamia,Swammerdamia caesiella
SP1127,SP904,Yponomeutidae,Paraswammerdamia,Swammerdamia lutaria
SP1128,SP1128,Yponomeutidae,Swammerdamia,Swammerdamia pyrella
SP1129,SP929,Elachistidae,Perittia,Swezeyula lonicerae
SP1130,SP1130,Gelechiidae,Symmetrischema,Symmetrischema capsica
SP1131,SP1131,Gelechiidae,Symmetrischema,Symmetrischema costaricanum
SP1132,SP1132,Gelechiidae,Symmetrischema,Symmetrischema striatella
SP1133,SP1133,Gelechiidae,Symmetrischema,Symmetrischema tangolias
SP1134,SP1134,Autostichidae,Symmoca,Symmoca signatella
SP1135,SP1135,Sesiidae,Synanthedon,Synanthedon andrenaeformis
SP1136,SP1136,Sesiidae,Synanthedon,Synanthedon myopaeformis
SP1137,SP1138,Sesiidae,Synanthedon,Synanthedon tipuliforme
SP1138,SP1138,Sesiidae,Synanthedon,Synanthedon tipuliformis
SP1139,SP1283,Gelechiidae,Aproaerema,Syncopacma polychromella
SP1140,SP1140,Crambidae,Syngamia,Syngamia florella
SP1141,SP1141,Noctuidae,Syngrapha,Syngrapha interrogationis
SP1142,SP1142,Erebidae,Syntomeida,Syntomeida epilais
SP1143,SP1143,Oecophoridae,Tachystola,Tachystola acroxantha
SP1144,SP1144,Oecophoridae,Tachystola,Tachystola hemisema
SP1145,SP1145,Euteliidae,Targalla,Targalla delatrix
SP1146,SP1146,Noctuidae,Tathorhynchus,Tathorhynchus exsiccata
SP1147,SP1147,Choreutidae,Tebenna,Tebenna micalis
SP1148,SP1148,Gelechiidae,Tecia,Tecia solanivora
SP1149,SP1149,Crambidae,Terastia,Terastia meticulosalis
SP1150,SP1150,Tortricidae,Thaumatotibia,Thaumatotibia leucotreta
SP1151,SP1151,Notodontidae,Thaumetopoea,Thaumetopoea pityocampa
SP1152,SP1152,Notodontidae,Thaumetopoea,Thaumetopoea processionea
SP1153,SP1153,Lycaenidae,Thecla,Thecla limenia
SP1154,SP1154,Geometridae,Thera,Thera britannica
SP1155,SP1155,Geometridae,Thera,Thera cupressata
SP1156,SP1156,Geometridae,Thera,Thera juniperata
SP1157,SP1157,Zygaenidae,Theresimima,Theresimima ampellophaga
SP1158,SP1281,Sphingidae,Theretra,Theretra latreillei
SP1159,SP1159,Sphingidae,Theretra,Theretra nessus
SP1160,SP1160,Nymphalidae,Thessalia,Thessalia theona
SP1161,SP1161,Hesperiidae,Thymelicus,Thymelicus lineola
SP1162,SP1162,Hesperiidae,Thymelicus,Thymelicus sylvestris
SP1163,SP1163,Geometridae,Thyrinteina,Thyrinteina arnobia
SP1164,SP1164,Noctuidae,Thysanoplusia,Thysanoplusia orichalcea
SP1165,SP1165,Tineidae,Tinea,Tinea columbariella
SP1166,SP1166,Tineidae,Tinea,Tinea dubiella
SP1167,SP1167,Tineidae,Tinea,Tinea flavescentella
SP1168,SP319,Coleophoridae,Coleophora,Tinea laricella
SP1169,SP1169,Tineidae,Tinea,Tinea murariella
SP1170,SP1170,Tineidae,Tinea,Tinea pallescentella
SP1171,SP1171,Tineidae,Tinea,Tinea pellionella
SP1172,SP1172,Tineidae,Tinea,Tinea translucens
SP1173,SP1173,Tineidae,Tineola,Tineola bisselliella
SP1174,SP1174,Lycaenidae,Tmolus,Tmolus echion
SP1175,SP1175,Lycaenidae,Tongeia,Tongeia filicaudis
SP1176,SP1176,Stathmopodidae,Tortilia,Tortilia charadritis
SP1177,SP1177,Pyralidae,Trachylepidia,Trachylepidia fructicassiella
SP1178,SP1178,Oecophoridae,Trachypepla,Trachypepla indolescens
SP1179,SP1179,Tineidae,Triaxomera,Triaxomera parasitella
SP1180,SP74,Noctuidae,Anarta,Trichoclea edwardsii
SP1181,SP73,Noctuidae,Anarta,Trichoclea postica
SP1182,SP1182,Tineidae,Trichophaga,Trichophaga mormopis
SP1183,SP1183,Tineidae,Trichophaga,Trichophaga tapetzella
SP1184,SP1184,Noctuidae,Trichoplusia,Trichoplusia ni
SP1185,SP1272,Noctuidae,Vittaplusia,Trichoplusia vittata
SP1186,SP1186,Bombycidae,Trilocha,Trilocha varians
SP1187,SP1187,Cosmopterigidae,Trissodoris,Trissodoris honorariella
SP1188,SP1188,Pyralidae,Tucumania,Tucumania tapiacola
SP1189,SP942,Gelechiidae,Phthorimaea,Tuta absoluta
SP1190,SP1305,Psychidae,Typhonia,Typhonia beatricis
SP1191,SP1192,Erebidae,Tyria,Tyria jacobaea
SP1192,SP1192,Erebidae,Tyria,Tyria jacobaeae
SP1193,SP1193,Erebidae,Tyta,Tyta luctuosa
SP1194,SP1194,Pyralidae,Unadilla,Unadilla maturella
SP1195,SP1195,Nolidae,Uraba,Uraba lugens
SP1196,SP1196,Crambidae,Uresiphita,Uresiphita ornithopteralis
SP1197,SP1197,Crambidae,Usingeriessa,Usingeriessa onyxalis
SP1198,SP1198,Erebidae,Utetheisa,Utetheisa ornatrix
SP1199,SP1199,Nymphalidae,Vanessa,Vanessa atalanta
SP1200,SP1200,Nymphalidae,Vanessa,Vanessa cardui
SP1201,SP1201,Nymphalidae,Vanessa,Vanessa carye
SP1202,SP1202,Nymphalidae,Vanessa,Vanessa virginiensis
SP1203,SP1203,Pyralidae,Vitula,Vitula biviella
SP1204,SP1204,Pyralidae,Vitula,Vitula edmandsii
SP1205,SP135,Pyralidae,Arcola,Vogtia malloi
SP1206,SP1206,Pterophoridae,Wheeleria,Wheeleria spilodactylus
SP1207,SP1208,Noctuidae,Xestia,Xestia adela
SP1208,SP1208,Noctuidae,Xestia,Xestia c-nigrum
SP1209,SP1209,Noctuidae,Xestia,Xestia xanthographa
SP1210,SP1210,Crambidae,Xubida,Xubida infusellus
SP1211,SP1211,Tineidae,Xylesthia,Xylesthia pruniramiella
SP1212,SP1212,Tineidae,Xystrologa,Xystrologa grenadella
SP1213,SP1240,Yponomeutidae,Yponomeuta,Yponomeuta cagnagella
SP1214,SP1215,Yponomeutidae,Yponomeuta,Yponomeuta malinellus
SP1215,SP1215,Yponomeutidae,Yponomeuta,Yponomeuta padella
SP1216,SP1216,Yponomeutidae,Yponomeuta,Yponomeuta plumbella
SP1217,SP1217,Ypsolophidae,Ypsolopha,Ypsolopha dentella
SP1218,SP1290,Plutellidae,Ypsolophus,Ypsolopha ustella
SP1219,SP1219,Crambidae,Zebronia,Zebronia phenice
SP1220,SP1221,Tortricidae,Zeiraphera,Zeiraphera diniana
SP1221,SP1221,Tortricidae,Zeiraphera,Zeiraphera griseana
SP1222,SP1222,Yponomeutidae,Zelleria,Zelleria oleastrella
SP1223,SP1223,Cossidae,Zeuzera,Zeuzera pyrina
SP1224,SP1225,Lycaenidae,Zizina,Zizina oti
SP1225,SP1225,Lycaenidae,Zizina,Zizina otis
SP1226,SP1226,Lycaenidae,Zizula,Zizula hylax
SP1227,SP1227,Tortricidae,Zomariana,Zomariana doxasticana
SP1228,SP1228,Pyralidae,Zophodia,Zophodia lucidalis
SP1229,SP1229,Zygaenidae,Zygaena,Zygaena orana
SP1230,SP1230,Nymphalidae,Aglais,Aglais io
SP1231,SP1231,Noctuidae,Leptologia,Leptologia lota
SP1232,SP1232,Noctuidae,Anchoscelis,Anchoscelis lunosa
SP1233,SP1233,Elachistidae,Chrysoclista,Chrysoclista linneela
SP1234,SP1234,Coleophoridae,Coleophora,Coleophora anatipennella
SP1235,SP1235,Oecophoridae,Callima,Callima formosella
SP1236,SP1236,Depressariidae,Depressaria,Depressaria apiella
SP1237,SP1237,Incurvariidae,Incurvaria,Incurvaria rubiella
SP1238,SP1238,Crambidae,Mimudea,Mimudea puralis
SP1239,SP1239,Crambidae,Pyrausta,Pyrausta testalis
SP1240,SP1240,Yponomeutidae,Yponomeuta,Yponomeuta cagnagellus
SP1241,SP1241,Cosmopterigidae,Aphthonetus,Aphthonetus triaula
SP1242,SP1242,Pyralidae,Assara,Assara albicostalis
SP1243,SP1243,Gracillariidae,Caloptilia,Caloptilia mabaella
SP1244,SP1244,Nolidae,Earias,Earias roseifera
SP1245,SP1245,Elachistidae,Elachista,Elachista synethes
SP1246,SP1246,Erebidae,Eudocima,Eudocima materna
SP1247,SP1247,Crambidae,Eudonia,Eudonia psammitis
SP1248,SP1248,Noctuidae,Helicoverpa,Helicoverpa punctigera
SP1249,SP1249,Cosmopterigidae,Pyroderces,Pyroderces aellotricha
SP1250,SP1250,Crambidae,Sceliodes,Sceliodes cordalis
SP1251,SP1251,Sesiidae,Sesia,Sesia siningensis
SP1252,SP1252,Gracillariidae,Spulerina,Spulerina isonoma
SP1253,SP1253,Pyralidae,Tirathaba,Tirathaba rufivena
SP1254,SP1254,Cossidae,Polyphagozerra,Polyphagozerra coffeae
SP1255,SP1255,Crambidae,Eumorphobotys,Eumorphobotys eumorphalis
SP1256,SP1256,Crambidae,Palpita,Palpita hypohomalia
SP1257,SP1257,Erebidae,Lemyra,Lemyra rhodophilodes
SP1258,SP1258,Geometridae,Comostola,Comostola laesaria
SP1259,SP1259,Geometridae,Problepsis,Problepsis phoebearia
SP1260,SP1260,Limacodidae,Parasa,Parasa pastoralis
SP1261,SP1261,Notodontidae,Euhampsonia,Euhampsonia serratifera
SP1262,SP1262,Zygaenidae,Histia,Histia flabellicornis
SP1263,SP1263,Erebidae,Achaea,Achaea janata
SP1264,SP1264,Crambidae,Crypsiptya,Crypsiptya coclesalis
SP1265,SP1265,Sphingidae,Hippotion,Hippotion celerio
SP1266,SP1266,Cosmopterigidae,Pyroderces,Pyroderces incertulella
SP1267,SP1267,Erebidae,Thyas,Thyas coronata
SP1268,SP1268,Erebidae,Utetheisa,Utetheisa pulchelloides
SP1269,SP1269,Gelechiidae,Monochroa,Monochroa hornigi
SP1270,SP1270,Geometridae,Digrammia,Digrammia pallidata
SP1271,SP1271,Noctuidae,Acontia,Acontia margana
SP1272,SP1272,Noctuidae,Vittaplusia,Vittaplusia vittata
SP1273,SP1273,Tortricidae,Syndemis,Syndemis cedricola
SP1274,SP1274,Noctuidae,Athetis,Athetis nonagrica
SP1275,SP1275,Psychidae,Chaliopsis,Chaliopsis junodi
SP1276,SP1276,Gelechiidae,Pectinophora,Pectinophora fusculella
SP1277,SP1277,Oecophoridae,Schiffermuelleria,Schiffermuelleria amasiella
SP1278,SP1278,Cosmopterigidae,Stagmatophora,Stagmatophora serratella
SP1279,SP1279,Pyralidae,Homoeosoma,Homoeosoma stenotea
SP1280,SP1280,Crambidae,Diatraea,Diatraea rufescens
SP1281,SP1281,Sphingidae,Theretra,Theretra latreillii
SP1282,SP1282,Tortricidae,Cydia,Cydia saltitans
SP1283,SP1283,Gelechiidae,Aproaerema,Aproaerema polychromella
SP1284,SP1284,Crambidae,Parapediasia,Parapediasia teterellus
SP1285,SP1285,Depressariidae,Depressaria,Depressaria discipunctella
SP1286,SP1286,Gelechiidae,Aproaerema,Aproaerema simplexella
SP1287,SP1287,Cosmopterigidae,Stagmatophora,Stagmatophora intermediella
SP1288,SP1288,Noctuidae,Leucania,Leucania obsoleta
SP1289,SP1289,Nymphalidae,Aglais,Aglais urticae
SP1290,SP1290,Plutellidae,Ypsolophus,Ypsolophus ustella
SP1291,SP1291,Noctuidae,Acontia,Acontia exigua
SP1292,SP1292,Erebidae,Clethrogyna,Clethrogyna turbata
SP1293,SP1293,Crambidae,Samea,Samea ecclesialis
SP1294,SP1294,Noctuidae,Chloantha,Chloantha hyperici
SP1295,SP1295,Crambidae,Lamprosema,Lamprosema chagosalis
SP1296,SP1296,Erebidae,Hypena,Hypena commixtalis
SP1297,SP1297,Noctuidae,Leucania,Leucania lobrega
SP1298,SP1298,Gelechiidae,Stegasta,Stegasta basqueella
SP1299,SP1299,Pyralidae,Homoeographa,Homoeographa lanceolella
SP1300,SP1300,Erebidae,Zale,Zale minerea
SP1301,SP1301,Erebidae,Mocis,Mocis conveniens
SP1302,SP1302,Gracillariidae,Parectopa,Parectopa alysidota
SP1303,SP1303,Noctuidae,Mythimna,Mythimna scottii
