;Species;Continent;Realm;Cosmopolitan;Reference Year;Reference;AcceptedSpecies
391;Cydia grunertiana;Europe;Palearctic;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Cydia grunertiana
392;Cydia splendana;Europe;Palearctic;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Cydia splendana
393;Parapoynx diminutalis;Asia;Sino-Japanese;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Parapoynx diminutalis
394;Parapoynx diminutalis;Asia;Oriental;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Parapoynx diminutalis
395;Anatrachyntis simplex;Asia;Sino-Japanese;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Anatrachyntis simplex
396;Anatrachyntis simplex;Asia;Palearctic;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Anatrachyntis simplex
397;Anatrachyntis simplex;Asia;Oriental;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Anatrachyntis simplex
398;Parapoynx polydectalis;Asia;Oriental;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Parapoynx polydectalis
399;Pardasena virgulana;Africa;Afrotropical;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Pardasena virgulana
400;Lozotaenia cedrivora;Africa;Afrotropical;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Lozotaenia cedrivora
401;Pardasena virgulana;Africa;Saharo-Arabian;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Pardasena virgulana
402;Lozotaenia cedrivora;Africa;Saharo-Arabian;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Lozotaenia cedrivora
403;Parapoynx diminutalis;Africa;Afrotropical;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Parapoynx diminutalis
404;Parapoynx diminutalis;Asia;Palearctic;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Parapoynx diminutalis
405;Praeacedes atomosella;Oceania;Oceanina;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Praeacedes atomosella
406;Praeacedes atomosella;North America;Nearctic;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Praeacedes atomosella
407;Prays citri;Asia;Palearctic;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Prays citri
408;Prays citri;Asia;Oriental;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Prays citri
409;Prays citri;Asia;Sino-Japanese;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Prays citri
410;Trichophaga tapetzella;Asia;Oriental;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Trichophaga tapetzella
411;Trichophaga tapetzella;Asia;Palearctic;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Trichophaga tapetzella
412;Praeacedes atomosella;North America;Panamanian;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Praeacedes atomosella
413;Praeacedes atomosella;South America;Neotropical;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Praeacedes atomosella
414;Praeacedes atomosella;Africa;Afrotropical;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Praeacedes atomosella
415;Praeacedes atomosella;Asia;Oriental;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Praeacedes atomosella
416;Coleophora laricella;Europe;Palearctic;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Coleophora laricella
417;Psychoides filicivora;Asia;Oriental;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Psychoides filicivora
418;Psychoides filicivora;Asia;Sino-Japanese;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Psychoides filicivora
419;Trichophaga tapetzella;Africa;Afrotropical;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Trichophaga tapetzella
420;Trichophaga tapetzella;Africa;Saharo-Arabian;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Trichophaga tapetzella
421;Haplochrois theae;Asia;Sino-Japanese;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Haplochrois theae
422;Haplotinea ditella;Europe;Palearctic;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Haplotinea ditella
423;Herpetogramma licarsisalis;Asia;Oriental;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Herpetogramma licarsisalis
424;Agassiziella angulipennis;Asia;Oriental;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Agassiziella angulipennis
425;Parapoynx bilinealis;Asia;Oriental;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Parapoynx bilinealis
426;Cydia grunertiana;Europe;Palearctic;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Cydia grunertiana
427;Cydia grunertiana;Europe;Palearctic;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Cydia grunertiana
428;Coleophora laricella;Europe;Palearctic;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Coleophora laricella
429;Psychoides filicivora;Asia;Oriental;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Psychoides filicivora
430;Psychoides filicivora;Asia;Sino-Japanese;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Psychoides filicivora
431;Psychoides filicivora;Asia;Palearctic;0;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;Psychoides filicivora
432;Chrysodeixis chalcites;Africa;Afrotropical;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Chrysodeixis chalcites
433;Papilio demodocus;Africa;Afrotropical;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Papilio demodocus
434;Thaumatotibia leucotreta;Africa;Afrotropical;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Thaumatotibia leucotreta
435;Chrysodeixis chalcites;Europe;Palearctic;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Chrysodeixis chalcites
436;Leucoptera malifoliella;Europe;Palearctic;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Leucoptera malifoliella
437;Thaumetopoea pityocampa;Europe;Palearctic;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Thaumetopoea pityocampa
438;Chrysodeixis chalcites;Africa;Afrotropical;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Chrysodeixis chalcites
439;Papilio demodocus;Africa;Afrotropical;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Papilio demodocus
440;Thaumatotibia leucotreta;Africa;Afrotropical;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Thaumatotibia leucotreta
441;Anatrachyntis rileyi;Africa;Afrotropical;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Anatrachyntis rileyi
442;Opogona sacchari;Africa;Afrotropical;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Opogona sacchari
443;Thaumatotibia leucotreta;Africa;Afrotropical;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Thaumatotibia leucotreta
444;Chrysodeixis chalcites;Africa;Afrotropical;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Chrysodeixis chalcites
445;Papilio demodocus;Africa;Afrotropical;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Papilio demodocus
446;Thaumatotibia leucotreta;Africa;Afrotropical;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Thaumatotibia leucotreta
447;Erionota torus;Asia;Oriental;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Erionota torus
448;Chilo suppressalis;Asia;Oriental;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Chilo suppressalis
449;Papilio demodocus;Asia;Saharo-Arabian;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Papilio demodocus
450;Chrysodeixis chalcites;Africa;Afrotropical;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Chrysodeixis chalcites
451;Papilio demodocus;Africa;Afrotropical;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Papilio demodocus
452;Leucoptera malifoliella;Asia;Palearctic;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Leucoptera malifoliella
453;Hypsipyla grandella;North America;Neotropical;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Hypsipyla grandella
454;Mythimna unipuncta;South America;Neotropical;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Mythimna unipuncta
455;Hypsipyla grandella;South America;Neotropical;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Hypsipyla grandella
456;Lymantria monacha;Asia;Oriental;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Lymantria monacha
457;Oxyplax pallivitta;Asia;Oriental;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Oxyplax pallivitta
458;Mythimna unipuncta;North America;Nearctic;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Mythimna unipuncta
459;Hypsipyla grandella;North America;Nearctic;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Hypsipyla grandella
460;Mythimna unipuncta;North America;Panamanian;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Mythimna unipuncta
461;Hypsipyla grandella;North America;Panamanian;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Hypsipyla grandella
462;Dendrolimus pini;Europe;Palearctic;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Dendrolimus pini
463;Mythimna unipuncta;South America;Neotropical;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Mythimna unipuncta
464;Hypsipyla grandella;South America;Neotropical;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Hypsipyla grandella
465;Cactoblastis cactorum;South America;Neotropical;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Cactoblastis cactorum
466;Paysandisia archon;South America;Neotropical;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Paysandisia archon
467;Crocidosema aporema;South America;Neotropical;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Crocidosema aporema
468;Lymantria monacha;Europe;Palearctic;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Lymantria monacha
469;Archips xylosteanus;Europe;Palearctic;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Archips xylosteana
470;Cryptoblabes gnidiella;Europe;Palearctic;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Cryptoblabes gnidiella
471;Argyresthia pruniella;Europe;Palearctic;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Argyresthia pruniella
472;Enarmonia formosana;Europe;Palearctic;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Enarmonia formosana
473;Gypsonoma aceriana;Europe;Palearctic;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Gypsonoma aceriana
474;Papilio demodocus;Africa;Afrotropical;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Papilio demodocus
475;Thaumatotibia leucotreta;Africa;Afrotropical;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Thaumatotibia leucotreta
476;Chrysodeixis chalcites;Africa;Afrotropical;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Chrysodeixis chalcites
477;Papilio demodocus;Africa;Afrotropical;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Papilio demodocus
478;Anatrachyntis rileyi;Africa;Afrotropical;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Anatrachyntis rileyi
479;Thaumatotibia leucotreta;Africa;Afrotropical;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Thaumatotibia leucotreta
480;Argyresthia pruniella;Asia;Palearctic;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Argyresthia pruniella
481;Enarmonia formosana;Asia;Palearctic;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Enarmonia formosana
482;Lymantria mathura;Asia;Oriental;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Lymantria mathura
483;Oxyplax pallivitta;Asia;Oriental;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Oxyplax pallivitta
484;Chilo suppressalis;Asia;Oriental;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Chilo suppressalis
485;Chrysodeixis chalcites;Africa;Saharo-Arabian;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Chrysodeixis chalcites
486;Archips xylosteanus;Africa;Saharo-Arabian;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Archips xylosteana
487;Chrysodeixis chalcites;Asia;Palearctic;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Chrysodeixis chalcites
488;Leucoptera malifoliella;Asia;Palearctic;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Leucoptera malifoliella
489;Thaumetopoea pityocampa;Asia;Palearctic;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Thaumetopoea pityocampa
490;Cryptoblabes gnidiella;Asia;Palearctic;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Cryptoblabes gnidiella
491;Chilo suppressalis;Asia;Oriental;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Chilo suppressalis
492;Leucoptera malifoliella;Asia;Palearctic;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Leucoptera malifoliella
493;Archips xylosteanus;Asia;Palearctic;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Archips xylosteana
494;Hypsipyla grandella;South America;Neotropical;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Hypsipyla grandella
495;Opogona sacchari;South America;Neotropical;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Opogona sacchari
496;Thaumatotibia leucotreta;South America;Neotropical;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Thaumatotibia leucotreta
497;Duponchelia fovealis;Asia;Saharo-Arabian;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Duponchelia fovealis
498;Thaumatotibia leucotreta;Africa;Afrotropical;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Thaumatotibia leucotreta
499;Papilio demodocus;Africa;Afrotropical;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Papilio demodocus
500;Thaumatotibia leucotreta;Africa;Afrotropical;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Thaumatotibia leucotreta
501;Oxyplax pallivitta;Asia;Oriental;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Oxyplax pallivitta
502;Erionota torus;Asia;Oriental;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Erionota torus
503;Dendrolimus pini;Europe;Palearctic;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Dendrolimus pini
504;Papilio demodocus;Africa;Afrotropical;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Papilio demodocus
505;Thaumatotibia leucotreta;Africa;Afrotropical;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Thaumatotibia leucotreta
506;Opogona sacchari;Africa;Madagascan;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Opogona sacchari
507;Chrysodeixis chalcites;Asia;Saharo-Arabian;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Chrysodeixis chalcites
508;Thaumetopoea pityocampa;Asia;Saharo-Arabian;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Thaumetopoea pityocampa
509;Lymantria monacha;Europe;Palearctic;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Lymantria monacha
510;Archips xylosteanus;Europe;Palearctic;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Archips xylosteana
511;Coleophora deauratella;Europe;Palearctic;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Coleophora deauratella
512;Argyresthia pruniella;Europe;Palearctic;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Argyresthia pruniella
513;Enarmonia formosana;Europe;Palearctic;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Enarmonia formosana
514;Gypsonoma aceriana;Europe;Palearctic;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Gypsonoma aceriana
515;Leucoptera malifoliella;Europe;Palearctic;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Leucoptera malifoliella
516;Thaumetopoea pityocampa;Europe;Palearctic;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Thaumetopoea pityocampa
517;Archips xylosteanus;Europe;Palearctic;0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Archips xylosteana
