Species;AcceptedSpecies;Genus;Family;Butterfly
Lineodes integra;Lineodes integra;Lineodes;Crambidae;0
Cnaphalocrocis trapezalis;Cnaphalocrocis trapezalis;Cnaphalocrocis;Crambidae;0
Ocrasa nostralis;Ocrasa nostralis;Ocrasa;Pyralidae;0
Oecia oecophila;Oecia oecophila;Oecia;Autostichidae;0
Omiodes indicata;Omiodes indicata;Omiodes;Crambidae;0
Paectes arcigera;Paectes arcigera;Paectes;Euteliidae;0
Piletocera bufalis;Piletocera bufalis;Piletocera;Crambidae;0
Phereoeca allutella;Phereoeca allutella;Phereoeca;Tineidae;0
Pilocrocis ramentalis;Pilocrocis ramentalis;Pilocrocis;Crambidae;0
Ponometia exigua;Acontia exigua;Acontia;Noctuidae;0
Pyralis manihotalis;Pyralis manihotalis;Pyralis;Pyralidae;0
Pyrausta panopealis;Pyrausta panopealis;Pyrausta;Crambidae;0
Anatrachyntis rileyi;Anatrachyntis rileyi;Anatrachyntis;Cosmopterigidae;0
Rhectocraspeda periusalis;Rhectocraspeda periusalis;Rhectocraspeda;Crambidae;0
Samea castellalis;Samea ecclesialis;Samea;Crambidae;0
Setomorpha rutella;Setomorpha rutella;Setomorpha;Tineidae;0
Sisyracera inabsconsalis;Sisyracera inabsconsalis;Sisyracera;Crambidae;0
Sphacelodes vulneraria;Sphacelodes vulneraria;Sphacelodes;Geometridae;0
Spragueia margana;Acontia margana;Acontia;Noctuidae;0
Stenoptilodes brevipennis;Stenoptilodes brevipennis;Stenoptilodes;Pterophoridae;0
Strepsicrates smithiana;Strepsicrates smithiana;Strepsicrates;Tortricidae;0
Syngamia florella;Syngamia florella;Syngamia;Crambidae;0
Terastia meticulosalis;Terastia meticulosalis;Terastia;Crambidae;0
Trichophaga mormopis;Trichophaga mormopis;Trichophaga;Tineidae;0
Unadilla maturella;Unadilla maturella;Unadilla;Pyralidae;0
Xylesthia pruniramiella;Xylesthia pruniramiella;Xylesthia;Tineidae;0
Zeuctostyla vidrierata;Zeuctostyla vidrierata;Zeuctostyla;Geometridae;0
Cryptographis nitidalis;Cryptographis nitidalis;Cryptographis;Crambidae;0
Epinotia lantana;Epinotia lantana;Epinotia;Tortricidae;0
Hemiargus ramon;Hemiargus ramon;Hemiargus;Lycaenidae;1
Stegasta bosqueella;Stegasta basqueella;Stegasta;Gelechiidae;0
Trichoplusia ni;Trichoplusia ni;Trichoplusia;Noctuidae;0
Paectes nana;Paectes arcigera;Paectes;Euteliidae;0
Saturnia japonica;Saturnia japonica;Saturnia;Saturniidae;0
Clepsis peritana;Clepsis peritana;Clepsis;Tortricidae;0
Hyblaea puera;Hyblaea puera;Hyblaea;Hyblaeidae;0
Pareuchaetes pseudoinsulata;Pareuchaetes pseudoinsulata;Pareuchaetes;Erebidae;0
Achaea janata;Achaea janata;Achaea;Erebidae;0
Adoxophyes melia;Adoxophyes melia;Adoxophyes;Tortricidae;0
Agathodes ostentalis;Agathodes ostentalis;Agathodes;Crambidae;0
Agonoxena pyrogramma;Agonoxena pyrogramma;Agonoxena;Elachistidae;0
Agrius convolvuli;Agrius convolvuli;Agrius;Sphingidae;0
Anisodes illepidaria;Perixera illepidaria;Perixera;Geometridae;0
Anua coronata;Thyas coronata;Thyas;Erebidae;0
Anua tongaensis;Ophiusa disjungens;Ophiusa;Erebidae;0
Badamia exclamationis;Badamia exclamationis;Badamia;Hesperiidae;1
Crocidolomia pavenana;Crocidolomia pavonana;Crocidolomia;Crambidae;0
Cryptophlebia ombrodelta;Cryptophlebia ombrodelta;Cryptophlebia;Tortricidae;0
Cryptophlebia peltastica;Cryptophlebia peltastica;Cryptophlebia;Tortricidae;0
Dudua aprobola;Dudua aprobola;Dudua;Tortricidae;0
Eudocima fullonia;Eudocima phalonia;Eudocima;Erebidae;0
Euploea leucostictos;Euploea leucostictos;Euploea;Nymphalidae;1
Grammodes geometrica;Grammodes geometrica;Grammodes;Erebidae;0
Hippotion celerio;Hippotion celerio;Hippotion;Sphingidae;0
Hypolimnas bolina;Hypolimnas bolina;Hypolimnas;Nymphalidae;1
Omiodes diemenalis;Omiodes diemenalis;Omiodes;Crambidae;0
Marasmia trapezalis;Marasmia trapezalis;Marasmia;Crambidae;0
