Species;NAME_0;Realm;Cryptogenic;Dispersal;Eradicated;IntentionalRelease;Introduced;Established;ReportedFirstYear;Reference;ReferenceYear
Diaphania indica;Mauritius;Oceanian;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Mozambique;Afrotropical;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Niger;Afrotropical;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Nigeria;Afrotropical;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;French African Islands;Madagascan;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;British African Islands;Afrotropical;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Senegal;Afrotropical;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Seychelles;Oceanian;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Sierra Leone;Afrotropical;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Somalia;Afrotropical;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;South Africa;Afrotropical;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Tanzania;Afrotropical;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Uganda;Afrotropical;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Zambia;Afrotropical;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Zimbabwe;Afrotropical;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Cuba;Panamanian;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;French Guiana;Neotropical;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Jamaica;Panamanian;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Paraguay;Neotropical;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;US North American Islands;Panamanian;;;0.0;;;0.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Venezuela;Neotropical;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Bangladesh;Oriental;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Brunei;Oriental;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Cambodia;Oriental;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Australian Asian Territories;Oriental;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Iran;Saharo-Arabian;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Japan;Sino-Japanese;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;South Korea;Palearctic;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Laos;Oriental;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Maldives;Oriental;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Myanmar;Oriental;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Philippines;Oriental;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Saudi Arabia;Saharo-Arabian;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Singapore;Oriental;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Sri Lanka;Oriental;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Taiwan;Oriental;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Thailand;Oriental;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Vietnam;Oriental;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Yemen;Saharo-Arabian;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Denmark;Palearctic;;;0.0;;;0.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Netherlands;Palearctic;;;0.0;;;0.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Portugal;Palearctic;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;US Polynesian Islands;Oceanian;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;French Polynesia;Oceanian;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Guam;Oceanian;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Kiribati;Oceanian;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Marshall Islands;Oceanian;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Micronesia;Oceanian;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;US Oceania Micronesia Islands;Oceanian;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Palau;Oceanian;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Papua New Guinea;Oceanian;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Solomon Islands;Oceanian;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Tonga;Oceanian;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;Vanuatu;Oceanian;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diaphania indica;United States;Nearctic;0.0;;0.0;0.0;1.0;1.0;1955.0;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0
Diaphania nitidalis;Hawaii;Nearctic;;;0.0;0.0;1.0;1.0;2003.0;Simpson, A. et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release.;2022.0
Diaphania nitidalis;Galapagos;Neotropical;;;0.0;;1.0;1.0;;Mally, R. et al. (2022). Moths and butterflies on alien shores - global biogeography of non-native Lepidoptera. Dryad, Dataset.;2022.0
Diaphania nitidalis;Hawaii;Nearctic;;;0.0;;1.0;1.0;;Mally, R. et al. (2022). Moths and butterflies on alien shores - global biogeography of non-native Lepidoptera. Dryad, Dataset.;2022.0
Diaphania nitidalis;Hawaii;Nearctic;0.0;;0.0;0.0;1.0;1.0;;Austin, K., Rubinoff, D. (2022). Eleven New Records of Lepidoptera in the Hawaiian Islands including corrections to the Hawaiian Terrestrial Arthropod Checklist. Bishop Museum Occasional Papers 142: 49–74;2022.0
Diaphania perspectalis;France;Palearctic;0.0;;0.0;0.0;1.0;1.0;;Lopez-Vaamonde, C. et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668;2010.0
Diaphania perspectalis;Germany;Palearctic;0.0;;0.0;0.0;1.0;1.0;;Lopez-Vaamonde, C. et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668;2010.0
Diaphania perspectalis;Netherlands;Palearctic;0.0;;0.0;0.0;1.0;1.0;;Lopez-Vaamonde, C. et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668;2010.0
Diaphania perspectalis;Switzerland;Palearctic;0.0;;0.0;0.0;1.0;1.0;;Lopez-Vaamonde, C. et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668;2010.0
Diastema tigris;Australia;Australian;;;0.0;;1.0;1.0;;Mally, R. et al. (2022). Moths and butterflies on alien shores - global biogeography of non-native Lepidoptera. Dryad, Dataset.;2022.0
Diastema tigris;Hawaii;Nearctic;0.0;0.0;0.0;1.0;1.0;0.0;;Austin, K., Rubinoff, D. (2022). Eleven New Records of Lepidoptera in the Hawaiian Islands including corrections to the Hawaiian Terrestrial Arthropod Checklist. Bishop Museum Occasional Papers 142: 49–74;2022.0
Diatraea grandiosella;United States;Nearctic;0.0;;0.0;0.0;;1.0;1913.0;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0
Diatraea grandiosella;United States;Nearctic;0.0;;0.0;0.0;1.0;1.0;1913.0;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0
Diatraea saccharalis;United States;Nearctic;;;0.0;0.0;1.0;1.0;1855.0;Simpson, A. et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release.;2022.0
Diatraea saccharalis;Galapagos;Neotropical;;;0.0;;1.0;1.0;;Mally, R. et al. (2022). Moths and butterflies on alien shores - global biogeography of non-native Lepidoptera. Dryad, Dataset.;2022.0
Diatraea saccharalis;Galapagos;Neotropical;;;0.0;;1.0;1.0;2003.0;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Diatraea saccharalis;United States;Nearctic;0.0;;0.0;0.0;;1.0;;Yamanaka, T. et al. (2015). Comparison of insect invasions in North America, Japan and their Islands. Biological Invasions. 17(10): 3049-3061;2015.0
Diatraea saccharalis;United States;Nearctic;0.0;0.0;0.0;0.0;1.0;1.0;1855.0;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0
Diatraea saccharalis;Brazil;Neotropical;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diatraea saccharalis;United States;Nearctic;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diatraea saccharalis;Antigua and Barbuda;Panamanian;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diatraea saccharalis;Argentina;Neotropical;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diatraea saccharalis;Barbados;Panamanian;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diatraea saccharalis;Belize;Panamanian;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diatraea saccharalis;Bolivia;Neotropical;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diatraea saccharalis;Colombia;Neotropical;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diatraea saccharalis;Costa Rica;Panamanian;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diatraea saccharalis;Cuba;Panamanian;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diatraea saccharalis;Dominica;Panamanian;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diatraea saccharalis;Dominican Republic;Panamanian;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diatraea saccharalis;Ecuador;Neotropical;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diatraea saccharalis;El Salvador;Panamanian;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diatraea saccharalis;French Guiana;Neotropical;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diatraea saccharalis;Grenada;Neotropical;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diatraea saccharalis;French North American Islands;Panamanian;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diatraea saccharalis;Guatemala;Panamanian;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diatraea saccharalis;Guyana;Neotropical;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diatraea saccharalis;Haiti;Panamanian;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diatraea saccharalis;Honduras;Panamanian;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diatraea saccharalis;Jamaica;Panamanian;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diatraea saccharalis;Mexico;Nearctic;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diatraea saccharalis;British North American Islands;Panamanian;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diatraea saccharalis;Panama;Panamanian;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diatraea saccharalis;Paraguay;Neotropical;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diatraea saccharalis;Peru;Neotropical;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diatraea saccharalis;US North American Islands;Panamanian;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diatraea saccharalis;Saint Lucia;Neotropical;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diatraea saccharalis;Saint Kitts and Nevis;Panamanian;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diatraea saccharalis;Saint Vincent and the Grenadines;Neotropical;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diatraea saccharalis;Suriname;Neotropical;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diatraea saccharalis;Trinidad and Tobago;Neotropical;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diatraea saccharalis;Uruguay;Neotropical;;;0.0;;;1.0;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database.;2024.0
Diatraea saccharalis;United States;Nearctic;0.0;;0.0;0.0;1.0;1.0;1855.0;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0
Diatraea saccharalis;China;Palearctic;0.0;;0.0;;1.0;1.0;;Zhao, Q. et al. (2022). Potential distribution of Diatraea saccharalis in China based on MaxEnt model. Plant Quarantine. 36(1): 77-82;2022.0
Dichelia cedricola;France;Palearctic;;;0.0;;1.0;1.0;2001.0;Roy, D. et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe.;2020.0
Dichelia cedricola;France;Palearctic;;;0.0;;1.0;1.0;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS.;2020.0
Dichelia cedricola;France;Palearctic;0.0;;0.0;0.0;1.0;1.0;;Lopez-Vaamonde, C. et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668;2010.0
Dichelia cedricola;Cyprus;Saharo-Arabian;0.0;;0.0;0.0;1.0;;2010.0;Demetriou, J. et al. (2023). The Alien to Cyprus Entomofauna (ACE) database: a review of the current status of alien insects (Arthropoda, Insecta) including an updated species checklist, discussion on impacts and recommendations for informing management. NeoBiota. 83: 11-42;2023.0
Dichelia cedricola;France;Palearctic;;;0.0;;1.0;1.0;2001.0;CAB International (CABI) (2024). CABI Invasive Species Compendium.;2024.0
Dichelia histrionana;United States;Nearctic;0.0;;0.0;0.0;1.0;1.0;;Simpson, A. et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release.;2022.0
Dichelia histrionana;Canada;Nearctic;0.0;;0.0;0.0;1.0;1.0;;Gilligan, T. et al. (2020). Immigrant Tortricidae: Holarctic versus Introduced Species in North America. Insects. 11(9):594;2020.0
Dichelia histrionana;Canada;Nearctic;0.0;0.0;0.0;0.0;1.0;1.0;;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0
Dichelia histrionana;Canada;Nearctic;0.0;;0.0;0.0;1.0;1.0;;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0
Dichelia histrionana;United States;Nearctic;0.0;;0.0;0.0;1.0;1.0;;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0
Dichomeris acuminatus;Hawaii;Nearctic;;;0.0;0.0;1.0;1.0;;Simpson, A. et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release.;2022.0
Dichomeris acuminatus;Hawaii;Nearctic;;;0.0;;1.0;1.0;;Mally, R. et al. (2022). Moths and butterflies on alien shores - global biogeography of non-native Lepidoptera. Dryad, Dataset.;2022.0
Dichomeris acuminatus;Hawaii;Nearctic;0.0;;0.0;0.0;1.0;1.0;;Austin, K., Rubinoff, D. (2025). New records of introduced Lepidoptera in the Hawaiian Islands for the year 2024. Bishop Museum Occasional Papers 163: 03–10;2025.0
Dichomeris acuminatus;Hawaii;Nearctic;;;0.0;;1.0;1.0;1952.0;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Dichomeris aenigmatica;Hawaii;Nearctic;0.0;0.0;0.0;1.0;1.0;1.0;;Simpson, A. et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release.;2022.0
Dichomeris aenigmatica;Hawaii;Nearctic;;;0.0;;1.0;1.0;;Mally, R. et al. (2022). Moths and butterflies on alien shores - global biogeography of non-native Lepidoptera. Dryad, Dataset.;2022.0
Dichomeris aenigmatica;Hawaii;Nearctic;0.0;0.0;0.0;1.0;1.0;1.0;;Nishida, G. (2002). Hawaiian terrestrial arthropod checklist. Fourth edition. Bishop Museum Press. 313 pp;2002.0
Dichomeris aenigmatica;Hawaii;Nearctic;0.0;0.0;0.0;1.0;1.0;1.0;1955.0;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Dichomeris aenigmatica;Hawaii;Nearctic;0.0;0.0;0.0;1.0;1.0;1.0;;Yamanaka, T. et al. (2015). Comparison of insect invasions in North America, Japan and their Islands. Biological Invasions. 17(10): 3049-3061;2015.0
Dichomeris helianthemi;Portugal;Palearctic;1.0;;0.0;0.0;;;2014.0;Corley, M. et al. (2015). New and interesting Portuguese Lepidoptera records from 2015 (Insecta: Lepidoptera). SHILAP Revista de Lepidopterologia. 44(176): 615-643;2015.0
Dichomeris heriguronis;Canada;Nearctic;0.0;;0.0;0.0;1.0;1.0;;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0
Dichomeris heriguronis;United States;Nearctic;0.0;0.0;0.0;0.0;1.0;1.0;1920.0;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0
Dichomeris heriguronis;Canada;Nearctic;0.0;;0.0;0.0;1.0;1.0;1920.0;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0
Dichomeris heriguronis;United States;Nearctic;0.0;;0.0;0.0;1.0;1.0;1920.0;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0
Dichomeris marginella;United States;Nearctic;;;0.0;0.0;1.0;1.0;1910.0;Simpson, A. et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release.;2022.0
Dichomeris marginella;Canada;Nearctic;0.0;0.0;0.0;0.0;1.0;1.0;1920.0;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0
Dichomeris marginella;United States;Nearctic;0.0;;0.0;0.0;;1.0;;Yamanaka, T. et al. (2015). Comparison of insect invasions in North America, Japan and their Islands. Biological Invasions. 17(10): 3049-3061;2015.0
Dichomeris marginella;United States;Nearctic;0.0;0.0;0.0;0.0;1.0;1.0;1920.0;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0
Dichomeris marginella;United States;Nearctic;0.0;;0.0;0.0;1.0;1.0;1910.0;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0
Dichomeris marginella;Canada;Nearctic;0.0;;0.0;0.0;1.0;1.0;1920.0;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0
Dichomeris picrocarpa;United States;Nearctic;;;0.0;0.0;1.0;;1932.0;Simpson, A. et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release.;2022.0
Dichomeris picrocarpa;United States;Nearctic;0.0;;0.0;0.0;;;;Yamanaka, T. et al. (2015). Comparison of insect invasions in North America, Japan and their Islands. Biological Invasions. 17(10): 3049-3061;2015.0
Dichrorampha acuminatana;United States;Nearctic;0.0;;0.0;0.0;1.0;1.0;2001.0;Simpson, A. et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release.;2022.0
Dichrorampha acuminatana;Canada;Nearctic;0.0;;0.0;0.0;1.0;1.0;;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0
Dichrorampha acuminatana;United States;Nearctic;0.0;;0.0;0.0;1.0;1.0;2001.0;Gilligan, T. et al. (2020). Immigrant Tortricidae: Holarctic versus Introduced Species in North America. Insects. 11(9):594;2020.0
Dichrorampha acuminatana;Canada;Nearctic;0.0;;0.0;0.0;1.0;1.0;;Gilligan, T. et al. (2020). Immigrant Tortricidae: Holarctic versus Introduced Species in North America. Insects. 11(9):594;2020.0
Dichrorampha acuminatana;United States;Nearctic;0.0;;0.0;0.0;1.0;1.0;2003.0;Gilligan, T. et al. (2020). Immigrant Tortricidae: Holarctic versus Introduced Species in North America. Insects. 11(9):594;2020.0
Dichrorampha acuminatana;United States;Nearctic;0.0;;0.0;0.0;1.0;1.0;2001.0;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0
Dichrorampha acuminatana;United States;Nearctic;0.0;;0.0;0.0;1.0;1.0;2001.0;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0
Dichrorampha aeratana;United States;Nearctic;0.0;;0.0;0.0;1.0;1.0;1992.0;Simpson, A. et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release.;2022.0
Dichrorampha aeratana;Canada;Nearctic;0.0;;0.0;0.0;1.0;1.0;;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0
Dichrorampha aeratana;Canada;Nearctic;0.0;;0.0;0.0;1.0;1.0;;Gilligan, T. et al. (2020). Immigrant Tortricidae: Holarctic versus Introduced Species in North America. Insects. 11(9):594;2020.0
Dichrorampha aeratana;Canada;Nearctic;0.0;;0.0;0.0;1.0;1.0;1994.0;Gilligan, T. et al. (2020). Immigrant Tortricidae: Holarctic versus Introduced Species in North America. Insects. 11(9):594;2020.0
Dichrorampha aeratana;United States;Nearctic;0.0;;0.0;0.0;1.0;1.0;1992.0;Gilligan, T. et al. (2020). Immigrant Tortricidae: Holarctic versus Introduced Species in North America. Insects. 11(9):594;2020.0
Dichrorampha aeratana;United States;Nearctic;0.0;0.0;0.0;0.0;1.0;1.0;1992.0;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0
