;Cosmopolitan;Continent;Species;Realm;ReferenceYear;Reference
28;0;Africa;Euclasta varii;Afrotropical;1973;Popescu-Gorj A. and Constantinescu A. (1973). New African species of Euclasta (Lepidoptera, Pyraustinae). Revue roumaine de Biologie - Serie de Zoologie. 18(6): 393–402
29;0;Africa;Nyctemera apicalis;Afrotropical;2024;de Prins J. and de Prins W. (2024). Afromoths, online database of Afrotropical moth species (Lepidoptera). Available at: http://www.afromoths.net
30;0;Africa;Hypena commixtalis;Afrotropical;2024;de Prins J. and de Prins W. (2024). Afromoths, online database of Afrotropical moth species (Lepidoptera). Available at: http://www.afromoths.net
31;0;Africa;Deudorix antalus;Afrotropical;2019;Mendes, L., Bivar-de-Sousa, A. and Williams, M. (2019). The butterflies and skippers (Lepidoptera: Papilionoidea) of Angola: An updated checklist. Biodiversity of Angola: science & conservation: a modern synthesis. 167-203
32;0;Africa;Deudorix antalus;Afrotropical;2021;Pringle, E. and Westrip, J. (2021). Deudorix antalus. The IUCN Red List of Threatened Species 2021: e.T161338217A161338221.
33;0;Africa;Lampides boeticus;Afrotropical;2021;Edge, D. and Westrip, J. (2021). Lampides boeticus. The IUCN Red List of Threatened Species 2021: e.T174427A161341394
34;0;Africa;Hypena jussalis;Afrotropical;2024;de Prins J. and de Prins W. (2024). Afromoths, online database of Afrotropical moth species (Lepidoptera). Available at: http://www.afromoths.net
35;0;Africa;Thaumatotibia leucotreta;Afrotropical;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
36;0;Africa;Danaus chrysippus;Afrotropical;2021;Westrip, J. (2021). Danaus chrysippus (errata version published in 2022). The IUCN Red List of Threatened Species 2021: e.T174455A222994680
37;0;Europe;Acronicta aceris;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
38;0;Europe;Acalyptris platani;Palearctic;2003;Sefrova, H. (2003). Invasions of Lithocolletinae species in Europe - Causes, kinds, limits and ecological impact (Lepidoptera, Gracillariidae). Ekologia (Bratislava). 22(2): 132-142
39;0;Europe;Apamea remissa;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
40;0;Europe;Aproaerema anthyllidella;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
41;0;Europe;Bupalus piniaria;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
42;0;Europe;Chrysodeixis chalcites;Palearctic;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
43;0;Europe;Eilema caniola;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
44;0;Europe;Deilephila elpenor;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
45;0;Europe;Elophila nymphaeata;Palearctic;1984;Speidel, W. (1984). Revision der Acentropinae des palaearktischen Faunengebietes (Lepidoptera: Crambidae). Neue entomologische Nachrichten. 12: 1–157
46;0;Europe;Emmelina monodactyla;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
47;0;Europe;Hipparchia statilinus;Palearctic;2011;Tennent, W. (2011). Hipparchia statilinus. The IUCN Red List of Threatened Species 2011: e.T160360A5364211
48;0;Europe;Iphiclides podalirius;Palearctic;2014;van Swaay, C., Wynhoff, I., Wiemers, M., Katbeh-Bader, A., Power, A., Benyamini, D., ... and Beshkov, S. (2014). Iphiclides podalirius (Mediterranean assessment). The IUCN Red List of Threatened Species 2014: e.T174405A53719929
49;0;Europe;Iphiclides podalirius;Palearctic;2010;van Swaay, C., Wynhoff, I., Verovnik, R., Wiemers, M., Lopez Munguira, M., Maes, D., ... and Settele, J. (2010). Iphiclides podalirius (Europe assessment). The IUCN Red List of Threatened Species 2010: e.T174405A7066031
50;0;Europe;Leucoptera malifoliella;Palearctic;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
51;0;Europe;Libythea celtis;Palearctic;2010;van Swaay, C., Wynhoff, I., Verovnik, R., Wiemers, M., Lopez Munguira, M., Maes, D., ... and Settele, J. (2010). Libythea celtis (Europe assessment). The IUCN Red List of Threatened Species 2010: e.T174408A7066646
52;0;Europe;Libythea celtis;Palearctic;2014;van Swaay, C., Wynhoff, I., Wiemers, M., Katbeh-Bader, A., Power, A., Benyamini, D., ... and Beshkov, S. (2014). Libythea celtis (Mediterranean assessment). The IUCN Red List of Threatened Species 2014: e.T174408A53712721
53;0;Europe;Neurothaumasia ankerella;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
54;0;Europe;Scopula imitaria;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
55;0;Europe;Thaumetopoea pityocampa;Palearctic;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
56;0;Europe;Pieris rapae;Palearctic;2010;van Swaay, C., Wynhoff, I., Verovnik, R., Wiemers, M., Lopez Munguira, M., Maes, D., ... and Settele, J. (2010). Pieris rapae (Europe assessment). The IUCN Red List of Threatened Species 2010: e.T174353A7056010
57;0;Europe;Pieris rapae;Palearctic;2014;van Swaay, C., Wynhoff, I., Wiemers, M., Katbeh-Bader, A., Power, A., Benyamini, D., ... and Beshkov, S. (2014). Pieris rapae (Mediterranean assessment). The IUCN Red List of Threatened Species 2014: e.T174353A53720063
58;0;Europe;Archips xylosteana;Palearctic;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
59;0;Europe;Agonopterix alstromeriana;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
60;0;Europe;Pararge aegeria;Palearctic;2010;van Swaay, C., Wynhoff, I., Verovnik, R., Wiemers, M., Lopez Munguira, M., Maes, D., ... and Settele, J. (2010). Pararge aegeria (Europe assessment). The IUCN Red List of Threatened Species 2010: e.T174214A7029860
61;0;Europe;Pararge aegeria;Palearctic;2014;van Swaay, C., Wynhoff, I., Wiemers, M., Katbeh-Bader, A., Power, A., Benyamini, D., ... and Beshkov, S. (2014). Pararge aegeria (Mediterranean assessment). The IUCN Red List of Threatened Species 2014: e.T174214A53719848
62;0;Europe;Eucosma cana;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
63;0;Europe;Cnephasia pasiuana;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
64;0;Europe;Erebia epiphron;Palearctic;2010;van Swaay, C., Wynhoff, I., Verovnik, R., Wiemers, M., Lopez Munguira, M., Maes, D., ... and Settele, J. (2010). Erebia epiphron. The IUCN Red List of Threatened Species 2010: e.T173284A6985207
65;0;Europe;Anthophila nemorana;Palearctic;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32
66;0;Europe;Aglossa caprealis;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
