Species;Continent;Realm;ReferenceYear;Reference
Cyclophora obstataria;Asia;Oriental;1997;Holloway, J. (1997). The Moths of Borneo, Part 10 Geometridae, Subfamilies: Sterrhinae and Larentiinae. Southdene Sdn Bhd. Available online at: https://www.mothsofborneo.com/part-10/index.htm
Cyclophora obstataria;Asia;Oriental;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Cyclophora obstataria;Australia;Australian;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Chrysodeixis eriosoma;Oceania;Oceanian;2024;de Prins, J., de Prins, W. (2024). Afromoths, online database of Afrotropical moth species (Lepidoptera).
Chrysodeixis eriosoma;Asia;Oriental;2024;de Prins, J., de Prins, W. (2024). Afromoths, online database of Afrotropical moth species (Lepidoptera).
Cydalima perspectalis;Asia;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Cydalima perspectalis;Asia;Oriental;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Cydia coniferana;Asia;Palearctic;2007;Powell, N. (2007). First report of the Palearctic species Cydia coniferana (Tortricidae) in the western United States. Journal of the Lepidopterists Society. 61(3): 172-175
Cydia coniferana;Asia;Palearctic;2021;Goglia, L. (2021). Faunistic Notes on Lepidoptera Tortricidae from Calabria (South Italy) - Contribution to the knowledge of the Lepidoptera Tortricidae fauna of Mediterranean ecosystems. [PhD Thesis, Universita degli Studi della Tuscia and Universita degli Studi del Molise]
Cydia coniferana;Europe;Palearctic;2021;Goglia, L. (2021). Faunistic Notes on Lepidoptera Tortricidae from Calabria (South Italy) - Contribution to the knowledge of the Lepidoptera Tortricidae fauna of Mediterranean ecosystems. [PhD Thesis, Universita degli Studi della Tuscia and Universita degli Studi del Molise]
Cydia coniferana;Europe;Palearctic;2007;Powell, N. (2007). First report of the Palearctic species Cydia coniferana (Tortricidae) in the western United States. Journal of the Lepidopterists Society. 61(3): 172-175
Cydia coniferana;Asia;Sino-Japanese;2007;Powell, N. (2007). First report of the Palearctic species Cydia coniferana (Tortricidae) in the western United States. Journal of the Lepidopterists Society. 61(3): 172-175
Cydia coniferana;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Earias cupreoviridis;Africa;Afrotropical;2024;de Prins, J., de Prins, W. (2024). Afromoths, online database of Afrotropical moth species (Lepidoptera).
Earias cupreoviridis;Asia;Oriental;2024;de Prins, J., de Prins, W. (2024). Afromoths, online database of Afrotropical moth species (Lepidoptera).
Cydia illutana;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Cydia interscindana;Europe;Palearctic;2022;Takacs, A. et al. (2022). Bionomics and host plants of the invasive Cydia interscindana (Moschler, 1866) (Lepidoptera, Tortricidae), an emerging pest in the Carpathian Lowlands. Nota Lepidopterologica. 45: 53-64
Cydia interscindana;Africa;Saharo-Arabian;2022;Takacs, A. et al. (2022). Bionomics and host plants of the invasive Cydia interscindana (Moschler, 1866) (Lepidoptera, Tortricidae), an emerging pest in the Carpathian Lowlands. Nota Lepidopterologica. 45: 53-64
Cydia medicaginis;Europe;Palearctic;2007;Smith, R. et al. (2007). Recent non-native invertebrate plant pest establishments in Great Britain: origins, pathways, and trends. Agricultural and Forest Entomology. 9(4): 307-326
Cydia medicaginis;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Cydia millenniana;Asia;Palearctic;2010;Lopez-Vaamonde, C. et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668
Cydia millenniana;Europe;Palearctic;2010;Lopez-Vaamonde, C. et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668
Cydia nigricana;Europe;Palearctic;2015;Thoming, G., Norli, H. (2015). Olfactory cues from different plant species in host selection by female pea moths. Journal of Agricultural and Food Chemistry. 63(8): 2127-2136
Cydia nigricana;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Cydia pactolana;Europe;Palearctic;2010;Lopez-Vaamonde, C. et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668
Cydia pomonella;Europe;Palearctic;2024;Mahi, T. et al. (2024). Tracing the origin of the alien pest Cydia pomonella in Algeria through a worldwide comparison of the species DNA barcodes. Agricultural and Forest Entomology. 27(2): 171‚ai181
Cydia pomonella;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Cydia saltitans;North America;Nearctic;2012;West, D. et al. (2012). Locomotion of Mexican jumping beans. Bioinspiration and Biomimetics. 7(3): 036014
Earias cupreoviridis;Asia;Saharo-Arabian;2024;de Prins, J., de Prins, W. (2024). Afromoths, online database of Afrotropical moth species (Lepidoptera).
Cydia strobilella;Europe;Palearctic;2010;Lopez-Vaamonde, C. et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668
Cydia succedana;Europe;Palearctic;2002;Hill, R., Gourlay, A. (2002). Host-range testing, introduction, and establishment of Cydia succedana (Lepidoptera: Tortricidae) for biological control of gorse, Ulex europaeus L., in New Zealand. Biological Control. 25(2): 173-186
Cymolomia hartigiana;Asia;Palearctic;2004;Bong-Kyu, B. et al. (2004). Cymolomia hartigiana (Saxesen, 1840)(Lepidoptera: Tortricidae) attacking to Abies nephrolepis max. new to Daxinganling, Heilongjiang, China. Journal of Forestry Research. 15(1): 67-68
Cymolomia hartigiana;Asia;Sino-Japanese;2004;Bong-Kyu, B. et al. (2004). Cymolomia hartigiana (Saxesen, 1840)(Lepidoptera: Tortricidae) attacking to Abies nephrolepis max. new to Daxinganling, Heilongjiang, China. Journal of Forestry Research. 15(1): 67-68
Cymolomia hartigiana;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Dahlica lichenella;Europe;Palearctic;2025;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys
Dahlica lichenella;Asia;Palearctic;2025;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys
Dahlica triquetrella;Europe;Palearctic;2025;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys
Dahlica triquetrella;Asia;Palearctic;2025;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys
Danaus chrysippus;Africa;Afrotropical;2021;Westrip, J. (2021). Danaus chrysippus (errata version published in 2022). The IUCN Red List of Threatened Species. 2021: e.T174455A222994680
Danaus chrysippus;Australia;Australian;2021;Westrip, J. (2021). Danaus chrysippus (errata version published in 2022). The IUCN Red List of Threatened Species. 2021: e.T174455A222994680
Danaus chrysippus;Africa;Madagascan;2021;Westrip, J. (2021). Danaus chrysippus (errata version published in 2022). The IUCN Red List of Threatened Species. 2021: e.T174455A222994680
Danaus chrysippus;Oceania;Oceanian;2021;Westrip, J. (2021). Danaus chrysippus (errata version published in 2022). The IUCN Red List of Threatened Species. 2021: e.T174455A222994680
Danaus chrysippus;Asia;Oriental;2021;Westrip, J. (2021). Danaus chrysippus (errata version published in 2022). The IUCN Red List of Threatened Species. 2021: e.T174455A222994680
Danaus chrysippus;Asia;Palearctic;2021;Westrip, J. (2021). Danaus chrysippus (errata version published in 2022). The IUCN Red List of Threatened Species. 2021: e.T174455A222994680
Danaus chrysippus;Europe;Palearctic;2021;Westrip, J. (2021). Danaus chrysippus (errata version published in 2022). The IUCN Red List of Threatened Species. 2021: e.T174455A222994680
Danaus chrysippus;Africa;Saharo-Arabian;2021;Westrip, J. (2021). Danaus chrysippus (errata version published in 2022). The IUCN Red List of Threatened Species. 2021: e.T174455A222994680
Danaus chrysippus;Asia;Saharo-Arabian;2021;Westrip, J. (2021). Danaus chrysippus (errata version published in 2022). The IUCN Red List of Threatened Species. 2021: e.T174455A222994680
Danaus chrysippus;Asia;Sino-Japanese;2021;Westrip, J. (2021). Danaus chrysippus (errata version published in 2022). The IUCN Red List of Threatened Species. 2021: e.T174455A222994680
Danaus chrysippus;Asia;Oriental;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Danaus chrysippus;Africa;Afrotropical;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Danaus chrysippus;Australia;Australian;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Danaus genutia;Australia;Australian;2010;Atluri, J. et al. (2010). Life History and Larval Performance of the Common Tiger Butterfly, Danaus genuita Cramer (Lepidoptera, Rhopalocera, Danaidae). The Bioscan. 5(3): 511-515
Danaus genutia;Asia;Oriental;2010;Atluri, J. et al. (2010). Life History and Larval Performance of the Common Tiger Butterfly, Danaus genuita Cramer (Lepidoptera, Rhopalocera, Danaidae). The Bioscan. 5(3): 511-515
Danaus plexippus;Australia;Australian;2022;Walker, A. et al. (2022). Danaus plexippus (errata version published in 2022). The IUCN Red List of Threatened Species. 2022: e.T159971A219149911
Danaus plexippus;Oceania;Australian;2022;Walker, A. et al. (2022). Danaus plexippus (errata version published in 2022). The IUCN Red List of Threatened Species. 2022: e.T159971A219149911
Danaus plexippus;North America;Nearctic;2022;Walker, A. et al. (2022). Danaus plexippus (errata version published in 2022). The IUCN Red List of Threatened Species. 2022: e.T159971A219149911
Danaus plexippus;Oceania;Nearctic;2022;Walker, A. et al. (2022). Danaus plexippus (errata version published in 2022). The IUCN Red List of Threatened Species. 2022: e.T159971A219149911
Danaus plexippus;South America;Neotropical;2022;Walker, A. et al. (2022). Danaus plexippus (errata version published in 2022). The IUCN Red List of Threatened Species. 2022: e.T159971A219149911
Danaus plexippus;Asia;Oriental;2022;Walker, A. et al. (2022). Danaus plexippus (errata version published in 2022). The IUCN Red List of Threatened Species. 2022: e.T159971A219149911
Danaus plexippus;Asia;Palearctic;2022;Walker, A. et al. (2022). Danaus plexippus (errata version published in 2022). The IUCN Red List of Threatened Species. 2022: e.T159971A219149911
Danaus plexippus;Europe;Palearctic;2022;Walker, A. et al. (2022). Danaus plexippus (errata version published in 2022). The IUCN Red List of Threatened Species. 2022: e.T159971A219149911
Danaus plexippus;North America;Panamanian;2022;Walker, A. et al. (2022). Danaus plexippus (errata version published in 2022). The IUCN Red List of Threatened Species. 2022: e.T159971A219149911
Danaus plexippus;South America;Panamanian;2022;Walker, A. et al. (2022). Danaus plexippus (errata version published in 2022). The IUCN Red List of Threatened Species. 2022: e.T159971A219149911
Danaus plexippus;Asia;Sino-Japanese;2022;Walker, A. et al. (2022). Danaus plexippus (errata version published in 2022). The IUCN Red List of Threatened Species. 2022: e.T159971A219149911
Danaus plexippus;North America;Nearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Earias cupreoviridis;Asia;Sino-Japanese;2024;de Prins, J., de Prins, W. (2024). Afromoths, online database of Afrotropical moth species (Lepidoptera).
Eublemma accedens;Africa;Afrotropical;2024;de Prins, J., de Prins, W. (2024). Afromoths, online database of Afrotropical moth species (Lepidoptera).
Eublemma accedens;Australia;Australian;2024;de Prins, J., de Prins, W. (2024). Afromoths, online database of Afrotropical moth species (Lepidoptera).
Eublemma accedens;Africa;Madagascan;2024;de Prins, J., de Prins, W. (2024). Afromoths, online database of Afrotropical moth species (Lepidoptera).
Eublemma accedens;Oceania;Oceanian;2024;de Prins, J., de Prins, W. (2024). Afromoths, online database of Afrotropical moth species (Lepidoptera).
Eublemma accedens;Asia;Oriental;2024;de Prins, J., de Prins, W. (2024). Afromoths, online database of Afrotropical moth species (Lepidoptera).
Euchromia lethe;Africa;Afrotropical;2024;de Prins, J., de Prins, W. (2024). Afromoths, online database of Afrotropical moth species (Lepidoptera).
Daphnis nerii;Asia;Oriental;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Daphnis nerii;Africa;Afrotropical;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Dasypodia cymatodes;Australia;Australian;2001;Hoare, R. (2001). Adventive species of Lepidoptera recorded for the first time in New Zealand since 1988. New Zealand Entomologist. 24: 23-47
Dasypodia cymatodes;Australia;Australian;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Dasypodia selenophora;Australia;Australian;2001;Hoare, R. (2001). Adventive species of Lepidoptera recorded for the first time in New Zealand since 1988. New Zealand Entomologist. 24: 23-47
Dasypodia selenophora;Australia;Australian;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Dasyses incrustata;Africa;Afrotropical;1930;Meyrick, E. (1930). Exotic Microlepidoptera - Vol. III. Taylor  Francis. United Kingdom
Dasystoma salicella;Asia;Palearctic;1988;Contant, H. (1988). Modification of microclimate by the blueberry leaf-tier, Cheimophila salicella (Hbn.)(Lepidoptera: Oecophoridae) [PhD Dissertation, University of British Columbia]
Dasystoma salicella;Europe;Palearctic;1988;Contant, H. (1988). Modification of microclimate by the blueberry leaf-tier, Cheimophila salicella (Hbn.)(Lepidoptera: Oecophoridae) [PhD Dissertation, University of British Columbia]
Davara caricae;North America;Panamanian;2025;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys
Davara caricae;South America;Panamanian;2025;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys
Davara caricae;North America;Nearctic;2025;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys
Davara caricae;South America;Neotropical;2025;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys
Deanolis sublimbalis;Asia;Oriental;2009;Royer, J. (2009). Spread of red-banded mango caterpillar, Deanolis sublimbalis Snellen (Lepidoptera: Pyralidae), in Cape York Peninsula, Australia. The Australian Entomologist. 36(3): 119-130
Deanolis sublimbalis;Asia;Oriental;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Deilephila elpenor;Asia;Oriental;2013;Hanif, H. et al. (2013). First record of Deilephila elpenor L. moth from Chakwal Punjab Pakistan. International Journal of Fauna and Biological Studies. 3(2): 10-13
Deilephila elpenor;Asia;Palearctic;2013;Hanif, H. et al. (2013). First record of Deilephila elpenor L. moth from Chakwal Punjab Pakistan. International Journal of Fauna and Biological Studies. 3(2): 10-13
Deilephila elpenor;Europe;Palearctic;2013;Hanif, H. et al. (2013). First record of Deilephila elpenor L. moth from Chakwal Punjab Pakistan. International Journal of Fauna and Biological Studies. 3(2): 10-13
Deilephila elpenor;Asia;Saharo-Arabian;2013;Hanif, H. et al. (2013). First record of Deilephila elpenor L. moth from Chakwal Punjab Pakistan. International Journal of Fauna and Biological Studies. 3(2): 10-13
Deilephila elpenor;Asia;Sino-Japanese;2013;Hanif, H. et al. (2013). First record of Deilephila elpenor L. moth from Chakwal Punjab Pakistan. International Journal of Fauna and Biological Studies. 3(2): 10-13
Euchromia lethe;Africa;Madagascan;2024;de Prins, J., de Prins, W. (2024). Afromoths, online database of Afrotropical moth species (Lepidoptera).
Euclasta gigantalis;Africa;Afrotropical;2024;de Prins, J., de Prins, W. (2024). Afromoths, online database of Afrotropical moth species (Lepidoptera).
Euclasta gigantalis;Africa;Madagascan;2024;de Prins, J., de Prins, W. (2024). Afromoths, online database of Afrotropical moth species (Lepidoptera).
Galtara extensa;Africa;Madagascan;2024;de Prins, J., de Prins, W. (2024). Afromoths, online database of Afrotropical moth species (Lepidoptera).
Dendrolimus pini;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Dendrolimus pini;Asia;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Hypena commixtalis;Africa;Afrotropical;2024;de Prins, J., de Prins, W. (2024). Afromoths, online database of Afrotropical moth species (Lepidoptera).
Dendrolimus sibiricus;Asia;Palearctic;2020;Flo, D. et al. (2020). The Siberian moth (Dendrolimus sibiricus), a pest risk assessment for Norway. Forest Ecosystems. 7: 1-11
Dendrolimus sibiricus;Asia;Palearctic;2018;Jeong, J. et al. (2018). DNA data and morphology suggest an occurrence of Dendrolimus sibiricus Tschetverikov, 1908 (Lepidoptera: Lasiocampidae) instead of D. superans Butler, 1877, in South Korea. Entomological Research. 48(2): 108-121
Dendrolimus sibiricus;Europe;Palearctic;2020;Flo, D. et al. (2020). The Siberian moth (Dendrolimus sibiricus), a pest risk assessment for Norway. Forest Ecosystems. 7: 1-11
Dendrolimus sibiricus;Asia;Sino-Japanese;2018;Jeong, J. et al. (2018). DNA data and morphology suggest an occurrence of Dendrolimus sibiricus Tschetverikov, 1908 (Lepidoptera: Lasiocampidae) instead of D. superans Butler, 1877, in South Korea. Entomological Research. 48(2): 108-121
Dendrolimus sibiricus;Asia;Sino-Japanese;2020;Flo, D. et al. (2020). The Siberian moth (Dendrolimus sibiricus), a pest risk assessment for Norway. Forest Ecosystems. 7: 1-11
Dendrolimus superans;Asia;Palearctic;2018;Jeong, J. et al. (2018). DNA data and morphology suggest an occurrence of Dendrolimus sibiricus Tschetverikov, 1908 (Lepidoptera: Lasiocampidae) instead of D. superans Butler, 1877, in South Korea. Entomological Research. 48(2): 108-121
Dendrolimus superans;Asia;Sino-Japanese;2018;Jeong, J. et al. (2018). DNA data and morphology suggest an occurrence of Dendrolimus sibiricus Tschetverikov, 1908 (Lepidoptera: Lasiocampidae) instead of D. superans Butler, 1877, in South Korea. Entomological Research. 48(2): 108-121
Depressaria apiella;Asia;Palearctic;2003;Mckenna, D., Berenbaum, M. (2003). A field investication of depressaria (elachistidae) iiost piants and ecolocy in the western united states. Journal of the Lepidopterists Society. 57(1): 36-42
Depressaria apiella;Europe;Palearctic;2003;Mckenna, D., Berenbaum, M. (2003). A field investication of depressaria (elachistidae) iiost piants and ecolocy in the western united states. Journal of the Lepidopterists Society. 57(1): 36-42
Depressaria depressana;Asia;Palearctic;2013;Landry, J. et al. (2013). Shared but overlooked: 30 species of Holarctic Microlepidoptera revealed by DNA barcodes and morphology. Zootaxa. 3749(1): 1-93
Depressaria depressana;Europe;Palearctic;2013;Landry, J. et al. (2013). Shared but overlooked: 30 species of Holarctic Microlepidoptera revealed by DNA barcodes and morphology. Zootaxa. 3749(1): 1-93
Depressaria depressana;Asia;Sino-Japanese;2013;Landry, J. et al. (2013). Shared but overlooked: 30 species of Holarctic Microlepidoptera revealed by DNA barcodes and morphology. Zootaxa. 3749(1): 1-93
Depressaria depressana;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Depressaria discipunctella;Asia;Palearctic;2016;Harrison, T. et al. (2016). Depressaria depressana (Fabricius)(Depressariidae), new to the Midwestern USA. The Journal of the Lepidopterists Society. 70(2): 169-173
Depressaria discipunctella;Europe;Palearctic;2016;Harrison, T. et al. (2016). Depressaria depressana (Fabricius)(Depressariidae), new to the Midwestern USA. The Journal of the Lepidopterists Society. 70(2): 169-173
Depressaria discipunctella;Asia;Saharo-Arabian;2016;Harrison, T. et al. (2016). Depressaria depressana (Fabricius)(Depressariidae), new to the Midwestern USA. The Journal of the Lepidopterists Society. 70(2): 169-173
Depressaria radiella;Europe;Palearctic;2025;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys
Depressaria radiella;Asia;Palearctic;2025;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys
Deudorix livia;Africa;Afrotropical;2005;Gong, C. (2005) The first record of the Eremic Lycaenid Deudorix livia (Klug, 1834) in Europe. Atalanta. 36(1): 109-112
Deudorix livia;Africa;Saharo-Arabian;2005;Gong, C. (2005) The first record of the Eremic Lycaenid Deudorix livia (Klug, 1834) in Europe. Atalanta. 36(1): 109-112
Deudorix livia;Asia;Saharo-Arabian;2005;Gong, C. (2005) The first record of the Eremic Lycaenid Deudorix livia (Klug, 1834) in Europe. Atalanta. 36(1): 109-112
Diacrotricha fasciola;Asia;Oriental;2015;Anderson, S. et al. (2015). New distribution records of the Star Fruit Flower Moth (Diacrotricha fasciola)(Lepidoptera: Pterophoridae) in Australia and Timor-Leste. Northern Territory Naturalist. 26: 76-84
Diacrotricha fasciola;Asia;Oriental;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Dialectica scalariella;Asia;Palearctic;2023;Langdon, W. (2023). Dialectica scalariella (Zeller, 1850)(Lep.: Gracillariidae) at Dungeness, Kent: The first British Breeding Record. Entomologists Record and Journal of Variation. 135: 6-18
Dialectica scalariella;Europe;Palearctic;2023;Langdon, W. (2023). Dialectica scalariella (Zeller, 1850)(Lep.: Gracillariidae) at Dungeness, Kent: The first British Breeding Record. Entomologists Record and Journal of Variation. 135: 6-18
Dialectica scalariella;Europe;Palearctic;1997;Kumata, T., Horak, M. (1997). The native Dialectica aemula (Meyrick) and the introduced Dialectica scalariella (Zeller)(Lepidoptera: Gracillariidae) in Australia: characterisation of two closely related species on Boraginaceae. Australian Journal of Entomology. 36(1): 25-35
Dialectica scalariella;Africa;Saharo-Arabian;2023;Langdon, W. (2023). Dialectica scalariella (Zeller, 1850)(Lep.: Gracillariidae) at Dungeness, Kent: The first British Breeding Record. Entomologists Record and Journal of Variation. 135: 6-18
Dialectica scalariella;Africa;Afrotropical;2023;Langdon, W. (2023). Dialectica scalariella (Zeller, 1850)(Lep.: Gracillariidae) at Dungeness, Kent: The first British Breeding Record. Entomologists Record and Journal of Variation. 135: 6-18
Dialectica scalariella;Africa;Madagascan;2023;Langdon, W. (2023). Dialectica scalariella (Zeller, 1850)(Lep.: Gracillariidae) at Dungeness, Kent: The first British Breeding Record. Entomologists Record and Journal of Variation. 135: 6-18
Dialectica scalariella;Asia;Saharo-Arabian;2023;Langdon, W. (2023). Dialectica scalariella (Zeller, 1850)(Lep.: Gracillariidae) at Dungeness, Kent: The first British Breeding Record. Entomologists Record and Journal of Variation. 135: 6-18
Dialectica scalariella;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Dialectica scalariella;Asia;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Dialectica scalariella;Australia;Australian;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Diaphania costata;South America;Neotropical;2025;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys
Diaphania hyalinata;North America;Nearctic;2005;Capinera, J. (2005). Melonworm, Diaphania hyalinata Linnaeus (Insecta: Lepidoptera: Pyralidae). Florida Cooperation Extension Service, Institute of Food and Agricultural Sciences, University of Florida, Gainesville, Florida: EENY163
Diaphania hyalinata;South America;Neotropical;2005;Capinera, J. (2005). Melonworm, Diaphania hyalinata Linnaeus (Insecta: Lepidoptera: Pyralidae). Florida Cooperation Extension Service, Institute of Food and Agricultural Sciences, University of Florida, Gainesville, Florida: EENY163
Diaphania hyalinata;North America;Panamanian;2005;Capinera, J. (2005). Melonworm, Diaphania hyalinata Linnaeus (Insecta: Lepidoptera: Pyralidae). Florida Cooperation Extension Service, Institute of Food and Agricultural Sciences, University of Florida, Gainesville, Florida: EENY163
Diaphania hyalinata;North America;Nearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Diaphania hyalinata;South America;Neotropical;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Diaphania indica;Asia;Oriental;2018;Dai, L. et al. (2018). Mitochondrial genome of Diaphania indica (saunders)(Lepidoptera: Pyraloidea) and implications for its phylogeny. International Journal of Biological Macromolecules. 108: 981-989
Diaphania indica;Asia;Oriental;2024;EFSA Panel on Plant Health (EFSA PLH Panel), et al. (2024). Pest categorisation of Diaphania indica. EFSA Journal. 22(5): e8806
Diaphania indica;Asia;Saharo-Arabian;2018;Dai, L. et al. (2018). Mitochondrial genome of Diaphania indica (saunders)(Lepidoptera: Pyraloidea) and implications for its phylogeny. International Journal of Biological Macromolecules. 108: 981-989
Diaphania indica;Asia;Sino-Japanese;2018;Dai, L. et al. (2018). Mitochondrial genome of Diaphania indica (saunders)(Lepidoptera: Pyraloidea) and implications for its phylogeny. International Journal of Biological Macromolecules. 108: 981-989
Diaphania indica;Asia;Oriental;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Diastema tigris;South America;Neotropical;1852;Guenee, A. (1852). Noctuelites II. in Boisduval and Guenee: Histoire naturelle des insectes. Species general des lepidopteres 6: 1-444. Paris (Roret)
Diastema tigris;South America;Neotropical;2012;Misra, S. et al. (2012). Biocontrol strategy for major invasive weeds of neotropical origin in India. Bioherald: International Journal of Biodiversity and Environment. 2(2): 134-142
Diastema tigris;South America;Neotropical;1856;Walker, F. (1856). List of the Specimens of Lepidopterous Insects in the Collection of the British Museum - Part 10 Noctuidae. E. Newman, Devonshire Street, Bishopsgate. London, United Kingdom. 982pp
Diastema tigris;North America;Panamanian;2012;Misra, S. et al. (2012). Biocontrol strategy for major invasive weeds of neotropical origin in India. Bioherald: International Journal of Biodiversity and Environment. 2(2): 134-142
Diastema tigris;South America;Panamanian;1852;Guenee, A. (1852). Noctuelites II. in Boisduval and Guenee: Histoire naturelle des insectes. Species general des lepidopteres 6: 1-444. Paris (Roret)
Diastema tigris;South America;Neotropical;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Diatraea grandiosella;North America;Nearctic;2025;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys
Diatraea rufescens;South America;Neotropical;2016;Solis, M., Metz, M. (2016). An illustrated guide to the identification of the known species of Diatraea Guilding (Lepidoptera, Crambidae, Crambinae) based on genitalia. ZooKeys. 565: 73-121
Diatraea saccharalis;North America;Nearctic;2014;Joyce, A. et al. (2014). Geographic population structure of the sugarcane borer, Diatraea saccharalis (F.)(Lepidoptera: Crambidae), in the southern United States. PLoS One. 9(10): e110036
Diatraea saccharalis;South America;Neotropical;2019;Francischini, F. et al. (2019). Diatraea saccharalis history of colonization in the Americas. The case for human-mediated dispersal. PLoS One. 14(7): e0220031
Diatraea saccharalis;North America;Panamanian;2014;Joyce, A. et al. (2014). Geographic population structure of the sugarcane borer, Diatraea saccharalis (F.)(Lepidoptera: Crambidae), in the southern United States. PLoS One. 9(10): e110036
Diatraea saccharalis;South America;Panamanian;2014;Joyce, A. et al. (2014). Geographic population structure of the sugarcane borer, Diatraea saccharalis (F.)(Lepidoptera: Crambidae), in the southern United States. PLoS One. 9(10): e110036
Diatraea saccharalis;South America;Neotropical;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
