Reference;Reference Year
EFSA Panel on Plant Health (EFSA PLH Panel), et al. (2021). Pest categorisation of Amyelois transitella. EFSA Journal. 19(6): 6666;2021
Barnett, L. et al. (1999). The moths of the Chagos Archipelago with notes on their biogeography. Journal of Natural History. 33(7): 1021-1038;1999
Pogue, M. (2010). The Acontiinae and Eustrotiinae (Lepidoptera: Noctuidae) of Great Smoky Mountains National Park. Zootaxa. 2499: 1-20;2010
Holloway, J. (2009). Moths of Borneo 13. Family Noctuidae, subfamilies Pantheinae (part), Bagisarinae, Acontiinae, Aediinae, Eustrotiinae, Bryophilinae, Araeopteroinae, Aventiinae, Eublemminae and further miscellaneous genera. Malayan Nature Journal. 62 (1) : 1-240 Available online at: https://www.mothsofborneo.com/part-13/;2009
Zimmerman, E. (1958). Insects of Hawaii. Volume 7, Macrolepidoptera. Hawaii: University of Hawaii Press, Honolulu, Hawaii, United States of America;1958
Yang, Z., Landry, J. (2019). Allopatric separation represents an overlooked cryptic species in the Anania hortulata species complex (Lepidoptera: Crambidae: Pyraustinae): congruence between genetic and morphological evidence. The Canadian Entomologist. 151(2): 163-186;2019
Weidemeyer, J. (1864). Catalogue of North American Butterflies. Proceedings of the Entomological Society. 2(1): 143-154;1864
Dawidowicz, L., Rozwalka, R. (2017). Anatrachyntis badia (Hodges, 1962) (Lepidoptera: Cosmopterigidae): the first report from Turkey and a case of importation to Poland. Turkish Journal of Zoology. 41: 60-63;2017
Hua, C. et al. (2018). A first record of Anatrachyntis badia (Hodges 1962)(Lepidoptera: Cosmopterigidae) on Zamia integrifolia (Zamiaceae). Florida Entomologist. 335-338;2018
Ronkay, L. et al. (2017). Xyleninae I. A Taxonomic Atlas of the Eurasian and North African Noctuoidea. Heterocera Press Ltd. Budapest, Hungary;2017
Barrow, R. (1972). The bionomics of Ancyclostomia stercorea (zeller): a pod-borer on pigeon pea in Trinidad. [PhD Thesis, McGill University, Quebec];1972
Bradley, J. (1956). Records and descriptions of microlepidoptera from Lord Howe Island and Norfolk Island collected by the British Museum (Natural History) Rennell Island Expedition, 1953. Bulletin of the British Museum (Natural History) - Entomology Series. 4(4): 143-164;1956
Wagner, D. (2009). Ode to Alabama: the meteoric fall of a once extraordinarily abundant moth. American Entomologist, 55(3), 170-173;2009
Grote, A. (1883). Introduction to a Study of the North American Noctuidae. Proceedings of the American Philosophical Society. 21(114): 134-176;1883
Kravchenko, V. et al. (2014). Seven invasive owlet moths (Lepidoptera: Noctuidae) in Israel and their potential parasitoids (Hymenoptera: Chalcidoidea). Phytoparasitica. 42(3): 333-339;2014
Kononenko, V. et al. (1998). Illustrated catalogue of Noctuidae in Korea (Lepidoptera). Insect of Korea. Series 3. Korea Research Institute of Bioscience and Biotechnology : Center for Insect Systematics;1998
Kravchenko, V. et al. (2004). The Catocalinae (Lepidoptera: Noctuidae) of Israel. Russian Entomological Journal. 13(3): 175-186;2004
Kamar, N. et al. (2025). Bioecology and management of a Generalist Semilooper, Anomis sabulifera, Guenee 1852 (Lepidoptera: Erebidae): a review: A Review on Anomis sabulifera. Journal of Applied Entomologist. 5(3): 14-23;2025
Gielis, C. (2006). Review of the Neotropical species of the family Pterophoridae, part I: Ochyroticinae, Deuterocopinae, Pterophorinae (Platyptiliini, Exelastini, Oxyptilini) (Lepidoptera). Zoologische Mededelingen. 80: 1-290;2006
Peigler, R., Naumann, S. (2016) What exactly is Antheraea paphia (Linnaeus, 1758)? (Lepidoptera, Saturnidae). Atalanta. 47(3): 500-520;2016
Li, W. et al. (2017). Antheraea pernyi (Lepidoptera: Saturniidae) and its importance in sericulture, food consumption, and traditional Chinese medicine. Journal of Economic Entomology. 110(4): 1404-141;2017
Nahirnic, A., Stoyan, B. (2015). The first report of Japanese oak silkmoth Antheraea yamamai (Guerin-Meneville, 1861)(Lepidoptera: Saturniidae) in Montenegro. ZooNotes. 82: 1-4;2015
Kundu, S. et al. (2012), Nonmulberry silk biopolymers. Biopolymers. 97: 455-467;2012
Budashkin, Y., Li, H. (2009). Study on Chinese Acrolepiidae and Choreutidae (Insecta: Lepidoptera). SHILAP Revista de lepidopterologia. 37(146): 179-189;2009
de Prins, W. et al. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;2014
Morais, E. et al. (2012). Lepidopterans as potential agents for the biological control of the invasive plant, Miconia calvescens. Journal of Insect Science. 12(1): 63;2012
Gernaat, H. (2016). Notes on the early stages of Antichloris eriphia (Erebidae: Arctiinae) in Suriname. The Journal of the Lepidopterists Society. 70(4): 311-314;2016
Field, W. (1975). Ctenuchid moths of Ceramidia Butler, Ceramidiodes Hampson, and the caca species group of Antichloris Hubner. Smithsonian Contributions to Zoology. 198: 45pp;1975
OConnor, J., Nash, R. (1986). Insects imported into Ireland 8. Records of Hemiptera, Coleoptera, Diptera and Lepidoptera. The Irish Naturalists Journal. 22(3): 104-107;1986
Sarazu-Pillado, R. et al. (2024). Parasitoid wasps associated with Antigastra catalaunalis (Lepidoptera, Crambidae) in Northern Sinaloa, Mexico. Journal of Hymenoptera Research. 97: 741-754;2024
Sarazu-Pillado, R. et al. (2020). Primer Reporte del Gusano Telaranero en Ajonjoli en el Norte de Sinaloa, Mexico. Southwestern Entomologist. 45(2): 575-578;2020
van Nieukerken, E., Eiseman, C. (2020). Splitting the leafmining shield-bearer moth genus Antispila Hubner (Lepidoptera, Heliozelidae): North American species with reduced venation placed in Aspilanta new genus, with a review of heliozelid morphology. ZooKeys. 957: 105;2020
i Admetlla, J. et al. (1986). El genera Apamea O., 1816 a Catalunya (Lepidoptera, Noctuidae, Amphipyrinae)(1 part). Miscellania Zoologica. 199-203;1986
Gyulai, P. et al. (2011) New Noctuidae species from China and the Himalayas (Lepidoptera, Noctuoidea). Esperiana. 16: 166-197;2011
Guerrero, J. et al. (2020). Contribucion al conocimiento de los Noctuidae de la vertiente asturiana del Parque Nacional de los Picos de Europa (Asturias, Espana)(Insecta: Lepidoptera). SHILAP Revista de lepidopterologia. 48(189): 5-26;2020
Donald, J. (1994). Apamea unamis (Hubner) (Noctuidae: Amphipyrinae). Journal of the Lepidopterists Society. 48(2): 121-127;1994
Moore, F., Swinhoe, C. (1911). Lepidoptera Indica - Volume IX - Rhopalocera. Lovell Reeve and Co. Limited. United Kingdom, London;1911
Warren, A., Calhoun, J. (2011). Notes on the historical occurrence of Aphrissa neleis in southern Florida, USA (Lepidoptera: Pieridae: Coliadinae). News of the Lepidopterists Society. 53(1): 3-7;2011
Boyes, D. et al. (2022). The genome sequence of the lesser treble-bar moth, Aplocera efformata (Guenee, 1857). Wellcome Open Research. 7: 303;2022
Hausmann, A., Viidalepp, J. (2012). The Geometrid Moths of Europe, Volume: 3 - Larentinae I. Apollo Books;2012
Amer, A. (2013). Catocalinae Of Egypt (Lepidoptera, Noctuidae). Al-Azhar Bulletin Of Science. 24(1-C): 1-16;2013
Baron, T. (2014). Collection records of Noctuoidea and Bombycoidea (Lepidoptera) from a location near Marmaris in South-Western Anatolia, Turkey. Esperiana Band. 19: 263-296;2014
Al Haidar, I. et al. (2017). Species diversity and habitat preference of butterflies (Insecta: Lepidoptera) in Inani Reserve Forest of Cox s Bazar, Bangladesh. Journal of Insect Biodiversity and Systematics. 3(1): 47-67;2017
Varshney, R., Smetacek, P. (Eds.). (2015). A synoptic catalogue of the butterflies of India. Butterfly Research Centre, Bhimtal and Indinov Publishing. New Delhi, India;2015
Hardy, P., Lawrence, J. (2017). Field guide to butterflies of the Philippines. Siri Scientific Press;2017
Shanower, T. et al. (1993). Biology and control of the groundnut leafminer, Aproaerema modicella (Deventer)(Lepidoptera: Gelechiidae). Crop Protection. 12(1): 3-10;1993
Junnilainen, J. et al. (2010). The gelechiid fauna of the southern Ural Mountains, part II: list of recorded species with taxonomic notes (Lepidoptera: Gelechiidae). Zootaxa. 2367(1): 1-68;2010
Karsholt, O. et al. (2023). Overview of the Gelechiidae moths (Lepidoptera) of Krk Island, Croatia: diversity, distribution and ecological insights. Gortania, Botanica, Zoologia. 45: 95-124;2023
Buthelezi, N. et al. (2012). The groundnut leaf miner collected from South Africa is identified by mtDNA CO1 gene analysis as the Australian soybean moth (Aproaerema simplixella)(Walker)(Lepidoptera: Gelechiidae). African Journal of Agricultural Research. 7(38): 5285-5292;2012
Buthelezi, N. et al. (2016). Molecular and behavioural evidence suggesting a re-examination of the taxonomy of Aproaerema simplexella (Walker), Aproaerema modicella (Deventer) and Stomopteryx subsecivella Zeller (Lepidoptera: Gelechiidae). African Entomology. 24(1): 16-23;2016
Fibiger, M., Agassiz, D. (2001). Araeopteron ecphaea, a small noctuid moth in the West Palaearctic (Noctuidae: Acontiinae). Nota Lepidopterologica. 24(1): 29-35;2001
Hoebeke, E.,et al. (2008). Archips xylosteana (L.)(Lepidoptera: Tortricidae), a palearctic leafroller new to North America. Proceedings of the Entomological Society of Washington. 110(3): 789-795;2008
Wells, B., Minteer, C. (2021). Alligatorweed Stem Borer (suggested common name) Arcola malloi Pastrana (Insecta: Lepidoptera: Pyralidae: Phycitinae): EENY764/IN1300, 8/2020. EDIS. 2021(1): 4-4;2021
Aldryhim, Y. (2008). Greater Date Moth, Arenipses sabella Hmps. (Lepidoptera: Pyralidae). In: Capinera, J.L. (eds) Encyclopedia of Entomology. Springer, Dordrecht. pp 1716-1717;2008
Falck, P. et al. (2019). New data on Pyraloidea from the Canary Islands, Spain (Lepidoptera: Pyraloidea). SHILAP Revista de Lepidopterologia. 47(185): 33-48;2019
Kambor, J. (2022). Apple moth-an occasional pest of Swiss apple orchards. Vignes et Vergers. 54(5): 12-13;2022
Agassiz, D. (2004). Cypress trees and their moths. British wildlife. 15(4): 265-268;2004
Moriuti, S. (1969). Argyresthiidae (Lepidoptera) of Japan. Bulletin of the University of Osaka Prefecture. 1-50;1969
Kim, S. et al. (2025). Five newly recorded species of the genus Argyresthia (Lepidoptera: Argyresthiidae) from Korea. Journal of Asia-Pacific Biodiversity. 18(2): 315-319;2025
Konecna, H., Sefrova, H. (2014). Morphology, biology and control possibilities of two Argyresthia species-A. thuiella and A. trifasciata (Lepidoptera: Argyresthiidae). Acta Universitatis Agriculturae et Silviculturae Mendelianae Brunensis. 62(3): 529-538;2014
Landry, B. et al. (2023). ﻿ The identity of Argyrialacteella (Fabricius, 1794)(Lepidoptera, Pyraloidea, Crambinae), synonyms, and related species revealed by morphology and DNA capture in type specimens. ZooKeys. 1146: 1;2023
Shaw, T. et al. (2021). Seasonal flight patterns of Chrysodeixis includens (Lepidoptera: Noctuidae) in the Florida panhandle and inventory of plusiine species cross-attracted to synthetic pheromone. Journal of Economic Entomology. 114(6): 2315-2325;2021
Eichlin, T., Cunningham, H. (1978). The Plusiinae (Lepidoptera: Noctuidae) of America north of Mexico, emphasizing genitalic and larval morphology (No. 1567). Department of Agriculture, Agricultural Research Service. Washington D.C., United States of America;1978
