Reference;Reference Year
Kroschel, J., Zegarra, O. (2013). Attract-and-kill as a new strategy for the management of the potato tuber moths Phthorimaea operculella (Zeller) and Symmetrischema tangolias (Gyen) in potato: evaluation of its efficacy under potato field and storage conditions. Pest Management Science. 69(11): 1205-1215;2013
Subchev, M. et al. (2013). Seasonal flight of the potato tuber moth, Phthorimaea operculella (Zeller)(Lepidoptera: Gelechiidae) in three regions in Bulgaria established by pheromone traps. Acta Phytopathologica et Entomologica Hungarica. 48(1): 75-86;2013
Krsteska, V., Stojanoski, P. (2012) Phthorimaea operculella (Zeller, 1983), in the tobacco agro-ecosystem. In: International Conference on BioScience: Biotechnology and Biodiversity The Forth Joint UNS - PSU, Novi Sad;2012
Urbaneja, A. et al. (2000). Indigenous Natural Enemies Associated with Phyllocnistis citrella (Lepidoptera: Gracillariidae) in Eastern Spain. Biological Control. 18: 199-207;2000
Ureche, C. (2016). First record of a new alien invasive species in Romania: Phyllocnistis vitegenella Clemens (Lepidoptera: Gracillariidae). Acta Oecologica Carpatica. 9: 133-138;2016
Triberti, P. (2007). The Phyllonorycter species from Palaearctic Region feeding on Rosaceae (Lepidoptera, Gracillariidae). Bollettino del Museo Civico di Storia Naturale di Verona. 31: 147-221;2007
Mishchenko, A., Yefremova, Z. (2012). Phyllonorycter medicaginella (Lepidoptera, Gracillariidae) and its parasitoids (Hymenoptera, Eulophidae) in the Middle Volga River basin. Entomological Review. 92(8): 845-850;2012
Toth, V., Lakatos, F. (2018). Phylogeographic pattern of the plane leaf miner, Phyllonorycter platani (STAUDINGER, 1870)(Lepidoptera: Gracillariidae) in Europe. BMC Evolutionary Biology. 18: 1-12;2018
van Swaay, C. et al. (2014). Pieris rapae (Mediterranean assessment). The IUCN Red List of Threatened Species. 2014: e.T174353A53720063;2014
van Swaay, C. et al. (2010). Pieris rapae (Europe assessment). The IUCN Red List of Threatened Species. 2010: e.T174353A7056010;2010
der Gaag, D., der Straten, M. (2017). Short Pest Risk Analysis for Platynota rostrana and Platynota stultana. Netherlands Food and Consumer Product Safety Authority Ministry of Economic Affairs. November, 2017;2017
European and Mediterranean Plant Protection Organization (EPPO) (2017). Mini data sheet on Platynota stultana. EPPO Reporting Service. 1998/180, 2017/149;2017
Hao, S. (2008). New Recorded Species of Pterophoridae from China (Lepidoptera: Pterophoridae). Sichuan Journal of Zoology. 27(5): 815-817;2008
Seliger, R., Hemmersbach, A. (2018). Zwei adventive Schmetterlingsarten neu fur Deutschland: Plesiomorpha flaviceps (Butler, 1881) und Prays citri (Milliere, 1873) (Lep., Geometridae et Praydidae). Melanargia. 30(2): 49-52;2018
Fronza, E. et al. (2011). Butterflies and moths (Insecta: Lepidoptera) associated with erva-mate, the South American Holly (Ilex paraguariensis St. Hil.), in Rio Grande do Sul, Brazil. Check List, 7(4), 496-504;2011
Abram, P. et al. (2022). Natural History of Plutella armoraciae Busck, 1912, A Sympatric Congener of the Diamondback Moth, Plutella xylostella (L., 1758), in Southwestern Canada. The Journal of the Lepidopterists Society. 76(1): 25-39;2022
Rivest, S., Kharouba, H. (2021). Anthropogenic disturbance promotes the abundance of a newly introduced butterfly, the European common blue (Polyommatus icarus, Lepidoptera: Lycaenidae), in Canada. Canadian Journal of Zoology. 99(8): 642-652;2021
Turner, A. (1940). A revision of the Australian Gracilariidae (Lepidoptera).Transactions and Proceedings of the Royal Society of South Australia. 64(1): 57;1940
Tennent, J. (2011). Pontia daplidice. The IUCN Red List of Threatened Species. 2011: e.T160251A5358607;2011
Eiseman, C. et al. (2017). First North American records of Porphyrosela minuta Clarke (Lepidoptera: Gracillariidae), with notes on its native congener, P. desmodiella (Clemens). Proceedings of the Entomological Society of Washington. 119(1): 18-23;2017
Agassiz, D. (2007). Prays peregrina sp. n. (Yponomeutidae) a presumed adventive species in Greater London. Nota Lepidopterologica. 30(2): 407-410;2007
Hayden, J. (2017). A Shoemaker Butterfly Prepona laertes (Lepidoptera: Nymphalidae):Department of Entomology and Nematology, UF/IFAS - EDIS: EENY684;2017
Adamski, D. et al. (2009). Redescription and immature stages of Promalactis suzukiella (Matsumura)(Gelechioidea: Oecophoridae), a new introduction into the United States. Proceedings of the Entomological Society of Washington. 111(1): 204-214;2009
Berndt, L. et al. (2004). Biology and rearing of Pseudocoremia suavis, an endemic looper (Lepidoptera: Geometridae) with a history of outbreaks on exotic conifers. New Zealand Entomologist. 27(1): 73-82;2004
Niitsu, S., Maeda, D. (2022). Discovery of Psyche casta (Pallas, 1767)(Psychidae, Psychinae) in Japan. Lepidoptera Science. 73(1): 7-11;2022
Vives Moreno, A. (1986). La familia Pterolonchidae Meyrick, 1918, de Espana y Portugal (Insecta, Lepidoptera). Eos: Revista Espanola de Entomologia. 62(1): 319-337;1986
Kalawate, A. et al. (2022). First Indian DNA barcode record for the moth species Pygospila tyres (Cramer, 1780) (Lepidoptera: Crambidae: Spilomelinae) distributed in Asia and Australia. Journal of Threatened Taxa. 14(2): 20637-20642;2022
Robinson, G., Kirke, C. (1990). Lepidoptera of Ascension Island - a review. Journal of Natural History. 24(1): 119-135;1990
Osada, Y. (2022). Description of immature stages of the southern pink moth, Pyrausta inornatalis (Fernald, 1885)(Lepidoptera: Crambidae). Journal of Asia-Pacific Biodiversity. 15(4): 568-573;2022
Hayden, J., Minno, M. (2016). A persistent population of Hodebertia testalis, a milkweed leaftier, in Florida (Pyraloidea: Spilomelinae). News of The Lepidopterists Society. 58(4): 166-170;2016
Dugdale, J. (1973). A note on Kermadec Islands Lepidoptera. New Zealand Entomologist. 5(2): 197-203;1973
Morley, T. et al. (2004). Establishment and dispersal of dock moth Pyropteron doryliformis (Ochsenheimer)(Lepidoptera: Sesiidae) in Victoria. In: Fourteenth Australian Weeds Conference: 381-384;2004
Powell, J., Opler, P. (2009). Moths of western North America. University of California Press. Berkeley, California, United States of America. 516pp;2009
McCabe, T., Schweitzer, D. (1991). Rhizedra lutosa (Lepidoptera: Noctuidae) newly introduced to North America. Entomological News. 102(3): 130-132;1991
Zhang, A., Li, H. (2005). Catalogue of Eucosmini from China (Lepidoptera: Tortricidae) SHILAP Revista de Lepidopterologia. 33(131): 265-298;2005
Gauld, I. (1988). The species of the Enicospilus americanus complex (Hymenoptera: Ichneumonidae) in eastern North America. Systernafic Entomology. 13: 31-53;1988
Cock, M. et al. (2025). Publicly-shared DNA barcodes and citizen science images provide new evidence on the establishment and spread of a lantana biological control agent, Orphanostigma haemorrhoidalis (Lepidoptera, Crambidae). CABI Agriculture and Bioscience. 6(1): 0010;2025
Knopf, K., Habeck, D. (1976). Life history and biology of Samea multiplicalis. Environmental Entomology. 5(3): 539-542;1976
Peigler, R., Naumann, S. (2003). A revision of the silkmoth genus Samia. University of the Incarnate Word, San Antonio. Texas, United States of America;2003
Osada, Y. et al. (2016). A review of the Japanese species of the genus Scardia Treitschke (Lepidoptera, Tineidae), with description of a new species. Zootaxa. 4079(3): 363-371;2016
Hill, L. (2015). Eggfruit caterpillar,'Sceliodes cordalis'(Doubleday)(Lepidoptera: Pyralidae), a vagrant moth and indicator for likelihood of Queensland fruit fly establishment in Tasmania?. Plant Protection Quarterly. 30(1): 27-39;2015
Spill, F. (2016). Eratophyes amasiella (Herrich-Schaffer, 1854), une espece doecophoride nouvelle pour la France (Lep. Oecophoridae). oreina. 35: 12-13;2016
Diakonoff, A., van Nieukerken, E. (1987). Eratophyes amasiella (Herrich-Schaffer) comb, nov., a senior synonym of E. aleatrix Diakonoff (Lepidoptera: Oecophoridae). Entomologische berichten. 47(7): 103-104;1987
Qi, M. et al. (2014). Taxonomic Review on the Genus Sciota (Lepidoptera, Pyralidae, Phycitinae) in Northeast China. Animal Systematics, Evolution and Diversity. 30(2): 59-64;2014
Wagner, D. et al. (2003). Sclerocona acutella (Eversmann)(Crambidae: Pyraustinae), naturalized along the eastern seaboard. Journal of the Lepidopterists Society. 57(4): 270-273;2003
Bidzilya, O. et al. (2019). An annotated checklist of Gelechiidae (Lepidoptera) of Israel with description of two new species. Zootaxa. 4677(1): 1-68;2019
Bidzilya, O., Li, H. (2010). The genus Scrobipalpa Janse (Lepidoptera, Gelechiidae) in China, with descriptions of 13 new species. Zootaxa. 2513(1): 1-26;2010
Baran, T. (2003). Scythris buszkoi sp. n., a new species of Scythrididae from Europe (Gelechioidea). Nota Lepidopterologica. 26(3): 89-98;2003
Tsvetanov, T., Zlatkov, B. (2019). Scythris sinensis (Felder  Rogenhofer, 1875), a new species for Bulgaria and the Balkan Peninsula (Insecta: Lepidoptera: Scythrididae). ZooNotes. 146: 1-2;2019
Farrugia, C. (1997). Insect Pests on Cauliflower (Brassica oleracea Var. Botrytis) in Gozo (Maltese Islands, Central Mediterranean). The Central Mediterranean Naturalist. 2(4): 152-165;1997
Hashimoto, K., Ohgushi, T. (2017). How do two specialist butterflies determine growth and biomass of a shared host plant?. Population Ecology. 59: 17-27;2017
Baladhiya, H. et al. (2018). A review on pink stem borer, Sesamia inferens Walker: a threat to cereals. Journal of Entomology and Zoology Studies. 6(3): 1235-1239;2018
Martin-Garcia, J. et al. (2011). Patterns and monitoring of Sesia apiformis infestations in poplar plantations at different spatial scales. Journal of Applied Entomology. 135(5): 382-392;2011
Pardey, A. (2023). 29. El gusano monturita, Acharia apicalis (Dyar, 1900), en palma de aceite. In: Centro de Investigacion en Palma de Aceite, C. (2023). Manejo de plagas para una palmicultura sostenible en Colombia Elaeis guineensis e hibrido OxG. Centro de Investigacion en Palma de Aceite, Cenipalma. 9789588360867;2023
Dickel, T. et al. (2010) New North American Records Of The Asian Species, Simplicia cornicalis, in Florida and Louisiana. Lepidoptera Novae. 3(1): 53-56;2010
Schultz, P. et al. (2006). Biology and Distribution of Pryeria sinica, a New Pest of Euonymus Found in Virginia and Maryland. Plant Health Progress. 7(1): 49;2006
Passoa, S. et al. (2008). Sitochroa palealis: a Palearctic pyraustine moth (Lepidoptera: Pyraloidea: Crambidae) newly introduced to North America. Proceedings of the Entomological Society of Washington. 110(2): 504-515;2008
Savela, M. (2024). Lepidoptera and some other life forms.;2024
Ribeiro, L. et al. (2017). First record of Sphacelodes vulneraria (Lepidoptera: Geometridae) damaging Hovenia dulcis in Brazil. Pesquisa Florestal Brasileira. 37(91): 409-411;2017
Tugulea, H., Tugulea, A. (2020). Contributions to knowledge of the fauna of hawk-moths (Lepidoptera, Sphingidae) from the Republic of Moldova. Oltenia-studii si Comunicari Stiintele Naturii. 36(2): 105-112;2020
Byun, B. (2011). A review of the genus Spilonota Stephens (Lepidoptera: Tortricidae) in North Korea. Entomological Research. 41(6): 242-246;2011
LeRoux, E., Reimer, C. (1959). Variation Between Samples of Immature Stages, and of Mortalities from Some Factors, of the Eye-Spotted Bud Moth, Spilonota ocellana (D. and S.)(Lepidoptera: Olethreutidae), and the Pistol Casebearer, Coleophora serratella (L.)(Lepidoptera: Coleophoridae), on Apple in Quebec. The Canadian Entomologist. 91(7): 428-449;1959
Brown, E., Dewhurst, C. (1975). The genus Spodoptera (Lepidoptera, Noctuidae) in Africa and the near east. Bulletin of Entomological Research. 65(2): 221-262;1975
Montezano, D. et al. (2015). Biotic potential and reproductive parameters of Spodoptera dolichos (Lepidoptera: Noctuidae) in the laboratory. Zoologia (Curitiba). 32(6): 485-491;2015
Zhang, Y. et al. (2023). Global potential geographical distribution of the southern armyworm (Spodoptera eridania) under climate change. Biology. 12(7): 1040;2023
Haggis, M. (1986). Distribution of the African armyworm, Spodoptera exempta (Walker)(Lepidoptera: Noctuidae), and the frequency of larval outbreaks in Africa and Arabia. Bulletin of Entomological Research. 76(1): 151-170;1986
Farahani, S. et al. (2012). Life table of Spodoptera exigua (Lepidoptera: Noctuidae) on five soybean cultivars. Psyche: A Journal of Entomology. 2012(1): 513824;2012
Tay, W. et al. (2023). Spodoptera frugiperda: ecology, evolution, and management options of an invasive species. Annual Review of Entomology. 68(1): 299-317;2023
Cock, M. et al. (2017). Molecular methods to detect Spodoptera frugiperda in Ghana, and implications for monitoring the spread of invasive species in developing countries. Scientific Reports. 7(1): 4103;2017
ElShahed, S. et al. (2023). Modeling the potential global distribution of the Egyptian cotton leafworm, Spodoptera littoralis under climate change. Scientific Reports. 13: 17314;2023
Jung, J. et al. (2019). Effect of climate change on the potential distribution of the common cutworm (Spodoptera litura) in South Korea. Entomological Research. 49(12): 519-528;2019
Fletcher, D. (1956). Spodoptera mauritia (Boisduval) and S. triturata (Walker), two distinct species. Bulletin of Entomological Research. 47(2): 215-217;1956
Nasu, Y. et al. (1993). Statherotis discana (Felder et Rogenhofer)(Lepidoptera: Tortricidae) injurious to litchi from Japan. Applied Entomology and Zoology. 28(1): 97-101;1993
Park, K. et al. (2018). Genus Stathmopoda Herrich-Shaffer (Lepidoptera, Stathmopodidae) from the Korean Peninsula with two new species. Journal of Asia-Pacific Biodiversity. 11(2): 259-266;2018
Ramchandra R., Cherian, M. (1944). The Fluted Scale, Icerya purchasi Mask., as a Pest of Wattle in South India, and its Control by the biological method. The Madras Agricultural Journal. 32(3-4): 92-102;1944
Withers, T., Kay, M. (1999). Establishment of forestry and tree pests in New Zealand. Proceedings of the New Zealand Plant Protection Conference. 52: 278-278;1999
Park, K. (1994). Notes on Chorivalva and Stenolechia species in Korea, with new synonyms (Lepidoptera, Gelechiidae). Nota Lepiderologica. 16(3): 281-289;1994
Hoddle, M., Hoddle, C. (2008). Bioecology of Stenoma catenifer (Lepidoptera: Elachistidae) and associated larval parasitoids reared from Hass avocados in Guatemala. Journal of Economic Entomology. 101(3): 692-698;2008
Alipanah, H., Gielis, C. (2010). Notes on the tribes Platyptiliini and Exelastini from Iran (Lepidoptera: Pterophoridae). SHILAP Revista de Lepidopterologia. 38(149): 57-63;2010
van Nieukerken, E., Johansson, R. (2003). The Quercus feeding Stigmella species of the West Palaearctic: new species, key and distribution (Lepidoptera: Nepticulidae). Tijdschrift voor Entomologie. 146: 307-370;2003
Dugdale, J. (1988). Lepidoptera - annotated catalogue, and keys to family-group taxa. In: Fauna of New Zealand vol. 14. Science Information Publishing Centre. DSIR. 264pp;1988
van Nieukerken, E. et al. (2018). Stigmella multispicata Rociene and Stonis, an Asian leafminer on Siberian elm, now widespread in eastern North America (Lepidoptera, Nepticulidae). ZooKeys. 784: 95-125;2018
Taylor, D., Dhileepan, K. (2022). Application to release Stomphastis thraustica, an agent for the biological control of Jatropha gossypiifolia in Australia. Biosecurity Queensland, Department of Agriculture and Fisheries Australia;2022
Mauchline, N. (2000). Important biological and ecological aspects of Strepsicrates macropetana Meyrick (Lepidoptera: Tortricidae): a thesis presented in partial fulfilment of the requirements for the degree of Master of Science in Plant Protection at Massey University [MsC Thesis, Massey University];2000
Wakamura, S. et al. (2005). Sex pheromone components of an olethreutid moth, Strepsicrates semicanella (Walker)(Lepidoptera: Tortricidae), a pest of guava and eucalyptus in Okinawa. Applied Entomology and Zoology. 40(4): 637-642;2005
Vargas, H. (2012). Strepsicrates smithiana Walsingham (Lepidoptera, Tortricidae): first record from Chile and a newly documented host plant. Revista Brasileira de Entomologia. 56: 381-382;2012
Silva, N. et al. (2014). Larval biology of anthophagous Eumaeini (Lepidoptera: Lycaenidae, Theclinae) in the Cerrado of central Brazil. Journal of Insect Science. 14(184): 1-17;2014
Hampson, G. (1901). Lepidoptera - Phalaenae of the Bahamas. Annals of Natural History. 7: 246-261;1901
Sunitha, T., Balagangatharan, P. (2022). Butterfly species diversity and abundance in Ramanathi Dam, Kadayam, Tenkasi Dist, Tamilnadu. Sciencia Acta Xaveriana - An International Science Journal. 13(1): 65-82;2022
Povolny, D. (1990). Symmetrischema costaricanum sp. n., an obviously undescribed species from Central America (Insecta, Lepidoptera, Gelechiidae: Gnorimoschemini). Reichenbachia. 28: 59-63;1990
Sporleder, M. et al. (2016). Andean potato tuber moth, Symmetrischema tangolias (Gyen 1913). In: Kroschel, J. et al. (2016). Pest distribution and risk atlas for Africa. Potential global and regional distribution and abundance of agricultural and horticultural pests and associated biocontrol agents under current and future climates. International Potato Center (CIP), Lima, Peru;2016
Hardy, R. (1982). The biology and behaviour of currant borer moth, Synanthedon tipuliformis (Clerck)(Lepidoptera: Aegeriidae) in Tasmania. Australian Journal of Entomology. 21(2): 103-109;1982
Assaad, M. (2023). Ecology and impacts of insect communities on Lebanese cedar Cedrus libani A. Rich. [MSc Thesis, Universita degli Studi di Padova];2023
Hayden, J. (2019). Syngamia florella (Stoll), the orange-spotted flower moth (Lepidoptera: Crambidae: Spilomelinae). FDACS-P-02105, 440;2019
Saulich, A. et al. (2017). Seasonal cycles of noctuid moths of the subfamily Plusiinae (Lepidoptera, Noctuidae) of the Palaearctic: diversity and environmental control. Entomological Review, 97(2), 143-157;2017
McAuslane, H. (2016). Oleander caterpillar, Syntomeida epilais Walker (Insecta: Lepidoptera: Arctiidae). U.S. Department of Agriculture. University of Florida. Florida, United States of America;2016
Watabiki, D., Yoshimatsu, S. (2014). Taxonomic study of Targalla delatrix (Guenee) and its close relatives from East and Southeast Asia with description of a new species (Lepidoptera: Euteliidae). Lepidoptera Science. 65(4): 158-178;2014
VanDyk, J. et al. (2020). BugGuide - Identification, Images, and Information For Insects, Spiders and Their Kin For the United States and Canada. Version 1.5. United States Geological Survey.;2020
Sourakov, A. et al. (2015). On the taxonomy of the erythrina moths Agathodes and Terastia (Crambidae: Spilomelinae): Two different patterns of haplotype divergence and a new species of Terastia. Tropical Lepidoptera Research. 25(2): 80-97;2015
Groenen, F., Meurisse, N. (2012). Historical distribution of the oak processionary moth Thaumetopoea processionea in Europe suggests recolonization instead of expansion. Agricultural and Forest Entomology. 14(2): 147-155;2012
Boyes, D. et al. (2023). The genome sequence of the spruce carpet moth, Thera britannica (Turner, 1925). Wellcome Open Research. 8: 114;2023
Vieira, V. (2020). First record of Thera cupressata (Geyer,[1831]) for the Azores islands (Portugal)(Lepidoptera: Geometridae). SHILAP Revista de Lepidopterologia. 48(189): 83-87;2020
Rafi, M. et al. (2014). The Hawkmoth Fauna of Pakistan (Lepidoptera: Sphingidae). Zootaxa. 3794(3): 393-418;2014
Leong, T., Lim, K. (2009). Final instar caterpillar and metamorphosis of the hawkmoth, Theretra nessus (Drury) in Singapore (Lepidoptera: Sphingidae: Macroglossinae). Nature in Singapore. 2: 503-510;2009
Kawazu, K. et al. (2008). Lepidoptera captured on the East China Sea in 2005 and predicted migration sources. Entomological Science. 11(3): 315-322;2008
Burns, J. (1966). Expanding distribution and evolutionary potential of Thymelicus lineola (Lepidoptera: Hesperiidae), an introduced skipper, with special reference to its appearance in British Columbia. The Canadian Entomologist. 98(8): 859-866;1966
Hinojosa, J. et al. (2019). A mirage of cryptic species: genomics uncover striking mitonuclear discordance in the butterfly Thymelicus sylvestris. Molecular Ecology. 28(17): 3857-3868;2019
Nanini, F. et al. (2024). Genetic diversity, population structure and ecological niche modeling of Thyrinteina arnobia (Lepidoptera: Geometridae), a native Eucalyptus pest in Brazil. Scientific Reports, 14(1), 20963;2024
Stringer, L. et al. (2008). Floral attractants for the female soybean looper, Thysanoplusia orichalcea (Lepidoptera: Noctuidae). Pest Management Science. 64(12): 1218-1221;2008
Strumpel, H. (1968). Tinea columbariella Wck. als Schadling an importierten Entenfedern. Anzeiger fur Schadlingskunde. 41: 84-88;1968
Kovacs, Z., Kovacs, S. (2023). An overview of the Romanian Meessiidae, Eriocottidae and Tineidae (Lepidoptera, Tineoidea) summarizing the current knowledge in an updated and annotated checklist. Entomologica Romanica. 27: 1-34;2023
Plarre, R., Kruger-Carstensen, B. (2011). An attempt to reconstruct the natural and cultural history of the webbing clothes moth Tineola bisselliella Hummel (Lepidoptera: Tineidae). Journal of Entomological and Acarological Research. 43(2): 83-93;2011
Carter, W. (1934). Notes on two Pests of Pineapple not known in Hawaii. Proceedings of the Hawaiian Entomological Society. 8(3): 395-397;1934
Huang, H., Chen, Z. (2006). A new species of Tongeia Tutt, [1908] from Northeast Yunnan, China. Atalanta. 37(1) : 184-190;2006
Hampson, G. (1917). A classification of the Pyralidae, subfamily Gallerianae. Novitates Zoologicae. 24(1): 17-58;1917
Ramzan, M. et al. (2021). Distribution, biology and management strategies about a less studied insect pest (Trilocha varians) of Ficus: a review. Pakistan Journal of Agricultural Research. 34(3): 638-642;2021
Hoffmann, J. (1986). Evidence that the two currently recognized nominal species of Tucumania Dyar (Lepidoptera: Phycitidae) are not distinct. Journal of the Entomological Society of Southern Africa. 49(2): 267-274;1986
Bertaccini, E., Zilli, A. (2017). A new species of Typhonia from the Ligurian Alps (Lepidoptera: Psychidae). Fragmenta entomologica. 49(2): 137-144;2017
Rudd, N., McEvoy, P. (1996). Local dispersal by the cinnabar moth Tyria jacobaeae. Ecological Applications. 6(1): 285-297;1996
Rosenthal, S. et al. (1988). Biology of Tyta luctuosa [Lep.: Noctuidae] and its potential value as a biological control agent for the weed Convolvulus arvensis. Entomophaga. 33: 185-192;1988
Bashford, R. (1978). The biology of the Tree Lucerne MothUresiphita ornithopteralis(Guenee)(Lepidoptera: Pyralidae) in southern Tasmania. The Australian Entomologist. 5(4): 71-76;1978
Munroe, E. (1995). Usingeriessa onyxalis (Dyar) (Lepidoptera: Crambidae: Nymphulinae), a Moth With Presumably Aquatic Larvae, Newly Recorded From Hawaii, With a Synopsis of Hawaiian Nymphulinae. Bishop Museum Occasional Papers. 42: 39-42;1995
Filho, J. et al. (2010). The three phases of the ensemble forecasting of niche models: geographic range and shifts in climatically suitable areas of Utetheisa ornatrix (Lepidoptera, Arctiidae). Revista Brasileira de Entomologia. 54(3): 339-349;2010
Freitas, A. (2017). Scientific Note: Biological notes on Utetheisa pulchelloides (Erebidae) in Tuamotu, French Polynesia. Tropical Lepidoptera Research. 27(2): 115-116;2017
Walker, A. (2020). Vanessa atalanta. The IUCN Red List of Threatened Species. 2020: e.T174225A172421220;2020
Walker, A., Coetzer, A. (2020). Vanessa cardui. The IUCN Red List of Threatened Species. 2020: e.T174379A161326679;2020
Walker, A. (2020). Vanessa virginiensis. The IUCN Red List of Threatened Species. 2020: e.T161254A882795;2020
Parsons, M., Clancy, S. (1999). Vitula biviella (Zeller)(Lepidoptera: Pyralidae), a newly recognised British species. Entomologists Gazette. 50(2): 77-82;1999
Menendez, R., Thomas, C. (2000). Metapopulation structure depends on spatial scale in the host-specific moth Wheeleria spilodactylus (Lepidoptera: Pterophoridae). Journal of Animal Ecology. 69(6): 935-951;2000
Julien, M. (2000). Biological control of water hyacinth with arthropods: a review to 2000. Aciar Proceedings, ACIAR. 1998: 8-20;2000
Heppner, J., Frank, J. (1999). Bromeliad Pod Borer, Epimorius testaceellus Ragonot (Insecta: Lepidoptera: Pyralidae). EENY-040/IN167, 5/1999. EDIS, 1999;1999
Hoebeke, E. (1987). Yponomeuta cagnagella (Lepidoptera: Yponomeutidae): A palearctic ermine moth in the United States, with notes on its recognition, seasonal history, and habits. Annals of the Entomological Society of America. 80(4): 462-467;1987
Beljaev, E. et al. (2022). Fauna of the geometrid moths (Lepidoptera, Geometridae) of the eastern Sikhote-Alin in the Botchinsky Reserve II. Subfamilies Larentiinae and Sterrhinae, and zoogeographical analysis. Amurian Zoological Journal. 14(4): 676-707;2022
Lewis, J., Sohn, J. (2015). Lepidoptera: Yponomeutoidea I (Argyresthiidae, Attevidae, Praydidae, Scythropiidae, and Yponomeutidae). Brill Academic Publishers, Leiden, Netherlands;2015
Gershenson, Z. et al. (2002). New records of Yponomeutoid moths (Lepidoptera, Yponomeutidae, Plutellidae) from Israel. Vestnik zoologii. 36(5): 77-80;2002
Wenninger, A. (2024). Defoliation of haskap shoots by the honeysuckle moth in Southcentral Alaska. AKES Newsletter. 16(1);2024
Sohn, J. (2015). A Catalogue of the Type Specimens of Yponomeutoidea (Lepidoptera) in the Museum of Comparative Zoology with Revised Status of Pluteloptera ochrella. Breviora. 542(1): 1-19;2015
Kuhlmann, U. et al. (1998). Quantifying the impact of insect predators and parasitoids on populations of the apple ermine moth, Yponomeuta malinellus (Lepidoptera: Yponomeutidae), in Europe. Bulletin of Entomological Research. 88(2): 165-175;1998
Kacar, G., Ulusoy, M. (2011). Zelleria oleastrella (Milliere) (Lepidoptera: Yponomeutidae), a new record for the fauna of Turkey. Turkish Journal of Zoology. 35(6): 15;2011
Howard, L., Chittenden, F. (1909). The Leopard Moth:(Zeuzera Pyrina Fab.). US Department of Agriculture Bureau of Entomology Circular. 109: July 6, 1909;1909
Yago, M. et al. (2008). Molecular systematics and biogeography of the genus Zizina (Lepidoptera: Lycaenidae). Zootaxa. 1746(1): 15-38;2008
Mengal, F. et al. (2017). Faunistics of Butterflies (Lepidoptera: Rephalocera) with some new records from Quetta, Bolochistan, Pakistan. University of Sindh Journal of Animal Sciences. 3(1): 26-35;2017
Fric, Z., Hula, V. (2013). Zizula hylax (Fabricius, 1775) new butterfly species for Socotra (Lepidoptera: Lycaenidae). SHILAP Revista de Lepidopterologia. 41(164): 571-575;2013
Habeck, D., Bennett, F. (1990). Cactoblastis cactorum Berg (Lepidoptera: Pyralidae), a phycitine new to Florida. Entomology Circular. 333;1990
Dapporto, L., Dennis, R. (2010). Skipper impoverishment on large West Mediterranean islands (Lepidoptera Hesperioidea): deterministic, historical and stochastic factors. Biodiversity and conservation. 19: 2637-2649;2010
Karsholt, O. et al. (2006). A new species of Agonopterix feeding on giant hogweed (Heracleum mantegazzianum) in the Caucasus, with a discussion of the nomenclature of A. heracliana (Linnaeus)(Depressariidae). Nota lepidopterologica, 28(3): 177-192;2006
Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Nakahara, L. et al. (1992). Review and status of biological control of Clidemia in Hawaii. Alien plant invasions in native ecosystems of Hawaii: management and research. University of Hawaii, Department of Botany, Cooperative National Park Resources Unit, Honolulu, HI.;1992
Simpson, A. et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release.;2022
Mally, R. et al. (2022). Moths and butterflies on alien shores - global biogeography of non-native Lepidoptera. Dryad, Dataset.;2022
Austin, K., Rubinoff, D. (2022). Eleven New Records of Lepidoptera in the Hawaiian Islands including corrections to the Hawaiian Terrestrial Arthropod Checklist. Bishop Museum Occasional Papers 142: 49–74;2022
Rubinoff, D. et al. (2015). The Sleepy Orange transits the Pacific: a new butterfly species for Hawaii. News of The Lepidopterists Society. 57(2): 72-73;2015
Richards, N. (2024). Acalyptris platani (Muller-Rutz, 1934)(Lep.: Nepticulidae) new to the British Isles. Entomologists Record and Journal of Variation. 136: 36-38;2024
Yamanaka, T. et al. (2015). Comparison of insect invasions in North America, Japan and their Islands. Biological Invasions. 17(10): 3049-3061;2015
Jacobs, J., Mangold, J. (2009). Ecology and Management of Eurasian Watermilfoil (Myriophyllum spicatum L.). United States Department of Agriculture. Natural Resources Conservation Service. Invasive Species Technical Note. MT-23;2009
Nishida, G. (2002). Hawaiian terrestrial arthropod checklist. Fourth edition. Bishop Museum Press. 313 pp;2002
Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS.;2020
European and Mediterranean Plant Protection Organization (EPPO) (2009). First report of an unsual insect species in Hungary: Acharia stimulea. EPPO Reporting Service. 2009(10): 2009/191;2009
Timus, A. (2015). The Invasive Entomofauna of the Holometabola Group, Superorder Mecopteroidea for Republic of Moldova. Current Trends in Natural Sciences. 4(7): 50-58;2015
Petersen, W., Looney, C. (2020). New Moth Records in Washington State (USA) Acquired from Exotic Pest Surveys. The Journal of the Lepidopterists Society. 74(1): 57-61;2020
Pullaiah, T., Ielmini, M. (Eds.) (2021). Invasive Alien Species: Observations and Issues from Around the World. Volume 1: Issues and Invasions in Africa. Wiley. 380pp;2021
Lastuvka, Z. et al. (2023). Butterfl ies and moths (Lepidoptera) of Czechia – updated list of species. MENDEKU Agronomicka fakulta.;2023
