AcceptedSpecies
Cryptographis nitidalis
Cryptophlebia illepida
Thaumatotibia leucotreta
Cryptophlebia ombrodelta
Ctenoplusia albostriata
Ctenoplusia limbirena
Cucullia umbratica
Culladia cuneiferellus
Cupha erymanthis
Curetis acuta
Cyclophora nanaria
Cyclophora obstataria
Cydalima perspectalis
Cydia coniferana
Cydia saltitans
Cydia grunertiana
Cydia illutana
Cydia interscindana
Cydia medicaginis
Cydia millenniana
Grapholita molesta
Cydia nigricana
Cydia pactolana
Cydia pomonella
Cydia splendana
Cydia succedana
Cymolomia hartigiana
Vanessa cardui
Dahlica lichenella
Dahlica triquetrella
Danaus chrysippus
Danaus plexippus
Daphnis nerii
Oxyplax pallivitta
Dasypodia cymatodes
Dasypodia selenophora
Dasyses incrustata
Davara caricae
Deanolis sublimbalis
Deilephila elpenor
Dendrolimus pini
Dendrolimus sibiricus
Dendrolimus superans
Depressaria apiella
Depressaria depressana
Depressaria discipunctella
Depressaria radiella
Deudorix livia
Diacrotricha fasciola
Dialectica scalariella
Diaphania costata
Diaphania hyalinata
Diaphania indica
Diastema tigris
Diatraea grandiosella
Diatraea saccharalis
Syndemis cedricola
Dichelia histrionana
Dichomeris acuminatus
Dichomeris aenigmatica
Dichomeris heriguronis
Dichomeris marginella
Dichrorampha acuminatana
Dichrorampha aeratana
Dichrorampha montanana
Dichrorampha petiverella
Dinumma deponens
Diplopseustis perieresalis
Disclisioprocta stellata
Ditula angustiorana
Doloessa viridis
Dryadaula advena
Dryadaula pactolia
Dryadaula terpsichorella
Dryobotodes tenebrosa
Duponchelia fovealis
Earias biplaga
Earias cupreoviridis
Earias insulana
Earias roseifera
Earias vernana
Earias vittella
Mimudea puralis
Ectaga garcia
Ectoedemia heringella
Elachista saccharella
Elachista synethes
Elaphria deltoides
Elaphria nucicolora
Elasmopalpus lignosella
Elophila difflualis
Nymphula manilensis
Elophila melagynalis
Elophila obliteralis
Emmelina devriesi
Enarmonia formosana
Endrosis sarcitrella
Ennomos alniaria
Diatraea rufescens
Eoreuma loftini
Epermenia aequidentellus
Ephestia elutella
Ephestiodes gilvescentella
Ephestiopsis oenobarella
Notocelia cynosbatella
Epiblema strenuana
Epichoristodes acerbella
Epinotia abbreviana
Epinotia algeriensis
Epinotia cedricida
Epinotia fraternana
Epinotia celtisana
Epinotia nanana
Epinotia nigricana
Epinotia subsequana
Epiphyas postvittana
Episimus transferrana
Episimus unguiculus
Erannis defoliaria
Schiffermuelleria amasiella
Erechthias capnitis
Erechthias flavistriata
Erechthias kerri
Erechthias minuscula
Erechthias pelotricha
Erechthias penicillata
Erechthias simulans
Erechthias zebrina
Erinnyis ello
Erionota thrax
Erionota torus
Esperia sulphurella
Etainia sericopeza
Ethmia bipunctella
Ethmia nigroapicella
Ethmia terminella
Etiella zinckenella
Euacidalia brownsvillea
Eublemma accedens
Eublemma recta
Eublemma scitula
Euchromia lethe
Euchromius ocellea
Euclasta gigantalis
Euclasta varii
Eudocima jordani
Eudocima materna
Eudocima phalonia
Eudocima salaminia
Eudonia psammitis
Eulithis mellinata
Eulithis prunata
Eumenodora tetrachorda
Eumeta variegatus
Eupithecia carpophagata
Eupithecia intricata
Eupithecia lariciata
Eupithecia phoeniceata
Eupithecia pusillata
Eupithecia ultimaria
Euploea mulciber
Euproctis chrysorrhoea
Euproctis fraterna
Eurranthis plummistaria
Eustixia pupula
Eutelia adulatrix
Eutorna phaulocosma
Euzophera osseatella
Euzophera pinguis
Evergestis aenealis
Exelastis montichristi
Exelastis pumilio
Exoteleia dodecella
Feltia subterranea
Fomoria septembrella
Fundella argentina
Galleria mellonella
Galtara extensa
Garella musculana
Gauna aegusalis
Gelechia sabinellus
Gelechia senticetella
Glyphipterix simpliciella
Glyphodes onychinalis
Glyphodes pyloalis
Parectopa alysidota
Grammodes stolida
Grapholita delineana
Grapholita prunivora
Gymnoscelis rufifasciata
Gypsonoma aceriana
Hadena compta
Haplochrois theae
Haplotinea ditella
Haplotinea insectella
Haritalodes derogata
Hasora badra
Hecatera dysodea
Hedya nubiferana
Hedya salicella
Helcystogramma convolvuli
Heliconius erato
Helicoverpa armigera
Helicoverpa assulta
Helicoverpa punctigera
Helicoverpa titicacae
Helicoverpa zea
Heliozela catoptrias
Hellinsia balanotes
Hellinsia beneficus
Hellula phidilealis
Hellula undalis
Hemiargus ceraunus
Hemiargus ramon
Hemithea aestivaria
Heringocrania unimaculella
Herpetogramma basalis
Herpetogramma bipunctalis
Herpetogramma licarsisalis
Herpetogramma phaeopteralis
Hippotion celerio
Hippotion rosetta
Pyrausta testalis
Hofmannophila pseudospretella
Homadaula anisocentra
Homoeosoma stenotea
Homoeographa lanceolella
Hyblaea puera
Hydraecia micacea
Hylephila phyleus
Hyles euphorbiae
Hyles lineata
Hymenia perspectalis
Hypena commixtalis
Hypena opulenta
Hyphantria cunea
Hypocala deflorata
Hypolimnas misippus
Hypsopygia mauritialis
Hypsipyla grandella
Hypsopygia costalis
Idaea dimidiata
Idaea inquinata
Imma mylias
Incurvaria rubiella
Iphiclides podalirius
Iridopsis fragilaria
Ischyja manlia
Isophrictis striatella
Isotenes miserana
Periploca orichalcella
Ithome lassula
Keiferia lycopersicella
Ketapangia leucochorda
Korscheltellus lupulina
Chaliopsis junodi
Ladoga camilla
Lampides boeticus
Lamprosema chagosalis
Lantanophaga pusillidactylus
Blastobasis inana
Lateroligia ophiogramma
Lebeda nobilis
Lecithocera micromela
Lepidoscia heliochares
Lepidoscia protorna
Lepidotarphius perornatella
Leptocroca sanguinolenta
Leptosia nina
Leucania loreyi
Leucania stenographa
Leucania lobrega
Mythimna scottii
Leucania striata
Leucinodes orbonalis
Leuciris fimbriaria
Leucoma salicis
Leucoptera coffeella
Leucoptera laburnella
Leucoptera malifoliella
Leucoptera sinuella
Leucoptera spartifoliella
Lindera tessellatella
Lineodes elcodes
Lineodes integra
Lineodes ochrea
Lioptilodes albistriolatus
Lithophane leautieri
Litoprosopus haitiensis
Lobesia botrana
Lobesiodes euphorbiana
Lorita baccharivora
Lorita scarificata
Loryma recusata
Loxomorpha flavidissimalis
Loxostege sticticalis
Lozotaenia cedrivora
Luthrodes pandava
Lymantria dispar
Lymantria mathura
Lymantria monacha
Macaldenia palumba
Macaria abydata
Macaria liturata
Digrammia pallidata
Macaria wauaria
Macarostola ida
Macroglossum pyrrhosticta
Macrorrhinia endonephele
Macrosaccus robiniella
Manduca quinquemaculatus
Marasmia trapezalis
Martyringa xeraula
Maruca vitrata
Megalographa biloba
Megalorhipida leucodactylus
Melipotis indomita
Melitara dentata
Melitara junctolineella
Melitara prodenialis
Melittia oedipus
Merophyas divulsana
Mesapamea secalis
Mesophleps adustipennis
Metzneria lappella
Metzneria paucipunctella
Mirificarma eburnella
Mompha epilobiella
Mompha locupletella
Mompha raschkiella
Mompha subbistrigella
Mompha terminella
Mompha trithalama
Monopis argillacea
Monopis crocicapitella
Monopis obviella
Monopis longella
Monopis meliorella
Monopis monachella
Moodna bisinuella
Morosaphycita oculiferella
Mouralia tinctoides
Musotima nitidalis
Musotima ochropteralis
Mythimna separata
Mythimna unipuncta
Nacoleia charesalis
Nacoleia octasema
Nemapogon cloacella
Nemapogon granella
Nemapogon picarella
Nemapogon variatella
Neogalea sunia
Neoleucinodes elegantalis
Neoleucinodes torvis
Neomariania rebeli
Neomusotima conspurcatalis
Neurostrota gunniella
Neurothaumasia ankerella
Niditinea fuscella
Niphograpta albiguttalis
Niphonyx segregata
Noctua comes
Noctua janthina
Noctua pronuba
Nola cucullatella
Nomophila noctuella
Notocelia rosaecolana
Nyctemera amicus
Parapoynx crisonalis
Ochsenheimeria vacculella
Ocnerostoma piniariella
Ocrasa nostralis
Oecia oecophila
Oecophora bractella
Oegoconia caradjai
Oegoconia quadripuncta
Oiketicus kirbyi
Oinophila v-flava
Oligia latruncula
Oligia strigilis
Oligostigma polydectalis
Omiodes indicata
Omphisa anastomosalis
Operophtera brumata
Ophiusa disjungens
Ophiusa tirhaca
Ophiusa trapezium
Opisina arenosella
Opogona aurisquamosa
Opogona comptella
Opogona omoscopa
Opogona purpuriella
Opogona sacchari
Opsitycha squalidella
Oraesia emarginata
Oraesia excavata
Orgyia antiqua
Clethrogyna turbata
Ornativalva erubescens
Salbia haemorrhoidalis
Ostrinia furnacalis
Ostrinia nubilalis
Oxyodes scrobiculata
Paectes arcigera
Palpita flegia
Palpita persimilis
Palpita vitrealis
Pandemis cerasana
Pandemis heparana
Pandesma anysa
Pantydia sparsa
Papilio demodocus
Papilio demoleus
Papilio helenus
Papilio polytes
Papilio xuthus
Paracorsia repandalis
Parantica aglea
Parapediasia teterellus
Parapoynx bilinealis
Parapoynx diminutalis
Parapoynx fluctuosalis
Parapoynx obscuralis
Parapoynx polydectalis
Parasa lepida
Parascotia fuliginaria
Paraswammerdamia albicapitella
Paraswammerdamia lutarea
Pardasena virgulana
Parectopa robiniella
Pareuchaetes insulata
Pareuchaetes pseudoinsulata
Parochmastis hilderi
Paysandisia archon
Pectinophora gossypiella
Pectinophora fusculella
Pempelia genistella
Penicillaria jocosatrix
Pennisetia hylaeiformis
Peribatodes perversaria
Pericyma cruegeri
Peridroma saucia
Perittia herrichiella
Perittia lonicerae
Perixera illepidaria
Perizoma alchemillata
Phalaenoides glycinae
